x1,x2,x3,label
0.1504,0.9961,0.5864,0
0.6699,0.2981,0.9589,1
0.9189,0.7704,0.2875,1
0.2718,0.5328,0.19,0
0.6404,0.7245,0.2592,1
0.3055,0.0779,0.6507,0
0.4595,0.0388,0.703,0
0.4604,0.1227,0.6228,0
0.4957,0.5602,0.193,0
0.1846,0.4053,0.1111,0
0.3587,0.1304,0.0581,0
0.3934,0.6586,0.6629,0
0.6345,0.3881,0.8371,1
0.8867,0.0199,0.1045,0
0.838,0.9797,0.3777,1
0.9678,0.2984,0.4689,1
0.6782,0.1627,0.0412,0
0.9189,0.6379,0.2831,1
0.7291,0.0778,0.1781,0
0.8818,0.1295,0.8328,1
0.0377,0.3893,0.0906,0
0.1056,0.2276,0.8856,0
0.7127,0.1063,0.8725,1
0.2448,0.4257,0.4177,0
0.0585,0.4433,0.8546,0
0.078,0.2902,0.377,0
0.0552,0.412,0.8524,0
0.8953,0.3561,0.9382,1
0.0798,0.088,0.7748,0
0.7156,0.9898,0.388,1
0.2487,0.7893,0.5298,0
0.1801,0.6676,0.3533,0
0.2902,0.4148,0.3154,0
0.8522,0.2442,0.9527,1
0.3497,0.951,0.0976,0
0.0899,0.6874,0.9279,0
0.8022,0.3042,0.5623,1
0.0771,0.9258,0.6362,0
0.8215,0.4301,0.3306,1
0.9876,0.8718,0.798,1
0.9066,0.9007,0.0915,1
0.1679,0.3224,0.4148,0
0.9165,0.0968,0.5676,1
0.4612,0.6622,0.1862,0
0.5883,0.1656,0.3762,0
0.9653,0.8425,0.0523,1
0.2129,0.2483,0.6,0
0.0779,0.0926,0.5391,0
0.2458,0.4017,0.4632,0
0.0838,0.7429,0.9138,0
0.7229,0.261,0.2038,0
0.3996,0.1291,0.1526,0
0.2808,0.1157,0.0866,0
0.8051,0.6799,0.8727,1
0.863,0.1465,0.2908,0
0.5774,0.0592,0.7526,0
0.2097,0.695,0.6197,0
0.3195,0.0502,0.6976,0
0.0137,0.4776,0.1334,0
0.656,0.2181,0.8252,1
0.8693,0.5401,0.1613,1
0.6691,0.7949,0.677,1
0.2673,0.3378,0.2558,0
0.465,0.8885,0.8593,1
0.268,0.0942,0.4176,0
0.6807,0.1661,0.3262,0
0.8561,0.1574,0.3975,0
0.3169,0.7502,0.3146,0
0.177,0.9054,0.3076,0
0.9677,0.6458,0.6375,1
0.9276,0.3033,0.981,1
0.6017,0.1175,0.2216,0
0.6373,0.4248,0.0853,0
0.9715,0.0634,0.0784,0
0.5353,0.2968,0.0401,0
0.7966,0.7782,0.8602,1
0.8233,0.5965,0.8512,1
0.9067,0.8136,0.5673,1
0.9253,0.1777,0.0678,0
0.2763,0.4127,0.0696,0
0.5374,0.3549,0.9216,1
0.1968,0.5345,0.2579,0
0.1167,0.0716,0.6656,0
0.2125,0.3028,0.0538,0
0.9213,0.7711,0.2854,1
0.2865,0.5944,0.7997,0
0.46,0.288,0.3279,0
0.6409,0.4383,0.9992,1
0.1754,0.7304,0.7145,0
0.8618,0.0244,0.4197,0
0.4968,0.136,0.4149,0
0.5479,0.8331,0.8775,1
0.7342,0.8008,0.4912,1
0.6825,0.4646,0.5872,1
0.499,0.1253,0.0588,0
0.5511,0.7402,0.0285,0
0.8684,0.4778,0.6482,1
0.255,0.9848,0.5772,1
0.5,0.1495,0.8263,0
0.926,0.8627,0.1149,1
0.671,0.7264,0.1834,1
0.0482,0.5607,0.1024,0
0.548,0.7737,0.2034,1
0.1297,0.7787,0.6731,0
0.0211,0.2904,0.4149,0
0.8192,0.0187,0.767,1
0.7426,0.0302,0.225,0
0.6355,0.7464,0.9205,1
0.7841,0.036,0.9855,1
0.2158,0.3762,0.3556,0
0.3901,0.7719,0.9928,1
0.6636,0.6898,0.1298,1
0.5507,0.5849,0.2529,1
0.6336,0.7913,0.4365,1
0.2096,0.879,0.4164,0
0.6998,0.079,0.2741,0
0.6926,0.3534,0.8612,1
0.7625,0.9897,0.6414,1
0.8967,0.1972,0.8446,1
0.2928,0.4203,0.1342,0
0.6353,0.4209,0.3401,0
0.9073,0.7367,0.7082,1
0.7507,0.9678,0.9506,1
0.3496,0.7569,0.7217,1
0.6082,0.8531,0.0154,0
0.4846,0.4285,0.5823,0
0.8894,0.3784,0.3682,1
0.8974,0.9596,0.6395,1
0.2444,0.4854,0.6492,0
0.0458,0.0069,0.0425,0
0.1421,0.5259,0.7354,0
0.0444,0.9006,0.0824,0
0.9544,0.57,0.7417,1
0.6556,0.7016,0.8845,1
0.9084,0.2276,0.6168,1
0.0962,0.0708,0.6687,0
0.8518,0.4287,0.5155,1
0.4923,0.7801,0.3295,1
0.3081,0.7263,0.6202,0
0.5796,0.4768,0.4462,0
0.9775,0.1735,0.574,1
0.4653,0.8906,0.5289,1
0.0736,0.0145,0.0815,0
0.8073,0.4432,0.0527,1
0.088,0.8643,0.5719,0
0.6079,0.9779,0.7168,1
0.8114,0.1579,0.3907,0
0.1062,0.3558,0.7369,0
0.4447,0.7477,0.0517,0
0.3456,0.2581,0.0523,0
0.8371,0.6402,0.3946,1
0.3284,0.9434,0.3818,1
0.503,0.039,0.6113,0
0.6213,0.8512,0.231,1
0.5016,0.338,0.1656,0
0.432,0.7668,0.1817,1
0.3403,0.2354,0.2443,0
0.5807,0.0559,0.2888,0
0.7044,0.8317,0.8581,1
0.8498,0.6805,0.7892,1
0.7913,0.7805,0.7665,1
0.4285,0.3173,0.5785,0
0.7308,0.3642,0.5769,1
0.1646,0.2028,0.2262,0
0.9915,0.335,0.7215,1
