x1,x2,x3,label
0.1942,0.5728,0.1047,0
0.7688,0.6013,0.3669,1
0.6195,0.1271,0.9784,1
0.2427,0.2663,0.3208,0
0.1621,0.7139,0.2749,0
0.5496,0.3098,0.2112,0
0.8612,0.7579,0.414,1
0.4033,0.322,0.2058,0
0.6063,0.6068,0.99,1
0.7878,0.9841,0.7582,1
0.841,0.1269,0.0779,0
0.6212,0.8204,0.1879,1
0.7681,0.1303,0.858,1
0.959,0.0553,0.9187,1
0.5896,0.9637,0.886,1
0.0316,0.3501,0.5807,0
0.919,0.5348,0.8633,1
0.3965,0.14,0.1285,0
0.1269,0.3052,0.464,0
0.798,0.4961,0.792,1
0.8555,0.2929,0.7457,1
0.5146,0.4767,0.2491,0
0.3162,0.0182,0.3277,0
0.1636,0.4436,0.3555,0
0.3125,0.2263,0.7854,0
0.6738,0.2578,0.3476,0
0.4639,0.5583,0.7066,1
0.5672,0.3861,0.54,0
0.0736,0.8813,0.9717,0
0.9944,0.2912,0.0776,1
0.1296,0.177,0.1994,0
0.3109,0.2134,0.4174,0
0.421,0.7455,0.5741,1
0.9038,0.8437,0.4566,1
0.6362,0.8393,0.0451,1
0.9749,0.7577,0.3082,1
0.9074,0.7713,0.5259,1
0.547,0.7513,0.7958,1
0.4799,0.9569,0.0083,0
0.985,0.7421,0.845,1
0.7029,0.8033,0.4171,1
0.2597,0.7967,0.2569,0
0.9858,0.3275,0.6639,1
0.3529,0.5035,0.0543,0
0.9651,0.9808,0.4996,1
0.4553,0.5629,0.8729,1
0.6227,0.9261,0.7443,1
0.1577,0.1949,0.2275,0
0.4835,0.4046,0.4666,0
0.4434,0.0408,0.1741,0
0.9281,0.9277,0.9752,1
0.9351,0.7165,0.5872,1
0.8456,0.7636,0.0213,1
0.3988,0.5664,0.7594,0
0.0913,0.6425,0.0867,0
0.9359,0.4402,0.4235,1
0.8574,0.1845,0.2331,0
0.9898,0.0091,0.909,1
0.5432,0.4157,0.4422,0
0.3357,0.5757,0.0738,0
0.7494,0.3998,0.538,1
0.5423,0.4195,0.8586,1
0.4142,0.1235,0.0632,0
0.4173,0.943,0.9679,1
0.3682,0.3369,0.7703,0
0.4792,0.2753,0.8843,0
0.8547,0.8166,0.976,1
0.3753,0.0228,0.3658,0
0.7059,0.8261,0.1622,1
0.8744,0.4636,0.2894,1
0.4842,0.0108,0.2578,0
0.8117,0.0438,0.3962,1
0.0315,0.0147,0.332,0
0.0763,0.3266,0.8103,0
0.8137,0.468,0.4071,1
0.1084,0.202,0.3081,0
0.0732,0.1325,0.0176,0
0.472,0.2883,0.7777,0
0.4974,0.298,0.5421,0
0.9239,0.302,0.5054,1
0.8466,0.3555,0.9525,1
0.625,0.6706,0.6669,1
0.7909,0.6531,0.2779,1
0.5116,0.6147,0.2453,0
0.1158,0.1587,0.6588,0
0.0714,0.0113,0.0241,0
0.775,0.4396,0.4486,1
0.9399,0.8072,0.8653,1
0.4007,0.4062,0.771,0
0.4611,0.8906,0.4953,1
0.7604,0.4485,0.3936,1
0.6722,0.7431,0.5728,1
0.7566,0.2345,0.6318,1
0.9809,0.1961,0.5892,1
0.7792,0.2045,0.0469,0
0.2396,0.4573,0.8241,0
0.9451,0.1483,0.7228,1
0.2442,0.6678,0.9956,0
0.915,0.8801,0.7973,1
0.7684,0.8062,0.8636,1
0.4463,0.4674,0.8167,1
0.2179,0.8641,0.9341,0
0.0279,0.4757,0.9514,0
0.0853,0.4011,0.8857,0
0.9472,0.7124,0.4163,1
0.071,0.602,0.0883,0
0.4568,0.275,0.8508,0
0.4323,0.1439,0.1619,0
0.5367,0.5576,0.3926,1
0.8718,0.8322,0.018,1
0.1861,0.3974,0.9283,0
0.0696,0.4249,0.139,0
0.5083,0.897,0.3259,1
0.7251,0.0234,0.8036,1
0.0892,0.0433,0.3791,0
0.1339,0.3871,0.8605,0
0.092,0.8917,0.2705,0
0.9412,0.04,0.7155,1
0.7254,0.6162,0.2585,1
0.3069,0.3897,0.7623,0
0.7559,0.7147,0.4486,1
0.6671,0.7498,0.5627,1
0.3553,0.0519,0.8653,0
0.3571,0.943,0.1508,0
0.8113,0.7582,0.8385,1
0.244,0.3777,0.4776,0
0.8604,0.4298,0.8665,1
0.6043,0.4245,0.7872,1
0.0144,0.1663,0.8524,0
0.866,0.5378,0.1868,1
0.3813,0.2325,0.1228,0
0.5919,0.911,0.5725,1
0.0622,0.0607,0.8264,0
0.5322,0.796,0.3074,1
0.9005,0.7,0.1942,1
0.7415,0.189,0.8577,1
0.0578,0.1776,0.1078,0
0.8708,0.5281,0.3386,1
0.9629,0.6484,0.9921,1
0.2357,0.1952,0.3238,0
0.1318,0.9575,0.8843,1
0.2173,0.2237,0.3601,0
0.3123,0.7975,0.457,0
0.2796,0.6862,0.3727,0
0.9495,0.4113,0.8565,1
0.5855,0.1684,0.8417,0
0.106,0.0989,0.7763,0
0.2188,0.3303,0.0828,0
0.3176,0.3859,0.7558,0
0.0219,0.1126,0.2043,0
0.7579,0.3258,0.2489,0
0.1871,0.8268,0.9412,0
0.5042,0.0182,0.0569,0
0.1233,0.2951,0.3268,0
0.6373,0.7709,0.9566,1
0.94,0.3467,0.1578,1
0.9012,0.843,0.1913,1
0.966,0.2127,0.9239,1
0.1547,0.63,0.8588,0
0.6232,0.1378,0.2462,0
0.8486,0.4451,0.2049,1
0.0209,0.2447,0.0929,0
0.3316,0.0366,0.4172,0
0.7638,0.227,0.0748,0
0.8037,0.0838,0.2843,0
0.1763,0.345,0.2906,0
0.9722,0.7147,0.811,1
0.1125,0.5317,0.9701,0
0.8066,0.8876,0.1348,1
0.6515,0.4285,0.8641,1
0.6028,0.5151,0.1432,0
0.4741,0.7164,0.2277,0
0.1483,0.9991,0.0598,0
0.3721,0.2413,0.6507,0
0.019,0.7113,0.5282,0
0.8862,0.7386,0.2534,1
0.5316,0.3929,0.608,0
0.9066,0.2972,0.8467,1
0.4285,0.0449,0.0567,0
0.0778,0.6423,0.8202,0
