x1,x2,x3,label
0.3806,0.3349,0.8222,0
0.8872,0.8307,0.5849,1
0.6453,0.2354,0.654,0
0.6089,0.5696,0.0039,1
0.816,0.0662,0.9519,0
0.4943,0.5099,0.0674,1
0.6155,0.0464,0.2294,0
0.5765,0.7774,0.5258,1
0.083,0.605,0.7393,0
0.7884,0.2577,0.5035,1
0.0185,0.8771,0.2337,0
0.9242,0.1231,0.6926,1
0.5669,0.9757,0.3669,1
0.7547,0.7391,0.2696,1
0.4676,0.8309,0.5511,1
0.9709,0.6425,0.1756,1
0.0241,0.8585,0.3479,0
0.8535,0.0366,0.0394,0
0.2165,0.0209,0.0975,0
0.0845,0.8986,0.1002,1
0.0465,0.3406,0.5276,0
0.0893,0.0271,0.8487,0
0.4766,0.9327,0.3725,1
0.356,0.2836,0.4759,0
0.8577,0.4325,0.218,1
0.4435,0.6898,0.2712,1
0.1864,0.2242,0.6563,0
0.3945,0.9625,0.4308,1
0.5545,0.3852,0.288,0
0.536,0.741,0.9657,1
0.1771,0.7064,0.1615,0
0.6681,0.5245,0.7853,1
0.9038,0.4877,0.892,1
0.299,0.4169,0.8752,0
0.9235,0.2979,0.3095,1
0.1811,0.1159,0.5405,0
0.803,0.99,0.4083,1
0.9708,0.6648,0.742,1
0.0448,0.0082,0.7136,0
0.1532,0.1802,0.1764,0
0.5966,0.5105,0.2165,1
0.5865,0.0973,0.1924,0
0.6344,0.0598,0.5507,0
0.7656,0.3538,0.3194,1
0.1151,0.8565,0.8667,1
0.0387,0.0154,0.0543,0
0.8006,0.6147,0.8371,1
0.7243,0.9201,0.7802,1
0.8369,0.641,0.0991,1
0.2063,0.0643,0.3674,0
0.8619,0.8354,0.1618,1
0.9108,0.7985,0.9169,1
0.3504,0.0127,0.1955,0
0.1893,0.7054,0.834,0
0.8221,0.1288,0.7806,1
0.1512,0.0952,0.326,0
0.218,0.4394,0.7161,0
0.3172,0.8338,0.161,1
0.0223,0.924,0.6208,0
0.2064,0.8681,0.0645,1
0.0054,0.2067,0.6204,0
0.1738,0.459,0.3337,0
0.9057,0.3691,0.8827,1
0.7904,0.4669,0.3896,1
0.2503,0.1383,0.7469,0
0.8609,0.1961,0.8037,1
0.6773,0.227,0.4368,0
0.9887,0.5149,0.845,1
0.5933,0.1936,0.2021,0
0.2315,0.7672,0.6166,1
0.0729,0.7745,0.7821,0
0.3791,0.5246,0.8577,0
0.4139,0.3767,0.3514,0
0.2918,0.8832,0.8147,1
0.7927,0.1791,0.9895,1
0.1143,0.3338,0.7651,0
0.6574,0.6738,0.4709,1
0.4573,0.0438,0.8082,0
0.4027,0.9175,0.9592,1
0.178,0.7255,0.2658,0
