x1,x2,x3,label
0.0231,0.818,0.4866,0
0.9123,0.2772,0.2751,1
0.3211,0.6365,0.3678,1
0.0456,0.1475,0.6712,0
0.1515,0.5613,0.8736,0
0.7848,0.5369,0.5773,1
0.5743,0.2899,0.277,0
0.3771,0.2783,0.6547,0
0.5647,0.0639,0.907,0
0.6642,0.8049,0.0114,1
0.1675,0.7442,0.0498,0
0.6487,0.2403,0.3074,0
0.2784,0.2662,0.335,0
0.151,0.8237,0.4674,1
0.9275,0.3086,0.3932,1
0.9474,0.1169,0.8279,1
0.6445,0.2278,0.7465,0
0.6612,0.803,0.5286,1
0.9221,0.7776,0.0546,1
0.0419,0.9548,0.6595,1
0.8761,0.8195,0.9307,1
0.0425,0.4639,0.0639,0
0.8568,0.3975,0.7709,1
0.6199,0.6406,0.3064,1
0.1308,0.5025,0.5438,0
0.9222,0.937,0.6338,1
0.8843,0.9354,0.8928,1
0.0828,0.9522,0.7425,1
0.7369,0.0378,0.5889,0
0.8413,0.7607,0.4656,1
0.9058,0.1621,0.7406,1
0.9121,0.8868,0.2242,1
0.5095,0.7827,0.5079,1
0.9991,0.6483,0.4199,1
0.5573,0.889,0.6907,1
0.5179,0.6837,0.9357,1
0.1699,0.3159,0.445,0
0.3771,0.862,0.7805,1
0.8935,0.3548,0.4132,1
0.9718,0.1672,0.7315,1
0.1856,0.3643,0.8676,0
0.5215,0.4718,0.8983,1
0.0251,0.72,0.7946,0
0.7107,0.7467,0.0488,1
0.4978,0.3245,0.529,0
0.006,0.1218,0.6934,0
0.1555,0.3819,0.6002,0
0.4107,0.4381,0.2835,0
0.7395,0.733,0.9548,1
0.1636,0.7082,0.6448,0
0.1174,0.4287,0.6776,0
0.177,0.6077,0.8432,0
0.0394,0.8074,0.7049,0
0.0287,0.2148,0.1123,0
0.8395,0.54,0.0989,1
0.7485,0.159,0.4357,0
0.169,0.4849,0.7561,0
0.3119,0.0254,0.6113,0
0.8419,0.3911,0.7759,1
0.9226,0.7013,0.5126,1
0.2697,0.7289,0.4271,1
0.1286,0.5315,0.7861,0
0.5412,0.5604,0.1285,1
0.2292,0.2646,0.5731,0
0.6209,0.7233,0.4791,1
0.3614,0.6086,0.2855,1
0.5229,0.5459,0.2078,1
0.2585,0.2638,0.1638,0
0.1243,0.0687,0.9212,0
0.1993,0.2045,0.3224,0
0.7669,0.8488,0.3791,1
0.4649,0.8492,0.9756,1
0.5589,0.3157,0.8519,0
0.6038,0.9807,0.5017,1
0.916,0.5618,0.9425,1
0.6867,0.2834,0.923,1
0.0873,0.975,0.6791,1
0.706,0.2057,0.4351,0
0.2849,0.6434,0.3822,0
0.8361,0.1443,0.2901,1
