time,value
1,77.56
2,114.5
3,113.28
4,104.72
5,109.2
6,101.76
7,104.98
8,90.46
9,132.84
10,123.81
11,105.07
12,119.18
13,133.36
14,140.49
15,139.6
16,126.07
17,137.93
18,130.62
19,132.71
20,132.92
21,134.56
22,131.28
23,147.07
24,149.75
25,155.35
26,155.42
27,138.77
28,159.8
29,138.36
30,156.31
31,136.78
32,154.81
33,169.15
34,154.64
35,160.9
36,157.3
37,171.98
38,170.68
39,179.37
40,165.38
41,171.38
42,165.2
43,173.71
44,177.36
45,192.13
46,185.39
47,176.29
48,186.23
49,199.73
50,188.04
51,192.64
52,197.77
53,192.92
54,171.31
55,193.01
56,193.97
57,208.08
58,188.5
59,200.3
60,216.32
