x1,x2,x3
37.89,22.34,79.55
51.13,25.6,71.5
49.92,24.71,69.91
67.99,42.05,72.18
43.46,29.91,72.68
49.09,23.3,92.18
39.32,33.58,54.86
52.03,38.07,74.47
55.77,23.93,55.65
42.41,25.15,61.57
47.49,21.64,68.38
45.0,34.81,57.43
46.29,37.22,57.65
42.96,35.01,67.59
43.7,24.26,61.66
48.49,35.06,72.73
56.73,28.99,62.4
52.53,32.47,61.39
40.88,25.0,71.51
49.93,31.66,52.32
43.26,34.4,78.34
46.81,25.55,74.42
46.65,34.72,97.7
47.59,29.74,78.26
41.64,23.18,81.18
59.38,26.47,67.96
54.3,32.38,91.96
63.35,29.26,71.56
42.87,38.8,67.41
61.59,32.77,58.06
56.31,22.19,84.81
62.01,38.96,70.34
48.8,33.02,65.4
49.47,39.24,49.43
44.86,35.8,77.07
47.29,33.85,93.3
44.06,32.91,68.9
53.95,36.06,73.7
49.36,36.32,63.46
61.8,34.64,59.2
27.2,29.56,85.87
50.8,19.35,50.71
54.65,34.95,69.68
56.64,37.57,64.99
60.53,35.3,65.15
53.31,19.32,65.91
49.03,31.72,65.66
36.82,34.23,54.81
49.51,22.73,71.47
54.58,34.12,75.75
46.54,25.96,52.94
38.37,24.22,71.51
53.24,23.66,78.78
46.52,33.18,79.51
42.76,29.76,63.73
36.99,25.75,80.06
43.33,28.2,76.67
38.84,32.0,80.61
50.87,31.27,69.13
45.9,28.53,69.88
48.45,33.05,64.41
54.73,30.4,57.36
45.32,24.81,70.06
55.15,35.13,85.46
52.08,24.81,64.6
39.67,35.21,84.05
38.76,24.77,78.08
53.19,33.56,60.1
52.09,33.06,81.82
48.37,29.18,65.8
42.35,30.99,65.95
38.73,32.94,75.25
64.76,29.03,95.93
60.46,22.84,75.26
53.83,27.51,67.05
50.44,35.88,74.13
62.36,21.61,67.07
51.14,21.93,86.6
55.08,26.98,63.27
44.55,38.43,73.93
59.74,31.37,47.98
33.89,30.8,87.43
50.28,26.64,67.75
56.55,35.05,59.02
60.65,21.8,59.31
41.02,31.15,65.34
44.97,28.77,61.1
49.09,25.79,62.67
57.49,23.64,74.78
51.61,26.69,65.65
52.4,35.18,73.05
51.49,29.09,72.31
57.42,29.63,56.02
55.76,37.55,55.31
43.98,28.74,70.2
55.59,26.77,78.5
52.98,28.45,85.04
36.09,29.04,64.95
53.56,24.95,93.94
38.28,32.32,66.46
39.45,28.35,73.07
53.92,32.77,57.41
52.14,33.82,62.04
44.32,32.75,84.74
43.98,33.13,70.1
34.38,26.16,78.01
48.22,25.34,79.36
55.78,26.7,74.43
75.0,27.25,45.54
53.96,33.54,59.77
41.28,24.14,75.42
52.22,31.12,64.92
46.65,29.89,62.93
61.18,28.08,73.47
39.1,29.16,65.21
52.15,36.49,55.1
57.74,40.63,61.3
69.03,33.19,63.03
50.09,27.37,68.54
44.32,29.2,65.89
