x1,x2,x3,label
0.911,0.6251,0.0133,1
0.1415,0.056,0.7477,0
0.1171,0.9218,0.6261,1
0.5587,0.8169,0.9037,1
0.3258,0.3558,0.9625,0
0.9878,0.915,0.3818,1
0.9697,0.6168,0.3111,1
0.9945,0.1477,0.2065,1
0.9392,0.9848,0.2712,1
0.7422,0.104,0.1871,0
0.1277,0.2788,0.587,0
0.6623,0.1612,0.4754,0
0.0045,0.5175,0.668,0
0.4178,0.957,0.1009,1
0.1413,0.8322,0.6553,1
0.6463,0.2281,0.7284,0
0.5198,0.1043,0.8945,0
0.8357,0.2006,0.1724,1
0.8669,0.0405,0.5412,0
0.392,0.8976,0.0709,1
0.0521,0.6382,0.0155,0
0.1796,0.3604,0.2707,0
0.1053,0.584,0.0111,0
0.156,0.4711,0.1336,0
0.3501,0.2684,0.5165,0
0.7455,0.0532,0.6926,0
0.5051,0.555,0.723,1
0.7429,0.2874,0.5176,1
0.0109,0.1866,0.3574,0
0.0225,0.2015,0.2154,0
0.3971,0.1805,0.4365,0
0.3693,0.2052,0.9517,0
0.9881,0.8672,0.3111,1
0.3956,0.6214,0.6463,1
0.6366,0.6019,0.6496,1
0.1964,0.5842,0.6558,0
0.6768,0.7792,0.6232,1
0.0841,0.7068,0.6345,0
0.5378,0.0471,0.7308,0
0.7978,0.4228,0.5711,1
0.7815,0.8904,0.0962,1
0.8197,0.5923,0.1537,1
0.7767,0.6468,0.1092,1
0.9271,0.9985,0.6818,1
0.5072,0.3875,0.7472,0
0.605,0.8565,0.4939,1
0.4703,0.628,0.2307,1
0.3322,0.1661,0.2069,0
0.8055,0.7588,0.1318,1
0.8596,0.134,0.001,1
0.4831,0.1509,0.7652,0
0.3505,0.1771,0.9151,0
0.7487,0.9826,0.4007,1
0.2338,0.773,0.2035,1
0.933,0.8838,0.205,1
0.2068,0.9848,0.6595,1
0.9298,0.1117,0.3116,1
0.5872,0.9993,0.8353,1
0.2563,0.6315,0.1688,0
0.8876,0.6142,0.4569,1
0.2839,0.4993,0.7014,0
0.233,0.933,0.0379,1
0.0425,0.8599,0.2891,0
0.6432,0.6348,0.1851,1
0.9364,0.9143,0.0109,1
0.9813,0.931,0.7936,1
0.4187,0.6139,0.4846,1
0.8147,0.4366,0.854,1
0.3962,0.6409,0.8726,1
0.683,0.393,0.6933,1
0.0319,0.4688,0.7861,0
0.0986,0.0565,0.5465,0
0.4067,0.4069,0.9923,0
0.7393,0.3859,0.0003,1
0.0777,0.241,0.5795,0
0.2895,0.2206,0.3134,0
0.6553,0.7641,0.2691,1
0.8279,0.325,0.0709,1
0.9802,0.664,0.7043,1
0.2239,0.3515,0.2457,0
