x1,x2,x3,label
0.3922,0.6368,0.8564,1
0.6674,0.1618,0.8375,1
0.0974,0.2006,0.1862,0
0.4193,0.2962,0.5644,0
0.4922,0.2127,0.7683,0
0.7445,0.6425,0.3468,1
0.2244,0.383,0.4641,0
0.0651,0.3112,0.0782,0
0.6789,0.0587,0.3158,0
0.527,0.5383,0.4403,0
0.8873,0.2718,0.231,1
0.1815,0.9938,0.9039,0
0.9566,0.1546,0.4214,1
0.2349,0.902,0.2936,0
0.268,0.0768,0.5422,0
0.3866,0.9154,0.7554,1
0.6312,0.944,0.3345,1
0.2687,0.6088,0.4535,0
0.4671,0.0767,0.6474,0
0.857,0.6317,0.2782,1
0.6153,0.3647,0.6966,0
0.4435,0.5078,0.6686,0
0.4327,0.2044,0.2398,0
0.0138,0.9125,0.1428,0
0.8888,0.6525,0.5592,1
0.2066,0.0804,0.7606,0
0.1127,0.6746,0.4889,0
0.7059,0.7743,0.8954,1
0.6243,0.643,0.0095,0
0.4138,0.6453,0.8286,1
0.6478,0.2279,0.1986,0
0.6798,0.2581,0.0672,0
0.6486,0.7658,0.0464,1
0.4279,0.2165,0.6626,0
0.1581,0.6745,0.5509,0
0.3907,0.3838,0.7826,0
0.7714,0.6649,0.7281,1
0.5582,0.5124,0.6642,1
0.2012,0.5578,0.0491,0
0.973,0.4029,0.7874,1
0.728,0.675,0.1483,1
0.7029,0.1985,0.3949,0
0.9828,0.6521,0.4717,1
0.0638,0.8642,0.3589,0
0.4965,0.5855,0.6554,1
0.307,0.0284,0.6019,0
0.68,0.7326,0.5271,1
0.1472,0.5796,0.3279,0
0.6809,0.4195,0.0599,0
0.3843,0.8222,0.7642,1
0.6253,0.7158,0.8911,1
0.772,0.6721,0.7714,1
0.3895,0.6565,0.5548,1
0.172,0.8326,0.9858,1
0.051,0.6271,0.5892,0
0.0012,0.322,0.6478,0
0.8381,0.1727,0.0149,0
0.1992,0.723,0.5572,0
0.0073,0.2179,0.097,0
0.2752,0.1972,0.2698,0
0.6593,0.3354,0.3347,1
0.6099,0.3255,0.2942,0
0.0046,0.0965,0.8049,0
0.2303,0.0789,0.0959,0
0.6652,0.8477,0.6304,1
0.1624,0.2935,0.9178,0
0.5881,0.4478,0.8625,1
0.7068,0.3059,0.525,0
0.9908,0.2382,0.3043,1
0.0207,0.2854,0.2412,0
0.9783,0.6615,0.0555,1
0.6651,0.6587,0.3824,1
0.5084,0.9282,0.5553,1
0.1868,0.7957,0.1203,0
0.9267,0.5684,0.4235,1
0.2206,0.0154,0.7718,0
0.2895,0.731,0.4646,0
0.4826,0.0064,0.8802,0
0.5996,0.3672,0.5981,1
0.3461,0.6633,0.2217,0
0.1282,0.4029,0.1347,0
0.3945,0.935,0.3693,1
0.3353,0.3438,0.6038,0
0.0725,0.471,0.6672,0
0.5055,0.44,0.5912,0
0.3417,0.1426,0.1641,0
0.7918,0.0524,0.6402,1
0.8275,0.6117,0.3954,1
0.8691,0.6595,0.5522,1
0.978,0.9764,0.2538,1
0.6704,0.0568,0.4247,0
0.7432,0.8779,0.4728,1
0.3695,0.5825,0.1716,0
0.2653,0.2257,0.3763,0
0.3891,0.2583,0.0519,0
0.3647,0.7239,0.1734,0
0.4159,0.3921,0.1284,0
0.2061,0.7169,0.0076,0
0.2047,0.2596,0.5964,0
0.9902,0.5917,0.5374,1
0.402,0.0068,0.5649,0
0.2568,0.1986,0.1382,0
0.4793,0.3474,0.1901,0
0.0251,0.8179,0.4205,0
0.0855,0.5193,0.5947,0
0.5694,0.4241,0.2323,0
0.2019,0.6933,0.9938,1
0.4502,0.8841,0.989,1
0.2108,0.0136,0.9013,0
0.2537,0.3652,0.7105,0
0.2412,0.8965,0.3757,0
0.9175,0.7271,0.4108,1
0.4599,0.5514,0.3834,0
0.7248,0.1786,0.7184,1
0.5625,0.8044,0.0687,0
0.9217,0.2803,0.794,1
0.7647,0.838,0.1932,1
0.1811,0.9421,0.8576,0
0.8749,0.5115,0.4313,1
0.4963,0.1916,0.2825,0
0.8999,0.1121,0.2658,0
0.9551,0.4534,0.7895,1
0.3305,0.3819,0.8825,0
0.9993,0.6106,0.8512,1
0.708,0.6544,0.5971,1
0.8777,0.8688,0.7283,1
0.1055,0.365,0.8769,0
0.384,0.0323,0.8033,0
0.4858,0.0737,0.1721,0
0.539,0.1354,0.6214,0
0.5605,0.8378,0.3875,1
0.9559,0.8128,0.2512,1
0.2993,0.0576,0.7629,0
0.8526,0.6925,0.4211,1
0.3059,0.5515,0.0469,0
0.7982,0.8988,0.0252,1
0.2017,0.5317,0.8906,0
0.6529,0.5935,0.6824,1
0.2831,0.3012,0.8709,0
0.5758,0.4249,0.8616,1
0.6871,0.0548,0.1241,0
0.8292,0.827,0.2432,1
0.0571,0.4276,0.0446,0
0.1135,0.3604,0.5115,0
0.9107,0.7359,0.7283,1
0.2853,0.3137,0.4682,0
0.9295,0.7469,0.9935,1
0.0088,0.7536,0.445,0
0.6075,0.4434,0.1204,0
0.6964,0.2033,0.6595,0
0.4248,0.4271,0.7173,0
0.7871,0.7033,0.999,1
0.8861,0.526,0.7535,1
0.0109,0.6525,0.237,0
0.6332,0.7723,0.0737,1
0.98,0.6598,0.7108,1
0.0119,0.305,0.0311,0
0.4416,0.8256,0.1942,1
0.7632,0.8989,0.1141,1
0.1045,0.4144,0.0033,0
0.4019,0.0794,0.7003,0
0.9601,0.4249,0.2628,1
0.4763,0.768,0.6269,1
0.7389,0.1651,0.9108,1
0.9156,0.9244,0.471,1
0.7901,0.3681,0.4974,1
0.033,0.2292,0.9828,0
0.2373,0.907,0.7601,1
0.784,0.3704,0.3312,1
0.8724,0.4494,0.6255,1
0.5467,0.4794,0.9212,1
0.9828,0.5115,0.2033,1
0.2353,0.3803,0.1729,0
0.1905,0.3469,0.0543,0
