x1,x2,x3
44.79,30.33,77.09
53.39,27.14,68.3
53.95,30.62,62.2
53.03,36.17,84.48
41.97,36.65,70.95
40.03,32.82,79.6
51.56,31.45,70.77
55.85,24.35,66.27
47.11,31.8,73.94
39.58,24.37,58.74
47.01,24.39,71.33
50.03,34.85,77.92
47.87,37.96,84.57
44.23,26.17,58.88
36.87,33.24,78.9
39.91,26.42,80.84
56.78,26.24,73.47
38.99,27.72,80.75
52.27,28.38,63.06
57.12,27.23,60.78
39.65,30.91,69.7
48.25,25.5,68.16
46.1,28.09,82.22
47.77,35.56,74.48
55.01,20.64,45.36
49.84,30.33,55.59
56.54,31.28,77.02
50.59,23.9,73.96
57.92,27.28,65.84
57.86,33.5,66.66
49.76,34.37,57.8
59.5,29.32,81.94
33.98,31.89,40.4
48.65,35.45,78.37
39.82,23.77,63.7
42.76,28.22,70.72
47.94,26.78,63.97
55.29,30.61,68.08
31.54,30.8,76.96
61.88,30.8,59.57
49.82,24.48,66.82
44.42,34.79,75.18
45.76,33.31,76.85
40.84,33.74,65.68
39.22,24.3,73.54
53.72,27.47,63.53
63.66,28.55,73.87
49.95,32.79,80.95
48.71,30.05,73.51
54.49,22.83,74.9
62.2,38.37,88.45
51.48,30.95,62.23
47.07,30.52,71.89
43.46,27.89,70.98
53.62,32.48,74.78
39.31,33.41,56.79
46.66,35.04,51.92
43.2,24.71,66.72
64.39,29.12,71.89
40.34,39.98,65.24
48.61,37.65,64.92
48.07,23.94,70.27
37.93,33.6,77.78
42.6,30.95,63.87
64.93,23.95,61.03
49.07,15.82,62.84
38.06,27.77,76.75
42.99,32.99,71.64
45.4,27.85,77.87
55.07,34.73,70.12
62.46,21.46,62.08
46.36,26.48,61.53
34.11,28.09,68.01
38.68,31.71,77.22
56.25,22.44,83.13
33.64,27.71,66.89
60.33,34.06,71.83
59.34,33.44,68.62
56.47,37.28,63.29
50.22,32.95,60.92
49.73,36.39,67.68
43.72,36.95,76.81
51.08,28.08,68.37
56.68,28.68,74.99
49.48,28.94,71.95
58.6,32.23,85.21
47.17,29.97,73.3
60.74,33.67,72.14
48.24,31.79,61.36
52.55,34.32,91.2
49.23,27.17,85.05
33.57,33.29,65.41
47.39,32.58,70.76
42.11,23.79,61.4
49.54,37.67,65.41
64.15,38.56,59.44
49.69,22.99,70.52
46.99,38.71,61.19
42.26,27.24,77.8
46.63,33.61,72.9
45.49,34.21,60.16
47.82,35.17,85.39
52.37,31.69,72.81
60.37,31.69,62.2
67.93,30.18,68.77
49.45,31.2,73.2
44.48,25.3,80.89
58.72,22.9,89.12
57.87,35.07,68.27
62.33,30.76,66.52
65.8,35.06,72.68
45.06,24.2,74.8
48.45,36.25,74.22
56.14,22.64,63.78
56.55,34.47,77.93
48.83,25.88,74.05
43.73,28.33,60.69
37.7,32.68,70.12
62.87,29.16,69.11
49.73,28.49,78.76
