x1,x2,x3,label
0.1242,0.6403,0.3876,0
0.657,0.032,0.1644,0
0.6991,0.6501,0.7756,1
0.456,0.9999,0.078,1
0.2766,0.1195,0.5541,0
0.7501,0.3576,0.9607,1
0.0631,0.8049,0.0078,0
0.9521,0.0493,0.998,1
0.274,0.093,0.4894,0
0.6234,0.0566,0.7461,0
0.8527,0.0893,0.3985,0
0.2302,0.6028,0.2606,0
0.2003,0.5907,0.0235,0
0.2924,0.5372,0.74,0
0.8864,0.8345,0.4781,1
0.6473,0.0488,0.7114,0
0.4287,0.4118,0.9206,0
0.7086,0.0922,0.8473,0
0.3511,0.6641,0.2997,1
0.4586,0.9681,0.2609,1
0.3101,0.5966,0.4692,0
0.6966,0.2219,0.577,0
0.7754,0.8092,0.0732,1
0.2816,0.4713,0.9029,0
0.4861,0.8687,0.8269,1
0.1434,0.6551,0.5273,0
0.8193,0.7483,0.4559,1
0.6375,0.4939,0.14,1
0.039,0.2199,0.4981,0
0.0372,0.0299,0.6847,0
0.1835,0.5854,0.3315,0
0.6391,0.0173,0.3913,0
0.6309,0.4916,0.7424,1
0.6531,0.3995,0.3815,1
0.728,0.6719,0.4675,1
0.4263,0.9549,0.1396,1
0.0052,0.0523,0.0305,0
0.5506,0.6678,0.8216,1
0.7988,0.6524,0.1494,1
0.9794,0.5135,0.454,1
0.1347,0.736,0.3457,0
0.3226,0.2292,0.6196,0
0.5626,0.5352,0.4908,1
0.0041,0.4736,0.3881,0
0.8886,0.8725,0.9668,1
0.0591,0.2238,0.2757,0
0.2154,0.8201,0.65,1
0.8243,0.7928,0.4905,1
0.7826,0.0499,0.5028,0
0.656,0.5072,0.1387,1
0.7983,0.0146,0.9673,0
0.2222,0.034,0.1514,0
0.5298,0.5924,0.6482,1
0.7853,0.901,0.4705,1
0.7987,0.2674,0.1725,1
0.7605,0.7466,0.0819,1
0.4489,0.6447,0.7314,1
0.2435,0.6066,0.9343,0
0.9168,0.652,0.9379,1
0.172,0.9169,0.813,1
0.751,0.7774,0.6703,1
0.2357,0.4299,0.3423,0
0.7181,0.0475,0.9422,0
0.5204,0.596,0.8693,1
0.0658,0.031,0.2393,0
0.1168,0.5835,0.6218,0
0.2888,0.2412,0.5263,0
0.6827,0.4255,0.1957,1
0.7976,0.3361,0.1965,1
0.7586,0.6605,0.0991,1
0.1207,0.8372,0.0803,1
0.234,0.2693,0.6375,0
0.5416,0.94,0.4337,1
0.6997,0.7409,0.5736,1
0.4606,0.798,0.4501,1
0.834,0.0249,0.0897,0
0.5701,0.1409,0.4105,0
0.9216,0.4579,0.4698,1
0.286,0.4979,0.8935,0
0.5612,0.1429,0.3246,0
