time,value
1,95.33
2,113.49
3,103.09
4,105.15
5,100.4
6,111.37
7,115.0
8,116.05
9,105.4
10,121.73
11,127.55
12,114.4
13,119.19
14,128.58
15,132.3
16,130.01
17,122.91
18,130.23
19,141.33
20,144.95
21,152.5
22,136.66
23,133.84
24,131.19
25,143.47
26,148.05
27,153.25
28,140.72
29,161.82
30,176.05
31,154.91
32,159.75
33,157.53
34,157.6
35,150.63
36,166.16
37,166.21
38,160.37
39,169.53
40,149.87
41,171.06
42,176.6
43,179.28
44,178.8
45,170.24
46,192.69
47,185.78
48,173.47
49,194.73
50,192.27
51,195.03
52,196.99
53,206.55
54,183.24
55,201.66
56,203.5
57,202.25
58,199.79
59,203.45
60,201.1
