x1,x2,x3,label
0.04,0.2896,0.3493,0
0.6199,0.4611,0.6967,1
0.2712,0.3561,0.1371,0
0.0697,0.7793,0.3548,0
0.9745,0.785,0.4371,1
0.4647,0.5465,0.7876,0
0.9102,0.5752,0.7667,1
0.4923,0.0229,0.3277,0
0.5033,0.2962,0.4971,0
0.6226,0.875,0.8295,1
0.5113,0.6721,0.0368,0
0.1765,0.2702,0.5551,0
0.6239,0.9828,0.1273,1
0.5304,0.1693,0.1438,0
0.0108,0.2858,0.0729,0
0.2604,0.2813,0.4453,0
0.1231,0.6877,0.2828,0
0.8094,0.1424,0.0222,0
0.1425,0.723,0.0874,0
0.48,0.4947,0.9402,1
0.5114,0.4435,0.2906,0
0.5403,0.507,0.893,1
0.3522,0.7664,0.1807,0
0.7956,0.468,0.3183,1
0.432,0.2743,0.6177,0
0.247,0.135,0.089,0
0.9426,0.0322,0.3397,1
0.4407,0.9128,0.2214,0
0.0322,0.7817,0.111,0
0.3499,0.1231,0.0843,0
0.0658,0.1254,0.9486,0
0.694,0.7737,0.0136,1
0.0441,0.5453,0.4427,0
0.647,0.9222,0.4325,1
0.3708,0.8962,0.5664,1
0.4875,0.9824,0.1464,1
0.3991,0.2111,0.7898,0
0.5803,0.2457,0.14,0
0.1485,0.6535,0.6069,0
0.889,0.7022,0.5231,1
0.4095,0.4966,0.9142,1
0.999,0.3302,0.5063,1
0.6579,0.7711,0.9469,1
0.4764,0.0936,0.9555,0
0.4611,0.4777,0.5532,1
0.3459,0.1461,0.3298,0
0.2397,0.8221,0.6972,0
0.179,0.4579,0.3682,0
0.9434,0.8159,0.7002,1
0.388,0.304,0.1132,0
0.669,0.6692,0.9627,1
0.8893,0.6894,0.0996,1
0.9404,0.6114,0.0577,1
0.9145,0.1476,0.2896,1
0.606,0.2546,0.8578,1
0.7866,0.5834,0.6872,1
0.7965,0.2635,0.4931,1
0.3925,0.856,0.8729,1
0.3276,0.7595,0.6809,1
0.1296,0.5502,0.2384,0
0.7597,0.5589,0.9526,1
0.9813,0.8968,0.3967,1
0.4033,0.2091,0.2842,0
0.781,0.5515,0.149,1
0.3581,0.0196,0.4948,0
0.156,0.8887,0.4058,0
0.8853,0.0958,0.631,1
0.594,0.1177,0.0526,0
0.0735,0.8052,0.9637,0
0.3736,0.7063,0.1906,0
0.4485,0.4516,0.6646,0
0.8409,0.7151,0.2911,1
0.4966,0.8603,0.4066,1
0.9138,0.1024,0.9606,1
0.7068,0.266,0.819,1
0.9296,0.3556,0.1076,1
0.6995,0.0066,0.5915,0
0.3495,0.3126,0.3236,0
0.1345,0.3671,0.4042,0
0.3429,0.107,0.4162,0
0.2694,0.703,0.0222,0
0.0251,0.2921,0.9244,0
0.3623,0.4162,0.8961,0
0.827,0.9827,0.8357,1
0.6541,0.4666,0.1611,0
0.2512,0.9066,0.2125,0
0.6406,0.0067,0.272,0
0.0879,0.9152,0.6798,0
0.3663,0.4581,0.3822,0
0.5976,0.6869,0.4232,1
0.0099,0.7351,0.8592,0
0.9374,0.4496,0.3922,1
0.2031,0.8071,0.3335,0
0.482,0.0963,0.3811,0
0.3127,0.8227,0.8075,1
0.8719,0.3227,0.1262,1
0.4575,0.5956,0.321,0
0.3872,0.0662,0.7634,0
0.5358,0.2175,0.847,0
0.1878,0.5149,0.0589,0
0.5093,0.6493,0.4074,1
0.4746,0.3286,0.8145,0
0.8545,0.8077,0.9332,1
0.9663,0.2471,0.862,1
0.9906,0.9285,0.431,1
0.297,0.7963,0.645,0
0.1225,0.7587,0.5945,0
0.3335,0.9462,0.7113,1
0.1713,0.9358,0.1455,0
0.7762,0.0949,0.424,1
0.0027,0.7153,0.8429,0
0.4121,0.0959,0.3161,0
0.7814,0.9931,0.0676,1
0.3104,0.5773,0.2345,0
0.7535,0.8532,0.0089,1
0.6049,0.5922,0.8655,1
0.5374,0.1428,0.7728,0
0.2435,0.968,0.5265,0
0.9366,0.3986,0.2306,1
0.0657,0.3573,0.3066,0
0.547,0.971,0.7007,1
0.1938,0.3685,0.6708,0
0.0922,0.1595,0.2738,0
0.6595,0.3289,0.5843,1
0.6069,0.8764,0.5409,1
0.4011,0.3303,0.699,0
0.7749,0.6628,0.2733,1
0.3439,0.4231,0.049,0
0.6489,0.285,0.869,1
0.2393,0.0951,0.257,0
0.7985,0.002,0.7271,0
0.0631,0.7858,0.6241,0
0.8779,0.7107,0.8304,1
0.322,0.456,0.0818,0
0.0343,0.5346,0.1603,0
0.6499,0.8079,0.1194,1
0.0458,0.3044,0.9384,0
0.0433,0.309,0.5163,0
0.3041,0.7576,0.2866,0
0.9383,0.2653,0.3069,1
0.5907,0.8062,0.2625,1
0.2327,0.3057,0.9338,0
0.5297,0.2364,0.7087,0
0.2156,0.7415,0.7518,0
0.9431,0.5774,0.4875,1
0.5694,0.1994,0.0386,0
0.5025,0.7884,0.5873,1
0.1708,0.9741,0.2667,0
0.8506,0.3575,0.673,1
0.6743,0.3427,0.805,1
0.207,0.8518,0.1066,0
0.9618,0.6397,0.8037,1
0.9514,0.3835,0.223,1
0.6838,0.6163,0.2051,1
0.6979,0.7382,0.1755,1
0.0367,0.794,0.8432,0
0.4507,0.247,0.7935,0
0.9654,0.777,0.2416,1
0.9283,0.2922,0.0698,0
0.7538,0.7151,0.839,1
0.5046,0.4931,0.3613,0
0.566,0.1591,0.216,0
0.1515,0.5322,0.7794,0
0.7108,0.3614,0.6365,1
0.4211,0.2231,0.4547,0
0.8027,0.418,0.4333,1
0.7992,0.7955,0.1801,1
0.9147,0.0285,0.0289,0
0.0366,0.9569,0.8524,0
0.5824,0.918,0.2182,1
0.9664,0.951,0.6261,1
0.5334,0.0622,0.8341,0
0.3036,0.2058,0.2668,0
0.6072,0.606,0.7569,1
0.2829,0.0025,0.9637,0
0.2325,0.9095,0.4754,0
0.8315,0.8679,0.3722,1
0.5856,0.1887,0.2136,0
0.1571,0.3362,0.4622,0
0.9693,0.2739,0.5952,1
