x1,x2,x3,label
0.6921,0.4656,0.9864,1
0.9422,0.6782,0.8262,1
0.7173,0.0555,0.9339,1
0.9217,0.9455,0.9945,1
0.388,0.4059,0.6954,0
0.4059,0.8294,0.8497,1
0.3682,0.8971,0.1003,0
0.0086,0.317,0.4074,0
0.5142,0.6004,0.6416,1
0.1215,0.5583,0.8439,0
0.0269,0.3392,0.0827,0
0.7133,0.9835,0.1894,1
0.1237,0.5922,0.6271,0
0.865,0.0749,0.0443,0
0.0835,0.7544,0.077,0
0.3832,0.1558,0.4809,0
0.1194,0.3873,0.7756,0
0.4197,0.3064,0.5863,0
0.2628,0.0184,0.8782,0
0.9254,0.6555,0.5188,1
0.1528,0.3946,0.4603,0
0.2605,0.2722,0.0735,0
0.9194,0.5621,0.1635,1
0.8805,0.3422,0.9732,1
0.3141,0.0105,0.7012,0
0.0408,0.7426,0.327,0
0.3834,0.5074,0.681,0
0.9986,0.743,0.9793,1
0.2222,0.8769,0.171,0
0.1632,0.7957,0.7063,0
0.0759,0.9992,0.9849,0
0.2774,0.3633,0.2185,0
0.2896,0.2928,0.2971,0
0.4492,0.0945,0.8206,0
0.7496,0.7884,0.4914,1
0.3902,0.1766,0.1787,0
0.9507,0.4537,0.6076,1
0.6583,0.9891,0.5468,1
0.2313,0.4413,0.7544,0
0.5848,0.4989,0.862,1
0.2649,0.4463,0.37,0
0.6332,0.9277,0.3679,1
0.7832,0.7376,0.5933,1
0.9114,0.5298,0.5291,1
0.2006,0.85,0.7372,0
0.6496,0.4439,0.7666,1
0.646,0.2539,0.8554,1
0.3911,0.2485,0.308,0
0.5727,0.4013,0.5809,0
0.8333,0.876,0.3752,1
0.4624,0.3002,0.9425,0
0.8301,0.7105,0.1714,1
0.8604,0.5244,0.9057,1
0.3266,0.9735,0.7254,1
0.609,0.3693,0.0415,0
0.915,0.9342,0.9105,1
0.2453,0.8999,0.7621,1
0.0495,0.0116,0.3731,0
0.693,0.894,0.6531,1
0.1278,0.6991,0.9818,0
0.7601,0.6453,0.0089,1
0.9781,0.6832,0.6314,1
0.9699,0.8046,0.9318,1
0.177,0.7273,0.2213,0
