x1,x2,x3
37.03,28.87,76.86
43.55,22.33,70.68
57.72,35.09,74.61
60.79,40.23,58.8
43.45,21.8,63.25
55.23,29.23,81.37
34.89,28.37,72.61
49.67,30.04,68.61
48.75,34.35,83.13
40.56,32.28,78.01
54.37,32.93,66.11
44.05,32.41,54.96
45.07,24.43,82.15
65.47,29.94,81.38
40.96,27.36,77.23
50.19,37.32,62.04
51.96,25.18,78.95
54.86,23.35,65.48
56.3,41.33,77.43
46.31,24.72,63.86
55.69,19.92,77.82
58.2,21.7,48.71
42.21,35.69,79.87
43.06,32.04,94.29
39.93,35.73,55.26
52.54,36.0,78.73
59.95,30.43,75.98
45.58,34.99,66.03
38.87,39.45,59.79
46.55,24.56,61.16
41.64,30.33,69.99
50.58,33.79,99.29
54.31,32.14,70.88
58.11,27.11,59.67
49.69,28.05,57.16
43.11,26.37,59.9
42.82,28.33,70.48
47.34,31.01,82.7
72.01,28.69,86.33
47.64,36.33,58.88
63.38,40.18,54.5
61.04,22.79,63.02
58.12,27.53,61.63
40.87,38.6,46.69
45.74,31.86,72.68
70.1,24.31,58.58
56.45,38.41,69.77
58.39,33.71,87.3
62.89,25.77,47.24
52.69,23.79,84.31
50.17,28.51,62.73
47.25,31.07,83.03
56.3,26.97,78.6
33.71,27.33,78.31
46.52,20.13,56.58
45.35,24.4,61.29
60.27,27.73,55.26
59.83,19.74,51.69
50.85,27.12,80.89
59.78,32.14,77.39
61.89,22.76,74.55
57.08,28.9,66.45
37.26,28.0,57.13
52.28,25.49,64.97
45.97,28.23,75.8
58.67,32.79,76.6
51.29,37.05,70.83
43.01,26.4,78.32
63.13,36.75,72.04
58.5,28.76,61.22
51.82,30.48,60.42
51.35,27.81,50.21
44.13,30.52,60.47
48.8,26.97,66.95
56.78,25.13,49.94
47.97,22.96,77.75
44.02,33.6,73.57
50.74,37.93,75.57
54.87,29.97,56.69
51.89,26.98,86.81
70.42,38.93,73.96
41.13,28.48,69.62
47.74,29.25,52.48
32.29,40.13,61.46
50.24,38.92,65.0
53.8,25.22,78.42
50.52,34.01,66.15
49.85,25.34,59.21
45.33,30.01,79.63
59.97,29.98,62.16
49.05,24.48,72.25
64.19,36.48,51.81
38.08,37.97,74.08
54.23,33.45,79.23
55.43,37.23,65.77
51.43,20.96,80.45
50.21,27.27,66.53
42.85,28.84,66.93
41.23,31.53,72.92
57.72,30.37,90.19
54.87,33.52,49.27
42.21,18.22,66.0
52.1,32.42,75.46
42.91,28.79,62.59
52.1,24.34,83.45
53.97,32.04,66.67
54.44,27.33,79.09
44.28,29.64,76.81
49.27,27.79,77.47
53.71,37.33,68.61
53.25,26.82,87.56
48.98,19.92,84.06
65.08,31.97,75.55
60.51,28.2,95.88
45.97,34.66,73.66
50.89,34.36,67.45
45.07,30.02,64.92
61.01,33.12,75.61
31.37,29.08,54.02
62.01,28.2,74.96
