x1,x2,x3,label
0.597,0.6851,0.8407,1
0.9869,0.342,0.401,1
0.9023,0.115,0.3612,1
0.2124,0.8151,0.194,1
0.7092,0.3881,0.581,1
0.0094,0.5618,0.2891,0
0.7397,0.1111,0.6112,0
0.3899,0.2294,0.4303,0
0.882,0.6423,0.734,1
0.7072,0.0215,0.6604,0
0.676,0.719,0.449,1
0.27,0.2675,0.0864,0
0.1585,0.4923,0.9838,0
0.354,0.1243,0.9022,0
0.8519,0.6014,0.7627,1
0.5635,0.668,0.3868,1
0.9988,0.2263,0.9678,1
0.1941,0.0104,0.7189,0
0.4172,0.3555,0.3074,0
0.0546,0.7483,0.5596,0
0.254,0.2509,0.771,0
0.6992,0.9235,0.1039,1
0.7094,0.0354,0.6987,0
0.6782,0.5253,0.8107,1
0.5649,0.7941,0.3207,1
0.1668,0.1656,0.0004,0
0.974,0.9769,0.6012,1
0.9638,0.8279,0.135,1
0.5237,0.4226,0.6321,0
0.7208,0.0206,0.3542,0
0.157,0.4141,0.3219,0
0.8457,0.2972,0.4265,1
0.7158,0.0722,0.9419,0
0.8641,0.9299,0.2459,1
0.4801,0.8701,0.3075,1
0.285,0.628,0.6338,0
0.3168,0.9693,0.4423,1
0.3269,0.5863,0.2118,0
0.955,0.4255,0.9602,1
0.9461,0.0915,0.7093,1
0.1022,0.1774,0.8607,0
0.902,0.6805,0.2315,1
0.3131,0.2988,0.383,0
0.2652,0.4231,0.3511,0
0.1986,0.4493,0.3604,0
0.4665,0.4683,0.058,0
0.9129,0.5076,0.7795,1
0.002,0.6526,0.1576,0
0.591,0.5404,0.2776,1
0.7556,0.3299,0.4404,1
0.3788,0.2667,0.9206,0
0.7936,0.9312,0.6716,1
0.5671,0.3087,0.2577,0
0.7996,0.3544,0.6564,1
0.1065,0.0312,0.9439,0
0.6021,0.0958,0.0075,0
0.2446,0.3837,0.0484,0
0.5405,0.3355,0.2865,0
0.1604,0.7364,0.8656,0
0.69,0.6599,0.1511,1
0.3092,0.0192,0.2259,0
0.8592,0.2749,0.6567,1
0.8857,0.4444,0.7346,1
0.9401,0.7551,0.5389,1
0.4259,0.5751,0.1787,1
0.064,0.2496,0.3835,0
0.0008,0.8972,0.9761,0
0.0511,0.2739,0.1227,0
0.2426,0.6277,0.0007,0
0.8876,0.3964,0.588,1
0.7836,0.142,0.4595,0
0.457,0.5853,0.5386,1
0.4256,0.6024,0.0531,1
0.0193,0.1466,0.6116,0
0.2032,0.4697,0.8087,0
0.9112,0.7615,0.6737,1
0.5658,0.6171,0.6919,1
0.3784,0.0967,0.4408,0
0.9216,0.6423,0.8552,1
0.8958,0.1435,0.8203,1
