x1,x2,x3,label
0.0745,0.2623,0.2259,0
0.0264,0.5836,0.9796,0
0.8757,0.6539,0.9962,1
0.4309,0.8753,0.5903,1
0.9293,0.0842,0.9738,1
0.0795,0.2674,0.9313,0
0.0007,0.0363,0.6942,0
0.1677,0.014,0.3535,0
0.3212,0.4545,0.2668,0
0.147,0.0402,0.6467,0
0.688,0.2692,0.8006,1
0.5639,0.5925,0.3466,1
0.1426,0.4039,0.7404,0
0.3682,0.627,0.533,1
0.5754,0.616,0.3729,1
0.1704,0.0994,0.1375,0
0.2447,0.5882,0.5416,0
0.8096,0.2091,0.3725,1
0.8458,0.3923,0.5445,1
0.6038,0.2582,0.0379,0
0.6706,0.3819,0.7123,1
0.2155,0.8425,0.231,1
0.1519,0.3371,0.9084,0
0.9287,0.4578,0.4625,1
0.0497,0.2773,0.6245,0
0.1353,0.2284,0.4957,0
0.3057,0.8127,0.2494,1
0.1781,0.2318,0.923,0
0.3749,0.665,0.0523,1
0.0591,0.424,0.1106,0
0.0887,0.5955,0.7035,0
0.5896,0.8752,0.0295,1
0.4077,0.6083,0.1167,1
0.8946,0.4789,0.1999,1
0.4018,0.6616,0.1306,1
0.933,0.5718,0.6191,1
0.6129,0.5728,0.0432,1
0.7389,0.1917,0.7639,0
0.5145,0.4477,0.588,1
0.9124,0.7836,0.6202,1
0.2305,0.3261,0.3938,0
0.6058,0.7501,0.16,1
0.7277,0.7431,0.9699,1
0.5622,0.7627,0.9923,1
0.8435,0.3565,0.0061,1
0.7999,0.4486,0.3868,1
0.0166,0.1324,0.3971,0
0.2689,0.9949,0.5794,1
0.5895,0.748,0.2976,1
0.2766,0.7833,0.334,1
0.6231,0.0514,0.9919,0
0.4534,0.9779,0.8108,1
0.9577,0.7951,0.9659,1
0.0799,0.1291,0.4167,0
0.9269,0.7629,0.6337,1
0.4273,0.4995,0.4915,0
0.4196,0.3162,0.0704,0
0.0087,0.7423,0.3581,0
0.1787,0.1131,0.6946,0
0.6766,0.762,0.4412,1
0.581,0.5996,0.9013,1
0.5878,0.06,0.7479,0
0.0104,0.5971,0.5004,0
0.0703,0.6583,0.8986,0
0.8443,0.1987,0.4761,1
0.2215,0.9738,0.4039,1
0.1548,0.9113,0.2943,1
0.2935,0.7875,0.9843,1
0.4947,0.8228,0.8566,1
0.7959,0.8495,0.7391,1
0.8079,0.2674,0.3402,1
0.08,0.0774,0.0427,0
0.5211,0.0267,0.0502,0
0.9075,0.177,0.7843,1
0.1762,0.1261,0.7625,0
0.1346,0.3941,0.6611,0
0.6762,0.0674,0.8051,0
0.6927,0.4516,0.4009,1
0.6083,0.7408,0.9337,1
0.331,0.0379,0.1204,0
