time,value
1,103.16
2,107.89
3,110.41
4,102.23
5,114.79
6,100.68
7,120.67
8,98.27
9,126.98
10,136.3
11,123.92
12,122.39
13,129.72
14,118.24
15,128.15
16,128.34
17,133.34
18,130.99
19,138.87
20,133.55
21,129.83
22,146.34
23,154.59
24,125.14
25,147.48
26,151.79
27,150.34
28,154.9
29,154.83
30,158.45
31,146.15
32,166.11
33,165.99
34,174.93
35,160.26
36,164.35
37,191.53
38,171.04
39,161.49
40,173.57
41,196.24
42,172.37
43,158.27
44,171.61
45,191.84
46,177.34
47,181.52
48,199.61
49,184.63
50,190.43
51,183.41
52,202.14
53,188.71
54,202.18
55,201.51
56,191.74
57,195.22
58,204.67
59,214.13
60,213.95
