x1,x2,x3,label
0.8748,0.1658,0.3342,1
0.6523,0.3713,0.86,1
0.0753,0.5214,0.6826,0
0.5146,0.8351,0.421,1
0.2037,0.3437,0.1041,0
0.0793,0.7901,0.9164,0
0.4615,0.0632,0.3993,0
0.4122,0.0648,0.9314,0
0.6536,0.6099,0.0141,1
0.8404,0.402,0.2138,1
0.6536,0.1307,0.132,0
0.2412,0.0966,0.6067,0
0.644,0.7139,0.6059,1
0.9132,0.8141,0.5272,1
0.2509,0.3384,0.8688,0
0.4032,0.3961,0.067,0
0.0839,0.0304,0.4154,0
0.3885,0.6514,0.3382,0
0.8393,0.6015,0.9904,1
0.4278,0.3146,0.6926,0
0.1147,0.3733,0.9417,0
0.7352,0.186,0.6106,1
0.4209,0.7569,0.5541,1
0.2928,0.4218,0.9667,0
0.974,0.2485,0.7612,1
0.7338,0.0405,0.973,0
0.2781,0.3061,0.1596,0
0.4242,0.1706,0.2666,0
0.0865,0.651,0.9058,0
0.0207,0.7183,0.9524,0
0.2458,0.0609,0.9302,0
0.5538,0.1987,0.2492,0
0.9047,0.1322,0.8357,1
0.3237,0.8661,0.9197,1
0.5808,0.8234,0.0199,1
0.5022,0.7553,0.4565,1
0.5637,0.1412,0.9542,0
0.9179,0.5942,0.2469,1
0.0401,0.7113,0.6917,0
0.9453,0.2502,0.5096,1
0.734,0.4433,0.9469,1
0.8322,0.0646,0.9931,1
0.2521,0.119,0.2461,0
0.9225,0.6334,0.9577,1
0.1941,0.337,0.995,0
0.8494,0.1996,0.3845,0
0.6028,0.7702,0.9299,1
0.2903,0.7376,0.4648,0
0.6109,0.845,0.5998,1
0.3182,0.2242,0.9379,0
0.5856,0.3259,0.8849,1
0.8969,0.4384,0.2881,1
0.2578,0.5201,0.3636,0
0.4407,0.4958,0.5013,0
0.0811,0.8183,0.6266,0
0.5211,0.2377,0.8298,0
0.6056,0.3579,0.8184,1
0.0312,0.8844,0.6333,0
0.3822,0.6802,0.1157,0
0.6056,0.1243,0.6798,0
0.796,0.7381,0.1542,1
0.8076,0.5909,0.8995,1
0.569,0.6435,0.8339,1
0.2099,0.3776,0.3727,0
0.6614,0.5196,0.4327,0
0.9468,0.5133,0.8252,1
0.3825,0.2487,0.6247,0
0.3575,0.3382,0.0289,0
0.1985,0.629,0.1531,0
0.2754,0.7697,0.114,0
0.2512,0.2813,0.1129,0
0.7501,0.6519,0.1155,1
0.1783,0.7889,0.4784,0
0.2644,0.5012,0.7713,0
0.1742,0.858,0.4775,0
0.214,0.6133,0.644,0
0.9151,0.3451,0.0989,1
0.0999,0.5578,0.5929,0
0.1637,0.1873,0.9521,0
0.9616,0.5253,0.6076,1
0.0488,0.6176,0.0696,0
0.9293,0.7956,0.9642,1
0.0552,0.3329,0.9911,0
0.9944,0.0686,0.4679,1
0.6074,0.2368,0.3369,0
0.7695,0.4626,0.9771,1
0.6308,0.8588,0.7448,1
0.136,0.4456,0.4741,0
0.2875,0.9278,0.4472,0
0.8231,0.4305,0.59,1
0.8382,0.6256,0.8869,1
0.8293,0.0036,0.9675,1
0.1571,0.78,0.0969,0
0.9296,0.5315,0.2695,1
0.2969,0.6416,0.229,0
0.8564,0.7244,0.6334,1
0.9627,0.5172,0.3626,1
0.5836,0.0461,0.1836,0
0.9868,0.6736,0.4855,1
0.0617,0.1786,0.007,0
0.102,0.5438,0.8093,0
0.8539,0.0524,0.6282,1
0.4351,0.221,0.3136,0
0.7581,0.6902,0.6673,1
0.5326,0.9294,0.36,1
0.5391,0.8162,0.6911,1
0.4495,0.2591,0.8242,0
0.5381,0.9144,0.296,1
0.6776,0.3316,0.3205,0
0.9491,0.9682,0.6444,1
0.5197,0.0962,0.3035,0
0.2875,0.2759,0.0176,0
0.3687,0.6223,0.8296,1
0.3421,0.3876,0.3174,0
0.2347,0.3737,0.7506,0
0.4094,0.8632,0.015,0
0.7715,0.02,0.6179,0
0.398,0.4101,0.2787,0
0.8345,0.3927,0.1511,1
0.1322,0.9692,0.0182,0
0.6256,0.1797,0.1607,0
0.4453,0.5792,0.1292,0
0.2511,0.5089,0.8332,0
0.8262,0.2826,0.1316,0
0.8007,0.3275,0.8264,1
0.1314,0.8901,0.781,0
0.588,0.0945,0.4354,0
0.7171,0.9799,0.677,1
0.8496,0.2184,0.9432,1
0.0205,0.8374,0.4081,0
0.2896,0.2643,0.1532,0
0.4527,0.8808,0.7957,1
0.4071,0.8164,0.8589,1
0.0266,0.0229,0.054,0
0.2766,0.364,0.3954,0
0.9062,0.0307,0.3629,0
0.5847,0.9761,0.1581,1
0.9524,0.9689,0.5817,1
0.3247,0.1961,0.7326,0
0.5955,0.9631,0.2624,1
0.02,0.1675,0.5128,0
0.5339,0.7301,0.3047,1
0.1911,0.1513,0.5128,0
0.4454,0.6634,0.416,0
0.7718,0.4908,0.1266,1
0.5564,0.6231,0.3563,0
0.3768,0.4725,0.886,0
0.9405,0.4173,0.3639,1
0.3115,0.0432,0.5602,0
0.2783,0.1625,0.8574,0
0.8739,0.1005,0.2492,1
0.4899,0.7801,0.6843,1
0.5949,0.0253,0.9488,0
0.7321,0.8469,0.4478,1
0.3646,0.7282,0.7732,1
0.9568,0.4729,0.8504,1
0.6871,0.9646,0.2818,1
0.8401,0.3599,0.5651,1
0.9017,0.502,0.7789,1
0.2231,0.7747,0.9517,1
0.3057,0.8777,0.3525,0
0.5739,0.9227,0.8387,1
0.5076,0.0164,0.5242,0
0.9859,0.4309,0.3771,1
0.5684,0.3687,0.9755,1
0.0677,0.1109,0.0512,0
0.9434,0.7913,0.3447,1
0.4593,0.6531,0.1533,0
0.2403,0.9911,0.4559,1
0.7188,0.8535,0.7837,1
0.4146,0.502,0.6991,0
0.7784,0.8835,0.8907,1
0.5491,0.061,0.2207,0
0.3257,0.8925,0.1469,0
0.1795,0.9862,0.5848,0
0.591,0.0024,0.1455,0
0.435,0.6203,0.2593,0
0.0373,0.5552,0.7386,0
0.8258,0.6754,0.9295,1
0.6858,0.5494,0.612,1
