x1,x2,x3,label
0.5974,0.626,0.3215,1
0.7193,0.8875,0.0964,1
0.7397,0.9176,0.718,1
0.2954,0.4278,0.7602,0
0.5346,0.8797,0.8505,1
0.0405,0.9082,0.272,0
0.8417,0.2405,0.4731,1
0.0002,0.439,0.1774,0
0.4747,0.1429,0.8491,0
0.4996,0.9597,0.4593,1
0.7869,0.7159,0.4529,1
0.037,0.8335,0.8304,0
0.4853,0.8997,0.7687,1
0.8759,0.951,0.7204,1
0.9482,0.4274,0.3159,1
0.4434,0.2687,0.2308,0
0.7619,0.8763,0.8316,1
0.9621,0.8192,0.6154,1
0.2395,0.8735,0.7412,1
0.9142,0.6608,0.5852,1
0.6396,0.2756,0.8638,0
0.0127,0.2147,0.795,0
0.8378,0.6426,0.5595,1
0.364,0.2159,0.0945,0
0.2342,0.3339,0.5589,0
0.0839,0.578,0.1375,0
0.3635,0.3263,0.9844,0
0.5451,0.8793,0.887,1
0.6195,0.4925,0.4168,1
0.2232,0.5532,0.4555,0
0.9169,0.5989,0.934,1
0.8674,0.3483,0.8617,1
0.7689,0.4632,0.7058,1
0.8609,0.11,0.0659,1
0.8339,0.7197,0.1255,1
0.0426,0.5425,0.2066,0
0.9343,0.4899,0.167,1
0.1906,0.5988,0.0043,0
0.6141,0.5414,0.2479,1
0.8169,0.8295,0.8861,1
0.6036,0.7258,0.6749,1
0.7894,0.6505,0.7586,1
0.3216,0.9225,0.2071,1
0.6482,0.7129,0.9067,1
0.098,0.8055,0.3999,0
0.1655,0.2709,0.8943,0
0.8198,0.5865,0.853,1
0.7141,0.4863,0.5491,1
0.9857,0.4304,0.7824,1
0.0481,0.2452,0.2198,0
0.721,0.3178,0.2276,1
0.1288,0.691,0.0275,0
0.9378,0.4678,0.1902,1
0.2695,0.1588,0.7504,0
0.0254,0.8901,0.9033,0
0.5003,0.1854,0.2716,0
0.3918,0.0621,0.5634,0
0.0475,0.4256,0.8961,0
0.9781,0.4502,0.8108,1
0.4195,0.4443,0.5173,0
0.8375,0.132,0.9667,1
0.2385,0.0418,0.697,0
0.6007,0.0262,0.8179,0
0.8809,0.6614,0.9672,1
0.3739,0.4822,0.0867,0
0.9886,0.4071,0.7399,1
0.4224,0.3361,0.2635,0
0.952,0.7332,0.299,1
0.9939,0.6341,0.8588,1
0.1405,0.0725,0.743,0
0.2457,0.2005,0.5035,0
0.0719,0.3708,0.8617,0
0.7841,0.4153,0.2245,1
0.4035,0.8339,0.1048,1
0.8888,0.145,0.2613,1
0.598,0.6394,0.5327,1
0.748,0.6042,0.487,1
0.1161,0.3182,0.1813,0
0.7361,0.2333,0.2204,1
0.9077,0.4523,0.8894,1
