x1,x2,x3,label
0.0465,0.5407,0.2841,0
0.3365,0.8027,0.2883,1
0.0509,0.6359,0.6019,0
0.2389,0.5854,0.7317,0
0.1214,0.156,0.0254,0
0.3206,0.483,0.2374,0
0.0516,0.4151,0.464,0
0.8231,0.1424,0.4345,1
0.0112,0.0719,0.2816,0
0.188,0.4394,0.9385,0
0.2844,0.7793,0.7863,1
0.9223,0.2414,0.3459,1
0.5513,0.1242,0.2976,0
0.0424,0.3994,0.6357,0
0.3744,0.0825,0.6753,0
0.8114,0.9779,0.1212,1
0.6074,0.0533,0.7666,0
0.0738,0.3383,0.1801,0
0.4424,0.1015,0.3868,0
0.0606,0.3738,0.5428,0
0.0849,0.5459,0.724,0
0.5558,0.0979,0.3232,0
0.9864,0.6941,0.1713,1
0.3943,0.892,0.6198,1
0.0647,0.5773,0.4616,0
0.7119,0.8367,0.3657,1
0.9338,0.0807,0.9155,1
0.1465,0.9298,0.0329,1
0.0466,0.0576,0.1559,0
0.8108,0.8233,0.0433,1
0.2182,0.5575,0.0686,0
0.8862,0.6909,0.4163,1
0.375,0.8217,0.8263,1
0.3475,0.2473,0.1248,0
0.6904,0.9985,0.4949,1
0.7917,0.461,0.6427,1
0.6587,0.0959,0.5171,0
0.4192,0.0768,0.2926,0
0.5303,0.4754,0.4856,1
0.5396,0.3624,0.0812,0
0.8058,0.4522,0.9598,1
0.9154,0.5964,0.1979,1
0.0661,0.9737,0.6602,1
0.1567,0.2698,0.9415,0
0.8803,0.8169,0.1962,1
0.3734,0.5402,0.6025,0
0.6907,0.2507,0.3783,0
0.4024,0.4729,0.5324,0
0.0679,0.1627,0.1708,0
0.7454,0.9486,0.7135,1
0.7117,0.311,0.8124,1
0.6999,0.4363,0.8392,1
0.3641,0.6519,0.5947,1
0.8119,0.3721,0.9325,1
0.1146,0.1246,0.3512,0
0.3427,0.793,0.7739,1
0.3294,0.9237,0.8271,1
0.581,0.9011,0.1733,1
0.5908,0.3787,0.0907,1
0.6405,0.7092,0.0781,1
0.778,0.9645,0.0041,1
0.5177,0.1619,0.2408,0
0.5812,0.6488,0.8776,1
0.2995,0.6332,0.6869,0
0.0619,0.3759,0.5035,0
0.4825,0.4779,0.5924,1
0.0001,0.3148,0.7005,0
0.4795,0.3122,0.6324,0
0.3619,0.5093,0.6601,0
0.3926,0.6989,0.4886,1
0.8181,0.5164,0.1485,1
0.9892,0.0546,0.8326,1
0.8172,0.1149,0.3175,0
0.2509,0.4327,0.4821,0
0.6105,0.0964,0.6179,0
0.269,0.0758,0.0509,0
0.4804,0.746,0.7484,1
0.5148,0.2677,0.9276,0
0.3333,0.4259,0.2461,0
0.6361,0.7968,0.5594,1
