x1,x2,x3,label
0.1532,0.2092,0.1261,0
0.3796,0.2466,0.1819,0
0.9812,0.1829,0.966,1
0.8793,0.4947,0.4321,1
0.2044,0.3949,0.3188,0
0.6581,0.3253,0.5422,1
0.9823,0.4016,0.9693,1
0.1586,0.501,0.2269,0
0.5205,0.9598,0.311,1
0.0797,0.3539,0.2799,0
0.4605,0.3161,0.5491,0
0.2036,0.7588,0.2418,1
0.9796,0.1957,0.7445,1
0.7216,0.1717,0.2297,0
0.8083,0.9007,0.1574,1
0.7943,0.1383,0.5682,0
0.0315,0.5776,0.3533,0
0.9573,0.8897,0.8576,1
0.727,0.0271,0.184,0
0.0198,0.5477,0.008,0
0.0828,0.7148,0.1808,0
0.1427,0.1383,0.902,0
0.3922,0.1404,0.7872,0
0.9804,0.7788,0.1287,1
0.4701,0.7985,0.1392,1
0.8986,0.0563,0.9222,1
0.5991,0.3377,0.3071,0
0.9102,0.3832,0.1674,1
0.7274,0.6117,0.85,1
0.6201,0.8708,0.5676,1
0.0988,0.358,0.7937,0
0.0703,0.6377,0.6783,0
0.9575,0.8052,0.7923,1
0.4511,0.7112,0.445,1
0.0096,0.1229,0.6191,0
0.5101,0.9699,0.4173,1
0.398,0.8419,0.4781,1
0.1233,0.5671,0.6713,0
0.1491,0.165,0.7473,0
0.5752,0.3582,0.9236,0
0.5043,0.9079,0.3374,1
0.016,0.1791,0.4435,0
0.0018,0.5165,0.6534,0
0.207,0.0714,0.9959,0
0.456,0.2602,0.5581,0
0.8518,0.1311,0.0774,1
0.1274,0.3643,0.3496,0
0.8756,0.5229,0.5077,1
0.4373,0.1805,0.4727,0
0.6688,0.7204,0.0554,1
0.4845,0.5052,0.181,1
0.7071,0.4053,0.9188,1
0.355,0.7638,0.5074,1
0.5352,0.7981,0.4231,1
0.6873,0.6807,0.5598,1
0.0421,0.4958,0.4655,0
0.8966,0.6119,0.9773,1
0.9613,0.0143,0.6336,1
0.762,0.8375,0.9659,1
0.0035,0.9994,0.8537,1
0.4005,0.2767,0.1741,0
0.8597,0.0233,0.0245,0
0.2756,0.6606,0.7439,0
0.105,0.4211,0.7495,0
0.9668,0.6359,0.4576,1
0.7525,0.3724,0.1541,1
0.7723,0.679,0.9211,1
0.9162,0.9088,0.2593,1
0.1646,0.8105,0.6249,1
0.8134,0.535,0.509,1
0.8753,0.8527,0.0795,1
0.4624,0.6533,0.2083,1
0.7678,0.5464,0.7539,1
0.0368,0.106,0.2607,0
0.3678,0.3123,0.5543,0
0.9908,0.1989,0.7301,1
0.3168,0.517,0.4231,0
0.6808,0.9362,0.794,1
0.3502,0.3999,0.4938,0
0.5207,0.1744,0.8461,0
