x1,x2,x3,label
0.9016,0.388,0.7536,1
0.7321,0.3241,0.172,1
0.1969,0.0353,0.6986,0
0.6309,0.2592,0.6567,0
0.03,0.9306,0.2735,1
0.0019,0.52,0.7768,0
0.3271,0.0834,0.5898,0
0.7822,0.6892,0.3673,1
0.1837,0.655,0.1778,0
0.3323,0.0683,0.0502,0
0.9064,0.3252,0.9751,1
0.7717,0.2967,0.9728,1
0.0682,0.4709,0.0289,0
0.1362,0.2457,0.2224,0
0.6992,0.3133,0.0556,1
0.8995,0.7071,0.9856,1
0.4061,0.3915,0.9715,0
0.7541,0.0957,0.3075,0
0.698,0.3636,0.0417,1
0.0581,0.3977,0.4896,0
0.8456,0.8768,0.6607,1
0.5369,0.2222,0.7911,0
0.3674,0.5747,0.3849,0
0.7077,0.2225,0.8543,0
0.3111,0.7723,0.4196,1
0.6965,0.4039,0.0244,1
0.6696,0.8462,0.1497,1
0.6382,0.567,0.798,1
0.8422,0.8601,0.8887,1
0.8078,0.3617,0.7905,1
0.5777,0.6162,0.8192,1
0.3524,0.1939,0.9303,0
0.5443,0.8537,0.6635,1
0.0214,0.8958,0.0683,0
0.07,0.7132,0.4419,0
0.5319,0.7395,0.598,1
0.0861,0.2713,0.396,0
0.7326,0.4647,0.105,1
0.167,0.3283,0.0225,0
0.1513,0.1368,0.1842,0
0.0801,0.6042,0.6983,0
0.0249,0.0625,0.3468,0
0.3421,0.3103,0.7813,0
0.9711,0.5134,0.4056,1
0.1594,0.9131,0.4683,1
0.4574,0.0711,0.803,0
0.0396,0.6431,0.0392,0
0.8947,0.5032,0.4261,1
0.1139,0.2475,0.7468,0
0.4764,0.1291,0.1866,0
0.7522,0.5482,0.3473,1
0.8517,0.9307,0.2487,1
0.2024,0.7102,0.8035,0
0.7891,0.007,0.1059,0
0.0008,0.3153,0.166,0
0.7427,0.2712,0.6905,1
0.4842,0.6752,0.8675,1
0.0405,0.5845,0.2307,0
0.2987,0.6904,0.6432,1
0.9007,0.2758,0.1104,1
0.2823,0.0336,0.0866,0
0.4265,0.5419,0.218,1
0.2311,0.1281,0.2178,0
0.5146,0.7182,0.1417,1
0.9069,0.4635,0.2062,1
0.3832,0.8068,0.1524,1
0.463,0.6682,0.7962,1
0.9261,0.2868,0.7605,1
0.02,0.5912,0.7126,0
0.9769,0.8305,0.8219,1
0.3232,0.9966,0.5819,1
0.6983,0.4351,0.3096,1
0.5015,0.2236,0.2414,0
0.4025,0.2159,0.1128,0
0.8519,0.4869,0.9684,1
0.2809,0.9626,0.539,1
0.8774,0.241,0.2726,1
0.8235,0.6039,0.1736,1
0.5257,0.3548,0.0859,0
0.0354,0.5331,0.2243,0
