x1,x2,x3
51.43,29.61,80.91
50.58,28.36,65.88
47.59,30.59,58.19
60.44,30.82,68.4
47.72,24.14,70.09
49.69,26.4,82.19
49.39,33.47,65.87
48.11,30.95,62.04
51.15,34.71,76.13
47.88,29.91,61.94
61.99,28.3,74.91
44.49,32.89,64.23
54.08,18.39,75.89
48.95,25.12,60.18
55.17,36.99,84.27
41.62,29.49,54.8
41.45,29.14,66.65
48.78,33.2,59.11
61.93,27.1,66.14
55.63,22.8,78.9
62.26,26.0,74.79
46.52,32.88,90.92
36.11,26.45,71.31
56.96,29.74,68.06
50.32,26.42,59.87
52.8,31.48,64.99
40.41,39.04,82.02
51.5,33.21,66.02
44.36,34.4,61.87
54.49,17.44,45.76
50.12,37.38,81.94
47.85,27.92,57.21
48.92,32.31,66.28
50.75,34.05,62.96
40.94,36.37,73.38
33.13,30.26,63.03
48.53,31.36,75.46
64.75,32.77,48.69
45.26,29.5,68.59
51.36,31.35,61.91
52.1,30.04,75.88
32.66,23.43,78.97
51.17,26.66,75.23
50.67,25.03,70.15
43.96,24.52,85.6
60.92,26.0,65.67
34.84,28.45,62.44
40.39,35.98,63.97
46.68,26.11,64.4
66.31,27.44,67.07
54.59,28.42,69.46
32.9,27.42,79.66
47.34,33.6,43.83
50.8,30.04,80.96
42.04,31.71,67.64
39.26,33.42,68.78
43.84,30.69,65.76
46.51,31.27,67.69
53.63,23.43,58.26
46.71,28.87,65.05
35.35,33.73,73.58
54.09,34.48,63.84
60.84,22.98,80.79
56.8,33.16,63.98
49.42,27.62,78.15
42.79,28.05,66.48
54.5,33.9,81.06
50.25,25.04,63.16
31.18,29.31,78.77
48.1,32.06,70.69
57.05,45.87,67.58
48.33,32.6,63.19
60.11,28.16,54.19
47.23,21.57,66.72
53.17,29.01,65.11
33.49,38.09,61.02
67.28,28.65,77.99
48.91,34.13,49.4
43.87,29.56,66.32
54.16,34.83,74.38
38.77,33.2,82.73
50.78,31.59,95.98
54.11,29.47,52.8
63.42,31.75,69.06
46.43,39.87,59.49
43.39,37.3,74.31
58.16,23.32,67.55
48.78,20.05,63.42
43.96,35.77,66.23
49.73,32.06,58.52
52.9,30.61,72.74
55.93,29.15,79.19
37.05,26.02,57.77
49.98,24.97,83.61
50.07,21.48,69.78
43.1,32.76,76.04
48.99,42.48,81.74
40.81,31.4,66.65
39.07,30.75,69.92
48.04,31.25,61.38
45.87,30.67,77.94
46.8,20.39,70.27
51.04,25.92,79.1
39.04,28.47,92.22
56.9,33.55,71.96
54.56,23.97,91.33
51.79,27.25,58.65
60.8,35.93,71.48
48.43,20.07,70.24
48.47,14.49,83.07
51.43,29.63,78.21
46.71,24.59,88.23
47.45,35.85,62.54
43.91,33.02,58.71
65.59,24.88,67.44
43.51,35.54,72.78
52.78,29.23,49.18
38.73,29.72,69.15
54.68,33.57,59.4
70.85,38.59,96.38
