x1,x2,x3,label
0.8495,0.274,0.5792,1
0.1176,0.2406,0.8072,0
0.9199,0.3847,0.7912,1
0.99,0.0417,0.8328,1
0.8739,0.9937,0.6385,1
0.2598,0.5784,0.3816,0
0.9877,0.4817,0.3098,1
0.1956,0.9558,0.1267,1
0.8722,0.7829,0.6784,1
0.821,0.8124,0.6271,1
0.7496,0.1544,0.2713,0
0.5431,0.5431,0.2707,1
0.6034,0.1303,0.0675,0
0.1209,0.1452,0.8708,0
0.0337,0.3583,0.2317,0
0.6041,0.0488,0.1757,0
0.4126,0.7,0.4656,1
0.5191,0.0893,0.4421,0
0.8177,0.6477,0.065,1
0.093,0.1512,0.4746,0
0.7939,0.2534,0.1505,1
0.8919,0.3721,0.501,1
0.5739,0.8324,0.4078,1
0.1688,0.0803,0.824,0
0.0091,0.5151,0.8474,0
0.3334,0.2146,0.223,0
0.1797,0.6555,0.0288,0
0.14,0.1131,0.8585,0
0.6323,0.1566,0.5882,0
0.3425,0.96,0.9542,1
0.6587,0.8687,0.4302,1
0.206,0.7474,0.0486,1
0.3553,0.8019,0.6075,1
0.0813,0.1554,0.9882,0
0.0906,0.1732,0.468,0
0.7392,0.653,0.8648,1
0.3599,0.4375,0.5292,0
0.238,0.595,0.6551,0
0.0055,0.4667,0.2943,0
0.3936,0.0308,0.7107,0
0.3387,0.3299,0.2466,0
0.0975,0.6973,0.1405,0
0.0742,0.0447,0.7763,0
0.6002,0.6403,0.8878,1
0.2287,0.2991,0.3155,0
0.8441,0.4274,0.4456,1
0.2925,0.9476,0.3787,1
0.1127,0.7719,0.7132,0
0.4988,0.9733,0.9994,1
0.5686,0.2709,0.0598,0
0.7867,0.0026,0.8762,0
0.145,0.1867,0.4336,0
0.1085,0.6413,0.9028,0
0.2601,0.873,0.0476,1
0.8097,0.9927,0.079,1
0.8938,0.2173,0.2117,1
0.4015,0.0102,0.8834,0
0.8036,0.7392,0.2331,1
0.6162,0.9526,0.1757,1
0.3816,0.3568,0.1405,0
0.6749,0.8952,0.7552,1
0.9518,0.9183,0.2179,1
0.2476,0.7777,0.8785,1
0.5789,0.1453,0.4002,0
0.3598,0.706,0.8158,1
0.0008,0.8136,0.4396,0
0.306,0.9959,0.2037,1
0.8327,0.5052,0.8604,1
0.4022,0.0537,0.1192,0
0.264,0.7523,0.2275,1
0.5297,0.1353,0.4695,0
0.5786,0.7569,0.5216,1
0.5439,0.1018,0.8792,0
0.0773,0.7506,0.152,0
0.3867,0.657,0.9993,1
0.3109,0.8804,0.2711,1
0.0709,0.1462,0.2683,0
0.1438,0.0157,0.4818,0
0.3513,0.7401,0.6731,1
0.1794,0.6169,0.1926,0
