x1,x2,x3,label
0.7642,0.7908,0.3987,1
0.7051,0.0663,0.5899,0
0.7417,0.2403,0.8635,1
0.31,0.3372,0.2377,0
0.2575,0.1439,0.79,0
0.8188,0.4015,0.2644,1
0.7149,0.934,0.4959,1
0.8982,0.3721,0.1054,1
0.891,0.4789,0.1002,1
0.6289,0.5628,0.1408,1
0.2949,0.9937,0.0955,1
0.0655,0.8686,0.1509,0
0.1699,0.6545,0.5342,0
0.139,0.319,0.2711,0
0.6785,0.6481,0.448,1
0.1397,0.4,0.8189,0
0.0498,0.34,0.2956,0
0.7516,0.9884,0.5298,1
0.3915,0.5897,0.2315,1
0.3691,0.1967,0.0473,0
0.9,0.4737,0.0696,1
0.0776,0.1422,0.2244,0
0.9965,0.9582,0.9945,1
0.4104,0.4545,0.604,0
0.8669,0.1852,0.3339,1
0.6831,0.7243,0.3849,1
0.9637,0.5236,0.0019,1
0.2242,0.5056,0.1871,0
0.1584,0.9292,0.5463,1
0.6549,0.0729,0.4934,0
0.967,0.9588,0.6151,1
0.529,0.6419,0.4782,1
0.4444,0.2077,0.464,0
0.6647,0.3093,0.4953,1
0.373,0.5215,0.4684,0
0.0625,0.2026,0.9891,0
0.5515,0.5508,0.0846,1
0.1274,0.6908,0.7419,0
0.9311,0.181,0.4951,1
0.268,0.9854,0.1733,1
0.0304,0.1992,0.8411,0
0.4063,0.1684,0.4322,0
0.8985,0.4468,0.3863,1
0.8384,0.8654,0.1046,1
0.2006,0.0683,0.8577,0
0.1944,0.8235,0.2227,1
0.4509,0.6447,0.2017,1
0.3996,0.699,0.5586,1
0.7651,0.7201,0.7041,1
0.7297,0.6722,0.066,1
0.7842,0.2525,0.281,1
0.0261,0.3545,0.0843,0
0.473,0.0978,0.271,0
0.6169,0.281,0.8566,0
0.7988,0.6173,0.3842,1
0.2636,0.967,0.2899,1
0.6301,0.7715,0.3658,1
0.629,0.2459,0.4566,0
0.6183,0.7147,0.5282,1
0.2435,0.0039,0.1096,0
0.8058,0.3653,0.8833,1
0.318,0.9672,0.133,1
0.2783,0.4353,0.4068,0
0.6141,0.5241,0.5614,1
0.5772,0.9371,0.9002,1
0.0347,0.6591,0.0753,0
0.6533,0.3465,0.9004,1
0.8058,0.9792,0.6137,1
0.0268,0.4045,0.4456,0
0.3283,0.7784,0.1641,1
0.8016,0.6698,0.483,1
0.1768,0.5609,0.8026,0
0.8606,0.6964,0.6104,1
0.9053,0.9337,0.7918,1
0.422,0.8245,0.4358,1
0.4124,0.7847,0.9724,1
0.1116,0.4758,0.411,0
0.2077,0.8997,0.0715,1
0.9053,0.797,0.4331,1
0.1761,0.6709,0.1488,0
