x1,x2,x3,label
0.3979,0.6309,0.9068,1
0.3413,0.7747,0.0334,1
0.0379,0.9231,0.7167,1
0.2073,0.1749,0.2915,0
0.277,0.3234,0.3358,0
0.0612,0.5751,0.3645,0
0.5739,0.0199,0.9594,0
0.4116,0.2305,0.9033,0
0.236,0.0147,0.357,0
0.7763,0.1961,0.2898,1
0.4443,0.0325,0.1728,0
0.2736,0.7474,0.8263,1
0.8706,0.7566,0.5078,1
0.9188,0.635,0.4497,1
0.8169,0.165,0.9566,1
0.8075,0.3188,0.0559,1
0.2809,0.5532,0.4294,0
0.5461,0.3891,0.8101,0
0.2129,0.0317,0.2507,0
0.3115,0.7835,0.7068,1
0.4437,0.5122,0.4348,1
0.3353,0.5831,0.7395,0
0.385,0.9302,0.1031,1
0.9022,0.7427,0.9435,1
0.3975,0.5394,0.0598,0
0.3872,0.453,0.7422,0
0.2123,0.9165,0.7358,1
0.9301,0.6369,0.347,1
0.0054,0.0098,0.0356,0
0.5578,0.0862,0.3181,0
0.7339,0.9956,0.7849,1
0.9309,0.1449,0.1864,1
0.0151,0.158,0.9949,0
0.2649,0.8355,0.1889,1
0.2923,0.5624,0.274,0
0.0344,0.4824,0.0997,0
0.266,0.5587,0.1381,0
0.4664,0.8471,0.0069,1
0.1701,0.8771,0.1821,1
0.2202,0.2564,0.8657,0
0.1002,0.3568,0.7956,0
0.4889,0.5739,0.6698,1
0.7469,0.5815,0.769,1
0.2619,0.0713,0.4684,0
0.6414,0.9617,0.1424,1
0.2099,0.0356,0.6868,0
0.7575,0.9395,0.196,1
0.8165,0.5986,0.2695,1
0.8729,0.0041,0.1614,0
0.5815,0.7745,0.9312,1
0.0199,0.4734,0.0757,0
0.4492,0.8953,0.8302,1
0.8521,0.9133,0.9057,1
0.0022,0.4235,0.639,0
0.102,0.4342,0.0403,0
0.8779,0.8423,0.3333,1
0.6917,0.6389,0.6643,1
0.3211,0.2426,0.608,0
0.3721,0.8334,0.2572,1
0.8455,0.7594,0.1811,1
0.1579,0.8296,0.6626,1
0.6497,0.0131,0.9137,0
0.6394,0.5974,0.1579,1
0.3987,0.7833,0.4336,1
0.2895,0.6781,0.5949,1
0.5366,0.4903,0.1919,1
0.667,0.7313,0.1106,1
0.7041,0.6714,0.5868,1
0.3194,0.7824,0.958,1
0.2747,0.6752,0.6498,0
0.0607,0.1326,0.0713,0
0.272,0.7141,0.4823,1
0.0769,0.3476,0.5778,0
0.2009,0.5235,0.4316,0
0.4251,0.2658,0.6234,0
0.2552,0.0457,0.6334,0
0.8709,0.4489,0.6397,1
0.0376,0.8389,0.6491,0
0.4562,0.1085,0.3792,0
0.537,0.619,0.8593,1
