x1,x2,x3,label
0.4684,0.6177,0.5686,1
0.5726,0.5241,0.9732,1
0.5038,0.6854,0.034,0
0.3818,0.2869,0.0772,0
0.5226,0.0143,0.7931,0
0.7852,0.0265,0.12,0
0.1115,0.4797,0.1325,0
0.854,0.3772,0.1357,1
0.3209,0.1347,0.7212,0
0.5807,0.3764,0.8497,1
0.7397,0.6545,0.4585,1
0.675,0.2217,0.619,1
0.7626,0.6082,0.1961,1
0.9882,0.7642,0.5501,1
0.0844,0.7194,0.1372,0
0.2713,0.7793,0.9267,1
0.1266,0.6597,0.4652,0
0.0717,0.6366,0.5257,0
0.892,0.1128,0.3707,1
0.0273,0.9043,0.5176,0
0.9311,0.2038,0.2712,1
0.436,0.5084,0.3792,0
0.992,0.5411,0.2852,1
0.6598,0.1228,0.6669,0
0.1014,0.7007,0.4263,0
0.9384,0.2164,0.4956,1
0.8867,0.1017,0.8162,1
0.4748,0.0159,0.1523,0
0.4511,0.1803,0.8921,0
0.6977,0.5092,0.2143,1
0.3242,0.2721,0.6592,0
0.7776,0.036,0.6277,0
0.7218,0.9714,0.378,1
0.3413,0.9672,0.6691,1
0.1475,0.03,0.0208,0
0.1795,0.3083,0.0055,0
0.8453,0.8742,0.6937,1
0.3852,0.0744,0.5556,0
0.7185,0.2115,0.075,0
0.0182,0.8449,0.3109,0
0.6045,0.4545,0.0304,0
0.327,0.0512,0.5581,0
0.1964,0.2759,0.5811,0
0.7242,0.3713,0.2909,1
0.6968,0.2128,0.092,0
0.8101,0.3351,0.9527,1
0.4615,0.9731,0.4079,1
0.8643,0.8318,0.5475,1
0.6186,0.2165,0.2146,0
0.5527,0.32,0.1908,0
0.4886,0.9809,0.2201,1
0.1772,0.5475,0.3049,0
0.0366,0.8658,0.1855,0
0.4041,0.0264,0.0282,0
0.8052,0.4018,0.3965,1
0.2898,0.4177,0.6709,0
0.4198,0.7935,0.8734,1
0.6084,0.0036,0.3647,0
0.1928,0.4304,0.2577,0
0.4838,0.5579,0.2185,0
0.1899,0.6539,0.4138,0
0.6959,0.0188,0.6356,0
0.5848,0.9949,0.5261,1
0.9419,0.6267,0.1923,1
0.4751,0.6897,0.8482,1
0.8729,0.4537,0.4865,1
0.746,0.0707,0.9166,1
0.0573,0.0896,0.6111,0
0.6652,0.9633,0.9886,1
0.597,0.8172,0.3789,1
0.4277,0.5062,0.1382,0
0.9787,0.6378,0.0881,1
0.2253,0.0796,0.0658,0
0.877,0.0161,0.0512,0
0.3575,0.7572,0.075,0
0.6935,0.1383,0.3444,0
0.4364,0.275,0.767,0
0.1357,0.9189,0.3738,0
0.6711,0.6152,0.1644,1
0.5751,0.1062,0.2396,0
0.1535,0.5302,0.3112,0
0.6706,0.6361,0.3336,1
0.4878,0.2637,0.5142,0
0.624,0.2913,0.689,0
0.2314,0.5897,0.7936,0
0.9659,0.323,0.1019,1
0.4859,0.2592,0.6958,0
0.1181,0.4705,0.7703,0
0.6974,0.5422,0.1558,1
0.8767,0.2806,0.9405,1
0.7246,0.5224,0.2186,1
0.4822,0.9756,0.127,1
0.6138,0.0847,0.0181,0
0.2063,0.5714,0.6696,0
0.5975,0.8955,0.6858,1
0.8887,0.2428,0.4698,1
0.8975,0.4907,0.8292,1
0.8365,0.119,0.4038,1
0.4513,0.3824,0.0392,0
0.9123,0.3334,0.7935,1
0.0098,0.2342,0.3313,0
0.3284,0.2475,0.001,0
0.0323,0.091,0.5256,0
0.8036,0.198,0.0194,0
0.4862,0.2851,0.06,0
0.2782,0.5664,0.2763,0
0.076,0.1632,0.6623,0
0.9787,0.4394,0.2109,1
0.3522,0.3284,0.0521,0
0.4122,0.1092,0.7408,0
0.9587,0.2575,0.5882,1
0.3658,0.5459,0.5778,0
0.2576,0.7198,0.4031,0
0.9719,0.4041,0.5312,1
0.768,0.3348,0.4685,1
0.869,0.6407,0.8517,1
0.7869,0.9231,0.3772,1
0.2092,0.1461,0.7382,0
0.5861,0.3179,0.2166,0
0.4773,0.6286,0.9939,1
0.1648,0.7493,0.0572,0
0.971,0.8096,0.2598,1
0.2431,0.6309,0.0867,0
0.0574,0.9897,0.0133,0
0.2464,0.4189,0.3766,0
0.2755,0.2185,0.3543,0
0.7648,0.0344,0.7311,1
0.6775,0.3769,0.4176,1
0.6803,0.0048,0.0722,0
0.4493,0.3256,0.8274,0
0.4093,0.2107,0.0779,0
0.6193,0.0494,0.2612,0
0.2407,0.8774,0.3478,0
0.4478,0.8072,0.1882,0
0.8828,0.4051,0.4318,1
0.9904,0.4282,0.2759,1
0.1804,0.0734,0.7246,0
0.2781,0.18,0.2955,0
0.3083,0.1658,0.8542,0
0.8432,0.7768,0.4904,1
0.9754,0.833,0.6527,1
0.6769,0.4811,0.3157,1
0.4576,0.898,0.1886,1
0.2976,0.4101,0.0589,0
0.3845,0.7781,0.5818,1
0.2001,0.0873,0.5662,0
0.2165,0.2631,0.6757,0
0.0501,0.7838,0.3806,0
0.8548,0.5037,0.8634,1
0.2186,0.9972,0.4921,0
0.9756,0.688,0.3939,1
0.9454,0.2009,0.5185,1
0.221,0.7768,0.6007,0
0.1349,0.6361,0.1401,0
0.6025,0.0327,0.7832,0
0.702,0.2706,0.7751,1
0.5692,0.6769,0.3832,1
0.9896,0.9602,0.1926,1
0.6636,0.5579,0.7044,1
0.9563,0.4721,0.2548,1
0.7912,0.2325,0.4461,1
0.1103,0.2309,0.7922,0
0.7343,0.2711,0.9863,1
0.434,0.8095,0.0185,0
0.4679,0.6765,0.7142,1
0.1945,0.7436,0.2336,0
0.1972,0.5738,0.6144,0
0.5658,0.0544,0.9246,0
0.4846,0.6745,0.0018,0
0.9728,0.9277,0.135,1
0.8479,0.5759,0.4634,1
0.697,0.0747,0.6831,0
0.5897,0.5232,0.3705,0
0.8715,0.7041,0.1459,1
0.4595,0.8751,0.0025,0
0.6247,0.8591,0.2945,1
0.206,0.9721,0.1563,0
0.1974,0.411,0.0895,0
0.0916,0.4936,0.0163,0
0.8921,0.6079,0.5133,1
