time,value
1,87.95
2,111.0
3,102.22
4,115.42
5,102.68
6,112.35
7,111.41
8,103.32
9,116.7
10,126.04
11,118.93
12,112.56
13,126.1
14,121.97
15,122.75
16,134.29
17,129.49
18,134.61
19,133.48
20,124.56
21,140.35
22,127.71
23,132.76
24,126.62
25,157.12
26,151.04
27,147.59
28,152.16
29,145.33
30,154.89
31,148.43
32,156.83
33,160.57
34,159.8
35,166.23
36,176.29
37,157.51
38,175.55
39,173.89
40,179.4
41,170.8
42,189.24
43,182.43
44,184.97
45,195.33
46,164.74
47,179.37
48,193.4
49,189.62
50,190.88
51,190.58
52,196.48
53,195.08
54,208.6
55,219.35
56,209.3
57,215.17
58,196.93
59,203.48
60,213.07
