x1,x2,x3
29.05,35.08,57.81
65.67,25.59,56.65
49.32,29.19,71.39
54.7,31.04,77.74
47.82,32.37,68.3
64.99,31.59,64.39
50.66,27.14,58.23
46.01,23.84,65.66
48.84,27.64,71.4
62.53,32.78,69.86
41.17,37.95,52.98
54.9,25.73,56.85
41.35,30.81,64.99
53.79,34.42,63.6
45.27,27.58,75.83
37.61,17.94,50.72
60.34,36.46,83.31
54.67,25.94,78.99
45.86,38.92,83.83
56.18,30.94,86.83
42.61,39.3,63.67
57.82,30.05,50.27
58.86,29.95,71.22
58.4,31.43,73.56
53.36,31.3,55.39
48.34,28.31,65.26
51.91,36.19,65.16
53.13,24.97,64.85
45.99,32.21,74.51
41.54,33.92,59.12
38.5,34.34,72.25
41.59,41.07,47.15
39.24,21.74,68.83
34.82,22.14,78.51
46.52,22.53,58.9
48.56,26.53,65.95
41.68,27.21,74.18
56.82,40.48,50.16
54.11,36.49,67.61
36.54,31.56,64.12
35.36,35.91,63.58
32.85,24.82,47.77
40.33,22.54,58.9
48.22,34.28,65.91
40.62,30.42,59.41
49.26,30.85,67.57
48.46,30.88,61.07
49.43,25.09,66.01
43.47,24.3,59.96
45.04,21.11,85.31
55.78,32.19,66.85
60.25,25.8,68.18
47.79,29.21,74.17
45.68,30.01,62.1
49.33,28.65,71.97
58.36,34.19,79.04
48.39,31.53,63.67
49.21,26.25,56.16
53.74,30.48,76.56
46.66,32.94,68.65
56.18,33.35,60.95
64.2,38.21,79.07
52.52,29.26,58.98
45.47,25.71,67.6
63.98,27.12,80.1
40.73,24.75,80.59
65.81,27.85,71.68
53.86,35.42,75.57
45.79,18.32,69.22
41.09,34.58,76.59
51.84,23.91,63.34
48.55,26.5,77.33
45.0,33.48,73.36
46.04,31.21,80.03
66.71,31.13,63.35
46.54,37.88,81.21
65.63,31.51,45.4
48.99,20.09,72.52
61.48,26.79,74.87
53.09,32.22,83.12
45.62,33.3,57.79
55.96,23.81,64.34
54.49,28.39,71.96
50.77,25.16,63.81
56.9,27.29,63.73
56.75,24.43,86.15
60.82,32.51,75.42
62.2,34.84,49.23
39.67,33.83,93.8
61.78,34.17,65.53
53.25,25.31,81.33
43.55,38.11,74.21
55.75,31.68,81.23
41.9,26.01,78.82
59.7,30.43,78.72
56.77,28.94,98.58
54.24,23.41,52.8
38.93,33.34,70.82
44.39,32.56,71.03
50.52,35.52,77.26
44.83,26.64,62.79
44.72,36.26,82.43
62.84,20.01,68.39
49.38,30.23,69.88
52.47,36.15,59.6
48.84,28.01,83.74
39.7,28.94,65.2
49.05,24.66,61.08
45.08,39.25,68.86
43.72,32.05,52.17
55.64,34.68,66.56
48.35,30.19,53.12
42.28,29.33,70.65
49.24,28.86,70.0
48.49,34.16,77.87
57.45,34.54,66.4
61.11,24.73,59.65
49.11,37.65,77.33
55.92,35.59,56.42
46.96,23.37,68.39
