x1,x2,x3,label
0.3564,0.7728,0.0198,1
0.548,0.6797,0.8379,1
0.4296,0.6842,0.0076,1
0.132,0.3326,0.4029,0
0.7611,0.2975,0.8783,1
0.1591,0.9918,0.9771,1
0.1161,0.7089,0.9143,0
0.904,0.5398,0.8768,1
0.0322,0.4143,0.0192,0
0.4668,0.9614,0.6335,1
0.667,0.1103,0.275,0
0.1172,0.4353,0.0246,0
0.3467,0.2586,0.1025,0
0.9545,0.7488,0.7186,1
0.8251,0.1793,0.4168,1
0.6287,0.6153,0.8174,1
0.531,0.9462,0.6095,1
0.6542,0.8653,0.8418,1
0.2695,0.7931,0.5494,1
0.9147,0.9788,0.3247,1
0.5376,0.2121,0.8547,0
0.6717,0.1775,0.5936,0
0.1083,0.2494,0.7033,0
0.2257,0.4079,0.9091,0
0.7546,0.1271,0.3992,0
0.449,0.117,0.6221,0
0.5108,0.8056,0.8825,1
0.7336,0.4116,0.5575,1
0.1226,0.1277,0.7425,0
0.1713,0.4715,0.6414,0
0.2344,0.0231,0.2061,0
0.93,0.5841,0.7798,1
0.4125,0.3345,0.6619,0
0.0764,0.7542,0.9846,0
0.7722,0.097,0.7836,0
0.5277,0.7806,0.7276,1
0.7294,0.5048,0.842,1
0.294,0.0431,0.8515,0
0.4073,0.3264,0.3296,0
0.1907,0.6744,0.6995,0
0.786,0.5414,0.1631,1
0.2568,0.3141,0.8517,0
0.8294,0.0944,0.8461,0
0.2603,0.1016,0.7837,0
0.0781,0.5871,0.1388,0
0.2026,0.6928,0.3964,0
0.82,0.2725,0.9011,1
0.0575,0.1643,0.007,0
0.8548,0.8639,0.4661,1
0.7237,0.1856,0.8984,0
0.9162,0.0185,0.9506,0
0.2431,0.406,0.5751,0
0.6682,0.5968,0.5308,1
0.0541,0.5894,0.3073,0
0.4019,0.4897,0.4725,0
0.205,0.8536,0.0652,1
0.6588,0.6025,0.1132,1
0.115,0.9589,0.3185,1
0.2657,0.4367,0.1287,0
0.6878,0.5011,0.6846,1
0.4233,0.2099,0.8339,0
0.2266,0.2209,0.3817,0
0.1763,0.7978,0.9045,1
0.725,0.5931,0.8696,1
0.8461,0.5395,0.2318,1
0.3162,0.8225,0.7467,1
0.3225,0.5691,0.3225,0
0.2533,0.754,0.0212,1
0.4047,0.9895,0.7302,1
0.5358,0.8134,0.0057,1
0.9656,0.188,0.384,1
0.0309,0.658,0.1612,0
0.8733,0.6945,0.9881,1
0.7298,0.8635,0.9933,1
0.1982,0.2179,0.2862,0
0.1076,0.4455,0.6557,0
0.3543,0.8529,0.0564,1
0.525,0.8122,0.5333,1
0.5765,0.9083,0.958,1
0.5982,0.8575,0.4221,1
