x1,x2,x3
55.37,39.64,62.61
47.34,32.76,72.47
46.56,31.67,52.08
36.8,26.02,48.59
61.7,34.19,75.78
52.08,21.39,59.76
62.33,24.94,65.68
67.03,38.4,86.19
57.34,27.91,62.43
41.58,33.44,65.11
32.03,30.05,68.54
46.28,34.0,69.06
54.13,18.87,62.03
53.69,27.51,57.2
37.76,38.82,69.71
46.74,31.53,70.35
49.66,28.83,54.02
54.23,26.18,75.24
62.23,30.23,60.99
52.18,33.92,66.35
56.58,32.68,71.12
46.27,34.53,64.79
53.8,28.7,56.0
49.06,24.39,66.11
51.54,32.74,53.98
50.84,27.65,76.27
57.66,25.55,66.59
42.41,25.19,70.46
50.31,28.28,76.53
61.48,22.1,65.73
43.17,35.28,60.74
41.6,31.83,72.37
53.23,32.89,62.3
44.29,35.68,69.89
40.84,28.26,84.21
35.31,27.17,66.3
42.79,23.5,75.64
53.76,36.3,64.24
41.33,23.24,62.87
66.61,34.67,87.46
48.57,26.89,54.86
50.88,22.97,71.76
45.39,29.76,57.5
62.69,31.87,52.97
34.66,25.14,50.28
43.44,28.53,75.55
42.72,25.79,52.74
56.22,28.39,76.16
49.47,28.44,48.42
46.4,38.25,67.32
61.4,25.19,75.83
58.91,32.14,72.9
37.98,25.13,77.09
55.66,33.42,75.61
51.33,25.08,78.01
56.31,32.54,74.55
52.6,25.62,65.39
37.97,28.65,63.36
50.32,21.26,69.72
40.3,33.43,74.73
58.78,36.82,61.18
56.2,30.12,53.75
56.05,22.25,81.15
58.48,31.97,74.03
64.41,30.94,65.57
45.72,27.88,68.52
47.16,30.48,83.28
50.58,25.97,42.83
44.94,29.5,62.86
62.98,24.95,88.16
40.43,28.73,64.09
53.41,28.49,59.83
53.03,26.72,76.55
55.28,28.61,71.9
29.21,27.98,64.85
50.53,22.64,79.31
54.86,31.44,63.95
50.36,30.05,82.51
58.83,33.0,81.09
46.41,28.58,65.16
38.94,24.74,76.99
57.39,27.14,80.61
50.68,29.09,65.31
49.63,31.36,60.14
49.63,41.76,85.04
67.08,29.76,54.42
48.77,28.92,93.64
48.19,27.37,72.29
54.09,33.09,51.48
51.79,38.56,71.87
55.06,26.31,75.45
34.17,39.15,80.1
52.59,23.63,68.62
66.21,30.51,57.51
54.85,28.73,64.27
44.92,32.08,75.24
41.88,23.07,64.83
59.72,28.34,48.38
44.12,25.66,103.16
56.25,35.49,77.95
53.47,14.33,61.61
52.92,27.52,67.62
59.99,25.17,67.83
52.98,27.14,69.48
42.49,32.42,83.27
41.4,30.02,63.61
56.47,27.53,71.06
61.59,24.43,83.77
55.58,37.93,101.63
59.81,19.04,69.53
45.13,34.85,61.1
47.15,36.06,88.61
51.41,36.33,72.45
51.4,48.0,71.57
49.75,32.69,73.26
48.75,31.26,70.95
55.58,37.8,66.68
47.19,36.02,86.24
43.23,33.16,57.24
51.74,36.25,52.4
