time,value
1,111.37
2,90.23
3,97.06
4,123.24
5,95.17
6,98.64
7,105.9
8,118.89
9,114.51
10,107.06
11,128.41
12,122.7
13,144.16
14,119.3
15,123.51
16,140.19
17,115.18
18,127.45
19,142.4
20,149.15
21,139.8
22,149.95
23,154.57
24,129.78
25,130.89
26,157.79
27,134.88
28,160.13
29,163.63
30,161.18
31,165.58
32,155.05
33,166.35
34,150.77
35,163.57
36,169.37
37,165.15
38,166.57
39,171.56
40,164.37
41,176.15
42,170.69
43,183.44
44,186.45
45,170.84
46,193.32
47,186.18
48,198.44
49,190.59
50,189.07
51,191.91
52,196.1
53,209.69
54,193.0
55,196.73
56,192.31
57,201.78
58,209.46
59,207.13
60,213.23
