time,value
1,104.39
2,106.15
3,114.24
4,104.38
5,97.35
6,114.66
7,104.66
8,113.25
9,108.09
10,121.98
11,125.12
12,115.3
13,119.69
14,135.42
15,129.82
16,126.65
17,114.97
18,128.85
19,133.43
20,137.53
21,131.89
22,127.59
23,142.1
24,131.22
25,147.08
26,128.97
27,146.79
28,149.97
29,147.17
30,150.67
31,153.11
32,159.47
33,145.82
34,164.57
35,167.91
36,166.14
37,178.91
38,182.69
39,182.69
40,167.38
41,174.79
42,160.47
43,174.21
44,188.03
45,156.79
46,180.23
47,182.94
48,193.48
49,189.7
50,184.51
51,189.57
52,189.12
53,202.75
54,193.95
55,205.95
56,200.83
57,204.54
58,201.47
59,190.03
60,206.93
