x1,x2,x3
49.83,34.88,70.39
45.15,26.19,77.38
43.12,41.98,91.41
61.51,36.43,67.01
51.5,31.33,67.0
42.32,23.85,91.16
55.65,37.83,53.56
66.04,28.67,74.97
56.01,30.25,85.02
53.37,21.26,71.39
53.04,25.96,83.71
47.51,37.45,70.81
33.97,38.45,63.55
54.58,32.36,77.57
37.93,35.24,79.78
43.39,33.86,57.81
42.72,38.08,82.31
61.21,31.84,67.21
52.79,25.71,82.3
42.38,28.76,60.08
53.28,22.85,69.61
45.03,30.42,73.0
58.43,32.64,79.27
47.59,35.6,69.71
35.37,31.28,81.96
48.91,26.46,77.05
51.85,27.1,62.84
48.1,25.6,72.06
44.27,35.77,62.44
55.21,38.03,77.66
68.41,35.33,70.29
33.49,27.94,57.51
64.75,31.6,69.98
36.65,25.77,42.45
64.86,40.47,92.55
47.87,17.75,80.62
42.92,32.99,73.53
53.21,35.0,85.87
56.01,28.73,56.06
53.38,28.88,65.89
39.09,28.21,82.19
56.32,34.25,60.07
52.08,26.11,42.73
50.0,32.06,68.63
34.9,26.35,57.77
48.96,35.94,77.54
58.34,31.81,80.38
52.16,28.48,75.19
60.47,32.54,65.04
41.41,30.71,68.81
57.87,31.97,69.67
57.0,25.89,70.65
45.53,25.81,71.5
55.57,26.32,65.02
61.19,17.21,63.88
51.76,25.32,73.33
44.64,41.48,69.43
51.5,18.71,60.04
48.03,29.85,61.2
43.76,25.06,60.84
43.26,28.57,84.87
39.72,33.54,64.69
52.9,34.35,56.11
55.42,19.01,63.33
65.7,25.03,77.53
51.3,25.19,67.61
55.72,27.98,75.09
33.54,18.42,62.74
45.18,28.24,69.78
68.97,32.59,69.69
60.42,39.86,62.56
49.9,26.41,79.03
45.78,29.38,82.92
53.44,23.04,69.52
62.09,29.66,61.72
46.88,23.67,62.17
56.05,25.05,72.26
49.61,30.38,70.08
41.2,26.9,68.92
54.38,30.21,77.53
46.68,24.29,63.22
56.72,26.42,71.42
66.13,28.37,73.94
39.83,24.33,67.53
42.09,33.01,71.73
47.44,35.82,63.08
61.32,36.33,67.81
48.91,29.3,48.43
53.04,31.91,60.27
42.74,31.33,71.41
52.27,36.5,86.45
53.95,25.02,60.41
37.92,35.07,59.85
46.24,23.47,63.08
43.85,23.75,46.64
30.08,26.43,49.76
35.25,19.57,65.34
55.61,37.14,77.55
59.24,33.16,62.05
44.78,26.63,64.57
34.79,31.41,59.8
44.26,32.16,85.72
60.3,35.22,88.42
47.81,26.36,70.01
51.35,24.44,74.58
35.23,35.39,82.36
52.79,27.68,59.85
41.13,36.33,69.42
68.41,33.53,76.5
38.48,27.7,74.51
45.66,32.56,84.85
37.55,27.13,83.32
53.92,24.97,73.74
49.64,34.8,67.7
45.79,30.26,63.4
41.75,24.75,63.78
37.81,28.51,69.72
58.92,35.8,67.03
54.96,28.42,57.71
50.35,29.93,74.87
