x1,x2,x3,label
0.4369,0.3521,0.8744,0
0.8123,0.2783,0.5354,1
0.0897,0.7084,0.2701,0
0.7124,0.721,0.4531,1
0.8028,0.8214,0.9585,1
0.6802,0.1756,0.9851,0
0.7432,0.0324,0.5439,0
0.9552,0.0144,0.6377,1
0.7576,0.0631,0.5239,0
0.6485,0.8193,0.8834,1
0.6579,0.6956,0.9704,1
0.2981,0.4886,0.8135,0
0.5364,0.0872,0.4601,0
0.605,0.4118,0.5735,1
0.0089,0.1452,0.2619,0
0.7323,0.7034,0.0517,1
0.6757,0.4479,0.7558,1
0.7633,0.2824,0.6097,1
0.191,0.798,0.0915,1
0.4009,0.7994,0.4406,1
0.4994,0.9762,0.2015,1
0.3201,0.019,0.2733,0
0.5532,0.6306,0.5315,1
0.5562,0.2683,0.1638,0
0.7906,0.5868,0.2723,1
0.6716,0.3188,0.7969,1
0.5113,0.6671,0.5579,1
0.4407,0.8806,0.5805,1
0.7858,0.1371,0.9577,0
0.5413,0.8129,0.1529,1
0.9968,0.879,0.053,1
0.3225,0.3203,0.6205,0
0.638,0.4096,0.9949,1
0.4521,0.0985,0.4823,0
0.3267,0.7991,0.5384,1
0.9911,0.9402,0.0567,1
0.6666,0.5967,0.8843,1
0.9742,0.2824,0.0134,1
0.6782,0.708,0.87,1
0.5268,0.8938,0.0367,1
0.3528,0.8785,0.8925,1
0.1122,0.0775,0.3391,0
0.3819,0.9334,0.1394,1
0.6313,0.9734,0.9598,1
0.1394,0.7486,0.6943,0
0.4295,0.5959,0.3052,1
0.8801,0.4654,0.4826,1
0.9641,0.0355,0.533,1
0.3168,0.3852,0.225,0
0.6252,0.8332,0.4479,1
0.0068,0.3798,0.3968,0
0.8609,0.1219,0.2825,1
0.4733,0.7839,0.6933,1
0.4184,0.9875,0.5869,1
0.926,0.5347,0.6999,1
0.2927,0.4758,0.7885,0
0.5283,0.5412,0.7747,1
0.6506,0.1258,0.5466,0
0.9816,0.8883,0.8985,1
0.6308,0.8083,0.4227,1
0.0982,0.5012,0.3564,0
0.628,0.1817,0.1474,0
0.117,0.1955,0.2215,0
0.0285,0.8019,0.2141,0
0.1471,0.8156,0.5148,1
0.4921,0.1018,0.3567,0
0.5519,0.2794,0.3028,0
0.9065,0.5493,0.4537,1
0.6487,0.8894,0.784,1
0.0756,0.534,0.4074,0
0.0565,0.6544,0.5301,0
0.3849,0.9382,0.6307,1
0.5185,0.8297,0.96,1
0.1299,0.082,0.0887,0
0.3898,0.1563,0.4095,0
0.0205,0.5017,0.8187,0
0.3083,0.8293,0.397,1
0.6157,0.3231,0.9215,0
0.2409,0.7067,0.2778,0
0.1849,0.845,0.9674,1
