x1,x2,x3,label
0.9892,0.3332,0.683,1
0.8779,0.0309,0.5412,0
0.9519,0.1335,0.0591,1
0.2913,0.9511,0.3586,1
0.4585,0.5804,0.4958,1
0.9071,0.7436,0.5796,1
0.2546,0.3511,0.2767,0
0.6302,0.1596,0.4702,0
0.5662,0.231,0.9061,0
0.3799,0.2528,0.0035,0
0.7863,0.8752,0.4539,1
0.4741,0.5847,0.2341,1
0.9671,0.3989,0.5621,1
0.0268,0.6503,0.6438,0
0.449,0.4505,0.0619,0
0.4182,0.1814,0.3955,0
0.9345,0.3299,0.3356,1
0.447,0.7471,0.336,1
0.6391,0.46,0.0133,1
0.223,0.6795,0.3993,0
0.5419,0.9163,0.5784,1
0.1545,0.4399,0.8206,0
0.0826,0.7378,0.9167,0
0.4253,0.1772,0.2907,0
0.076,0.5956,0.5577,0
0.9193,0.9213,0.5106,1
0.889,0.554,0.6833,1
0.3263,0.7867,0.7302,1
0.469,0.8033,0.6272,1
0.1113,0.0583,0.0241,0
0.226,0.9653,0.3908,1
0.504,0.5757,0.9255,1
0.1479,0.5222,0.9839,0
0.6422,0.4802,0.0352,1
0.6883,0.1661,0.2044,0
0.5849,0.3281,0.2894,0
0.92,0.9202,0.6393,1
0.8498,0.2849,0.1876,1
0.499,0.6597,0.7506,1
0.0701,0.1444,0.4924,0
0.3979,0.6341,0.1803,1
0.1741,0.221,0.4113,0
0.6482,0.0223,0.5965,0
0.0505,0.9768,0.4653,1
0.2357,0.7041,0.6465,0
0.8903,0.1971,0.1011,1
0.186,0.4952,0.6822,0
0.5408,0.8596,0.5906,1
0.847,0.1827,0.4778,1
0.9081,0.7713,0.2917,1
0.2674,0.0368,0.2284,0
0.3864,0.6312,0.3602,1
0.1707,0.1896,0.2512,0
0.413,0.0799,0.4829,0
0.2996,0.1985,0.0366,0
0.7194,0.6065,0.5831,1
0.1172,0.4142,0.5333,0
0.6148,0.5807,0.6472,1
0.8525,0.0139,0.0596,0
0.4416,0.1425,0.2702,0
0.0262,0.5636,0.8976,0
0.6228,0.2348,0.3482,0
0.6207,0.1504,0.2715,0
0.4044,0.3965,0.486,0
0.9406,0.9519,0.4438,1
0.2163,0.3112,0.2104,0
0.986,0.6602,0.8226,1
0.2748,0.4705,0.506,0
0.678,0.5786,0.5414,1
0.8571,0.5814,0.893,1
0.7859,0.8436,0.0849,1
0.3573,0.7323,0.2449,1
0.5008,0.0651,0.5072,0
0.1194,0.5027,0.556,0
0.8265,0.5139,0.0089,1
0.1789,0.5799,0.137,0
0.3323,0.4715,0.8615,0
0.2671,0.2061,0.7795,0
0.1295,0.5462,0.3272,0
0.8356,0.5361,0.5023,1
