x1,x2,x3,label
0.7674,0.7592,0.5736,1
0.0719,0.9015,0.8151,1
0.2176,0.658,0.9137,0
0.2692,0.4371,0.3058,0
0.9559,0.099,0.7916,1
0.8845,0.0736,0.7697,1
0.2499,0.2988,0.8481,0
0.6032,0.2394,0.5898,0
0.6862,0.6425,0.2652,1
0.843,0.3169,0.1237,1
0.318,0.1456,0.0804,0
0.711,0.8387,0.6758,1
0.8753,0.9603,0.3154,1
0.1197,0.2352,0.8857,0
0.5897,0.4722,0.7739,1
0.0474,0.0555,0.0878,0
0.5852,0.4213,0.7865,1
0.2869,0.8144,0.0233,1
0.0512,0.9628,0.7859,1
0.0558,0.5931,0.4799,0
0.1532,0.9495,0.8246,1
0.918,0.6193,0.5106,1
0.818,0.7845,0.5236,1
0.8581,0.4362,0.3235,1
0.0492,0.5704,0.2882,0
0.2674,0.743,0.1792,1
0.5968,0.7273,0.7836,1
0.723,0.665,0.1072,1
0.2215,0.903,0.0647,1
0.4794,0.172,0.5862,0
0.4833,0.8029,0.5586,1
0.6573,0.3713,0.704,1
0.8736,0.9335,0.0284,1
0.0495,0.3807,0.7491,0
0.0222,0.385,0.8997,0
0.3327,0.15,0.1245,0
0.8584,0.5427,0.7581,1
0.3858,0.9012,0.4339,1
0.0431,0.2348,0.8512,0
0.6212,0.5567,0.8427,1
0.0867,0.6297,0.3648,0
0.9178,0.4873,0.3113,1
0.4359,0.8521,0.7249,1
0.1212,0.8257,0.101,0
0.3732,0.3404,0.6943,0
0.1914,0.7143,0.7799,0
0.1342,0.0858,0.7333,0
0.1662,0.6843,0.1035,0
0.3711,0.8369,0.7045,1
0.4136,0.521,0.7115,0
0.6761,0.757,0.1956,1
0.0186,0.3648,0.2316,0
0.5562,0.9652,0.4202,1
0.5367,0.4809,0.0352,1
0.1113,0.0625,0.3631,0
0.151,0.4764,0.8699,0
0.8117,0.3189,0.2292,1
0.1074,0.6763,0.0559,0
0.1938,0.8011,0.4126,1
0.8176,0.0292,0.8865,0
0.0185,0.6558,0.8045,0
0.2827,0.2927,0.4214,0
0.5784,0.756,0.1717,1
0.8383,0.1505,0.1529,1
0.0053,0.4746,0.9914,0
0.2372,0.4469,0.0124,0
0.4994,0.7964,0.8347,1
0.9336,0.3727,0.0126,1
0.6387,0.4822,0.8712,1
0.2557,0.7895,0.4785,1
0.1539,0.0773,0.7585,0
0.1519,0.7614,0.3351,0
0.6615,0.1988,0.062,0
0.6772,0.8292,0.364,1
0.4847,0.5935,0.0862,1
0.7725,0.1413,0.2375,0
0.6915,0.3498,0.7133,1
0.7216,0.0037,0.5371,0
0.3348,0.8476,0.3515,1
0.4474,0.9396,0.0,1
