x1,x2,x3,label
0.5907,0.1178,0.6865,0
0.1073,0.3549,0.7668,0
0.2491,0.6312,0.8436,0
0.9369,0.624,0.029,1
0.5878,0.2145,0.3319,0
0.716,0.9217,0.7158,1
0.9075,0.6401,0.8553,1
0.1684,0.9119,0.0591,0
0.9614,0.9475,0.2168,1
0.857,0.3796,0.6856,1
0.8836,0.0725,0.3659,0
0.2971,0.4286,0.8181,0
0.4771,0.0779,0.1265,0
0.3256,0.6183,0.7027,0
0.7423,0.61,0.8292,1
0.2732,0.3185,0.9602,0
0.8314,0.3303,0.1915,1
0.3799,0.9535,0.4375,1
0.6849,0.6336,0.1907,1
0.2721,0.6078,0.1625,0
0.7343,0.9387,0.5192,1
0.9008,0.7423,0.596,1
0.0485,0.7513,0.2634,0
0.6216,0.1611,0.9716,1
0.8929,0.0215,0.5121,0
0.7239,0.5267,0.2992,1
0.8701,0.1125,0.9345,1
0.035,0.3855,0.2863,0
0.6426,0.7373,0.4112,1
0.9217,0.5696,0.6241,1
0.3893,0.1107,0.0711,0
0.6249,0.6436,0.863,1
0.6409,0.8932,0.6549,1
0.0969,0.5247,0.1413,0
0.0303,0.7505,0.2102,0
0.3133,0.9797,0.8589,1
0.0173,0.0724,0.7644,0
0.2489,0.2005,0.5257,0
0.1458,0.4129,0.2465,0
0.82,0.6425,0.5458,1
0.9492,0.8665,0.566,1
0.7337,0.5862,0.5791,1
0.7686,0.0572,0.7509,1
0.6964,0.3041,0.5207,0
0.0882,0.3423,0.8519,0
0.3382,0.7979,0.5167,1
0.122,0.4085,0.5058,0
0.6298,0.7474,0.749,1
0.0779,0.4143,0.6877,0
0.139,0.3995,0.0929,0
0.3168,0.6722,0.6793,1
0.9952,0.2536,0.2328,1
0.1138,0.5482,0.4095,0
0.5419,0.4394,0.4942,0
0.3943,0.8909,0.4992,0
0.7911,0.089,0.3595,0
0.6568,0.1331,0.8052,0
0.8655,0.8724,0.2856,1
0.8913,0.5394,0.6098,1
0.8768,0.1438,0.6328,1
0.3517,0.5889,0.1799,0
0.448,0.0404,0.01,0
0.7439,0.2535,0.4024,0
0.1182,0.4079,0.5651,0
0.516,0.2646,0.4719,0
0.3032,0.7158,0.8417,1
0.2683,0.505,0.8273,0
0.3956,0.9981,0.4538,1
0.5778,0.1413,0.5257,0
0.6068,0.5116,0.5949,1
0.632,0.8804,0.9925,1
0.8232,0.3074,0.9182,1
0.7822,0.2155,0.8756,1
0.6883,0.3797,0.4645,1
0.3273,0.2149,0.0905,0
0.4287,0.0269,0.8662,0
0.3482,0.7467,0.4699,0
0.7263,0.5657,0.2691,1
0.4769,0.3829,0.7427,0
0.8829,0.4721,0.5267,1
0.7747,0.5227,0.5996,1
0.142,0.3896,0.1128,0
0.6242,0.917,0.6325,1
0.0736,0.0361,0.9741,0
0.5701,0.0288,0.4389,0
0.9272,0.1337,0.095,1
0.9523,0.9792,0.8054,1
0.6049,0.9593,0.0676,1
0.2604,0.4458,0.4734,0
0.1352,0.3446,0.4318,0
0.9508,0.2138,0.0608,1
0.0819,0.0638,0.4831,0
0.3727,0.722,0.5874,1
0.3918,0.7338,0.8189,1
0.9525,0.1161,0.6752,1
0.2856,0.2961,0.7361,0
0.8592,0.7786,0.8359,1
0.4126,0.1637,0.9232,0
0.4052,0.5759,0.3386,0
