x1,x2,x3
33.03,32.89,67.44
57.55,24.24,63.73
53.73,17.38,67.59
58.27,38.25,68.07
49.44,34.03,73.94
46.82,24.91,62.22
46.62,18.63,62.54
41.77,34.16,57.4
51.13,31.77,74.72
47.72,34.28,69.09
42.06,29.61,73.49
45.63,31.0,71.53
60.6,19.76,68.04
50.19,40.27,78.24
47.9,39.26,76.04
43.59,38.59,60.64
38.82,32.86,66.86
57.5,23.87,75.46
55.7,31.84,63.21
34.17,36.83,79.13
50.64,38.2,72.92
50.34,32.01,75.04
43.31,23.24,56.13
46.13,28.95,68.45
36.41,29.95,63.68
60.87,23.01,58.49
52.47,31.22,83.99
50.61,31.99,56.41
39.15,29.46,98.62
57.15,28.48,70.47
44.18,30.24,78.53
64.19,29.17,66.65
47.96,25.64,92.97
57.0,28.58,72.99
47.45,22.64,60.71
58.44,31.37,66.58
56.71,22.54,59.65
44.62,20.6,77.23
52.2,33.61,78.61
56.84,35.7,72.55
58.84,20.09,37.8
46.02,29.25,62.96
46.5,11.46,64.71
53.71,26.53,69.14
55.21,32.09,54.52
56.3,24.77,58.91
53.53,29.44,77.36
48.76,30.46,67.42
51.45,26.89,69.43
54.91,38.16,70.26
34.13,26.96,73.78
50.7,37.81,77.25
47.92,30.55,65.33
43.55,32.08,81.94
43.16,37.97,77.82
53.08,30.32,84.21
41.99,21.25,64.54
47.71,39.6,74.48
56.05,24.41,68.01
63.03,36.13,81.14
64.95,22.84,56.19
56.4,33.29,75.79
48.69,30.86,71.89
52.32,22.47,66.75
46.17,33.19,67.96
46.89,21.47,75.47
56.5,31.36,59.7
54.75,31.66,72.07
46.86,23.91,62.71
35.63,33.46,71.62
31.65,32.02,76.89
52.5,21.24,51.54
50.89,30.01,77.38
58.84,28.18,71.24
43.9,31.76,74.83
53.23,22.61,76.92
48.27,31.8,67.15
40.33,27.14,64.87
49.61,29.31,55.13
39.97,35.43,68.59
55.34,20.53,80.7
48.66,26.5,71.38
40.76,40.04,60.06
62.3,28.45,70.06
51.22,28.42,85.59
53.88,41.21,75.06
44.58,25.24,72.9
43.58,26.74,90.57
44.28,36.43,57.56
46.77,28.1,52.13
63.97,28.09,85.68
48.65,27.92,65.99
53.33,29.2,70.29
63.58,25.16,76.37
53.0,25.38,75.51
41.5,26.42,69.3
60.39,27.22,85.03
56.17,31.71,67.28
56.48,23.72,57.78
62.58,28.92,88.47
50.85,32.74,60.0
47.27,36.23,52.32
49.52,28.85,81.44
44.99,27.24,80.06
48.58,28.23,87.32
66.03,23.66,79.25
53.94,24.35,79.76
51.06,30.3,59.77
48.79,23.32,62.98
38.0,24.02,59.13
46.32,32.57,79.1
39.64,28.74,87.41
56.43,31.1,72.11
41.66,22.23,56.93
56.17,26.35,85.77
67.29,40.23,66.98
52.58,31.17,76.61
46.45,31.83,59.25
51.08,26.25,69.35
42.68,22.83,76.92
