time,value
1,105.11
2,105.24
3,102.36
4,108.91
5,111.91
6,102.57
7,110.99
8,104.73
9,123.16
10,112.94
11,123.48
12,120.63
13,134.05
14,122.11
15,131.09
16,131.41
17,119.36
18,131.94
19,143.3
20,134.11
21,145.52
22,141.01
23,132.73
24,132.87
25,146.77
26,146.93
27,137.66
28,140.64
29,156.94
30,146.63
31,156.66
32,159.65
33,152.95
34,167.84
35,161.82
36,161.25
37,180.91
38,179.35
39,176.85
40,168.57
41,169.81
42,182.17
43,176.53
44,182.72
45,181.34
46,178.02
47,172.91
48,190.71
49,187.5
50,184.52
51,173.85
52,196.26
53,189.61
54,185.95
55,209.58
56,185.62
57,201.32
58,205.88
59,210.5
60,204.15
