x1,x2,x3,label
0.2054,0.207,0.4764,0
0.6161,0.4788,0.2237,1
0.9386,0.5655,0.2825,1
0.3509,0.986,0.2846,1
0.5455,0.7021,0.3459,1
0.6496,0.2316,0.9911,0
0.6822,0.0361,0.1719,0
0.481,0.6016,0.4802,1
0.0762,0.0483,0.7254,0
0.3512,0.2578,0.1895,0
0.0212,0.0686,0.8097,0
0.1555,0.0563,0.1249,0
0.3845,0.2325,0.4045,0
0.2909,0.8401,0.9032,1
0.1974,0.7132,0.2254,0
0.2452,0.3895,0.2569,0
0.8388,0.9835,0.3772,1
0.7909,0.6449,0.9285,1
0.2849,0.7652,0.2727,1
0.3958,0.414,0.4063,0
0.449,0.0525,0.7661,0
0.8754,0.2434,0.2859,1
0.5164,0.3304,0.161,0
0.8909,0.3921,0.7051,1
0.7956,0.8114,0.3269,1
0.4327,0.324,0.1535,0
0.7058,0.0891,0.7715,0
0.3654,0.875,0.1301,1
0.6981,0.7017,0.1597,1
0.3922,0.2198,0.5086,0
0.0776,0.3047,0.7028,0
0.4249,0.058,0.3356,0
0.6901,0.9995,0.0867,1
0.3495,0.7392,0.4232,1
0.3699,0.5977,0.8677,1
0.1628,0.4189,0.0239,0
0.0697,0.8674,0.8143,0
0.6739,0.302,0.0605,1
0.4633,0.2341,0.6988,0
0.7739,0.3253,0.3428,1
0.2322,0.61,0.8306,0
0.2316,0.2595,0.8763,0
0.0011,0.211,0.6083,0
0.3865,0.9408,0.6465,1
0.654,0.862,0.6848,1
0.2788,0.7045,0.231,1
0.0508,0.0066,0.6397,0
0.2136,0.3996,0.7077,0
0.7789,0.6592,0.3785,1
0.7111,0.7938,0.2582,1
0.3228,0.1234,0.9161,0
0.3425,0.7473,0.1036,1
0.364,0.0398,0.6036,0
0.5427,0.299,0.3976,0
0.562,0.4748,0.3583,1
0.7038,0.1216,0.9414,0
0.5357,0.7407,0.9436,1
0.0127,0.3097,0.3057,0
0.7206,0.3902,0.0461,1
0.2147,0.116,0.2415,0
0.5963,0.6433,0.1326,1
0.2048,0.9133,0.3618,1
0.0475,0.6489,0.073,0
0.1739,0.1201,0.0914,0
0.1501,0.0673,0.7271,0
0.2311,0.6973,0.1314,0
0.1458,0.8429,0.3185,1
0.0127,0.2446,0.8473,0
0.637,0.7847,0.63,1
0.8267,0.1921,0.02,1
0.5044,0.3809,0.5194,0
0.639,0.1477,0.4633,0
0.1637,0.0265,0.9567,0
0.3668,0.5805,0.6324,0
0.1708,0.7841,0.1632,1
0.3322,0.8403,0.5007,1
0.1328,0.0077,0.9779,0
0.2642,0.9597,0.0472,1
0.649,0.8122,0.9801,1
0.9635,0.8753,0.712,1
