x1,x2,x3,label
0.1296,0.519,0.7416,0
0.5159,0.7254,0.2592,1
0.2522,0.7543,0.638,1
0.4617,0.7999,0.9912,1
0.746,0.7925,0.5812,1
0.7145,0.6933,0.3731,1
0.7559,0.5714,0.8055,1
0.4,0.357,0.4314,0
0.1677,0.7625,0.7358,0
0.5341,0.8545,0.7222,1
0.1705,0.8877,0.7812,1
0.9845,0.2776,0.8767,1
0.1,0.5365,0.5245,0
0.7379,0.1393,0.3808,0
0.8914,0.5058,0.5841,1
0.5706,0.3847,0.613,1
0.3624,0.3523,0.533,0
0.1861,0.8321,0.7231,1
0.126,0.8653,0.4375,1
0.1335,0.5961,0.3133,0
0.8723,0.8299,0.6642,1
0.6746,0.275,0.5089,0
0.9001,0.9911,0.1918,1
0.0657,0.406,0.2683,0
0.6154,0.6502,0.4657,1
0.9245,0.6449,0.5599,1
0.1574,0.7502,0.5712,0
0.1835,0.0762,0.9797,0
0.2824,0.6298,0.546,0
0.1657,0.8997,0.0775,1
0.4125,0.9934,0.9083,1
0.9868,0.6401,0.3437,1
0.4434,0.8594,0.1179,1
0.668,0.5722,0.9587,1
0.7184,0.4921,0.0928,1
0.9452,0.9892,0.7758,1
0.0079,0.8096,0.5106,0
0.476,0.5379,0.8364,1
0.8547,0.8763,0.1559,1
0.4786,0.8569,0.4568,1
0.0428,0.7346,0.6958,0
0.539,0.97,0.5746,1
0.356,0.2126,0.809,0
0.0001,0.4314,0.5856,0
0.8985,0.8401,0.8798,1
0.2399,0.3259,0.0951,0
0.7596,0.1466,0.9667,0
0.156,0.97,0.8504,1
0.3664,0.9252,0.2288,1
0.9485,0.8131,0.5613,1
0.3444,0.3457,0.3986,0
0.0626,0.4258,0.2508,0
0.3339,0.4179,0.6506,0
0.352,0.7859,0.733,1
0.9394,0.8745,0.1966,1
0.5509,0.809,0.1153,1
0.3012,0.1751,0.6229,0
0.8591,0.8153,0.3004,1
0.9019,0.5503,0.6488,1
0.6421,0.7533,0.9239,1
0.0859,0.7505,0.2611,0
0.7432,0.3572,0.2696,1
0.9588,0.8115,0.9677,1
0.9337,0.2619,0.7707,1
0.7447,0.4877,0.5302,1
0.3077,0.9494,0.5205,1
0.9589,0.6493,0.3791,1
0.3274,0.0187,0.3093,0
0.9295,0.944,0.4342,1
0.3197,0.6867,0.2015,1
0.9346,0.5355,0.8773,1
0.1883,0.8158,0.506,1
0.3751,0.5316,0.2546,0
0.3644,0.2368,0.3295,0
0.3354,0.7154,0.7433,1
0.9239,0.82,0.8031,1
0.1533,0.5185,0.1613,0
0.7994,0.765,0.875,1
0.5196,0.5489,0.6921,1
0.5918,0.1011,0.4953,0
