x1,x2,x3,label
0.2588,0.6253,0.6776,0
0.9572,0.5221,0.2129,1
0.69,0.8872,0.3874,1
0.6508,0.0202,0.2659,0
0.9105,0.5151,0.2684,1
0.3077,0.9913,0.42,1
0.4611,0.6311,0.1687,1
0.7457,0.4682,0.1869,1
0.5211,0.4832,0.7168,1
0.5499,0.4379,0.8351,1
0.8066,0.9462,0.1022,1
0.8485,0.2753,0.0305,1
0.361,0.4075,0.0159,0
0.2664,0.6743,0.5991,0
0.4481,0.2263,0.4766,0
0.7186,0.2636,0.8276,1
0.3743,0.926,0.5575,1
0.9724,0.352,0.5983,1
0.7945,0.6045,0.5604,1
0.5455,0.1052,0.2992,0
0.5562,0.715,0.423,1
0.9644,0.8098,0.0232,1
0.2982,0.5507,0.8333,0
0.9777,0.0325,0.684,1
0.836,0.7606,0.6985,1
0.0869,0.2448,0.0636,0
0.8499,0.0614,0.6213,0
0.0436,0.2479,0.5095,0
0.2553,0.4928,0.8434,0
0.0441,0.1865,0.7152,0
0.4054,0.9808,0.5588,1
0.4866,0.4411,0.6502,0
0.1236,0.4315,0.8376,0
0.4803,0.4511,0.8138,0
0.3346,0.6949,0.9883,1
0.1664,0.7637,0.3052,0
0.5741,0.3879,0.3474,1
0.1896,0.9204,0.0501,1
0.5219,0.8465,0.4366,1
0.8203,0.2783,0.8567,1
0.2608,0.9052,0.3582,1
0.2659,0.8982,0.5202,1
0.6981,0.0302,0.2039,0
0.5718,0.5482,0.3482,1
0.5802,0.1371,0.192,0
0.7352,0.3061,0.2552,1
0.192,0.3495,0.4277,0
0.8401,0.3404,0.6655,1
0.2567,0.1561,0.1705,0
0.257,0.0755,0.2863,0
0.4828,0.2793,0.5696,0
0.5367,0.4992,0.6428,1
0.3057,0.6612,0.3325,1
0.2384,0.9202,0.9322,1
0.1163,0.9335,0.9547,1
0.3157,0.2576,0.3858,0
0.8967,0.8156,0.0679,1
0.9366,0.0695,0.4735,1
0.5823,0.4204,0.597,1
0.2152,0.5087,0.7734,0
0.2372,0.4057,0.7197,0
0.5453,0.6521,0.0264,1
0.4477,0.3424,0.0167,0
0.8286,0.0347,0.6037,0
0.3077,0.6682,0.7595,1
0.3488,0.7621,0.4585,1
0.8081,0.0798,0.3076,0
0.2901,0.2399,0.3331,0
0.2302,0.7771,0.3444,1
0.1861,0.4002,0.5823,0
0.0255,0.5213,0.7187,0
0.9373,0.9795,0.5553,1
0.1926,0.2525,0.6256,0
0.2211,0.1385,0.491,0
0.4497,0.3826,0.8134,0
0.6446,0.909,0.1134,1
0.3686,0.209,0.5138,0
0.7329,0.2436,0.7932,1
0.8855,0.8967,0.1208,1
0.8868,0.3953,0.5684,1
