x1,x2,x3,label
0.7625,0.8412,0.404,1
0.0961,0.8557,0.7342,1
0.4941,0.0222,0.7433,0
0.5866,0.0829,0.8269,0
0.4026,0.0539,0.0334,0
0.8079,0.3994,0.5821,1
0.6418,0.3388,0.636,1
0.987,0.3792,0.0456,1
0.173,0.769,0.5078,0
0.5764,0.5909,0.5259,1
0.2265,0.0437,0.1896,0
0.914,0.0186,0.7416,0
0.3437,0.173,0.8331,0
0.5707,0.2656,0.1321,0
0.2323,0.1353,0.9333,0
0.4796,0.511,0.8235,1
0.9629,0.6803,0.8371,1
0.3308,0.5999,0.9715,0
0.3461,0.5664,0.5264,0
0.4671,0.5387,0.1594,1
0.3168,0.8976,0.5724,1
0.6552,0.9344,0.6041,1
0.4395,0.3341,0.5202,0
0.9121,0.5258,0.4679,1
0.6601,0.2538,0.3731,0
0.9498,0.1477,0.5554,1
0.4812,0.7803,0.1655,1
0.0361,0.4586,0.8421,0
0.5822,0.0094,0.5741,0
0.5749,0.7031,0.1022,1
0.8602,0.5466,0.5549,1
0.6465,0.2251,0.9248,0
0.6631,0.2395,0.5383,0
0.1904,0.0868,0.9907,0
0.4066,0.2595,0.198,0
0.9946,0.4325,0.4394,1
0.5556,0.435,0.0871,1
0.3806,0.2551,0.0868,0
0.5753,0.2229,0.5087,0
0.522,0.8449,0.4754,1
0.3085,0.3405,0.3916,0
0.6545,0.3296,0.4743,1
0.4049,0.0259,0.1077,0
0.967,0.4276,0.7696,1
0.8752,0.7288,0.9549,1
0.5441,0.7736,0.0924,1
0.111,0.4747,0.7202,0
0.776,0.1269,0.5581,0
0.7138,0.4617,0.2736,1
0.8957,0.8926,0.5916,1
0.4434,0.197,0.9254,0
0.0033,0.6624,0.5433,0
0.9337,0.6141,0.5875,1
0.0555,0.9683,0.5097,1
0.2725,0.7309,0.8912,1
0.8231,0.6751,0.2745,1
0.6148,0.0898,0.6563,0
0.4075,0.2106,0.8608,0
0.4211,0.9641,0.557,1
0.0709,0.4996,0.8224,0
0.3124,0.3377,0.6263,0
0.5076,0.2782,0.8454,0
0.676,0.3162,0.8947,1
0.4649,0.8581,0.1589,1
0.1122,0.123,0.8849,0
0.7558,0.0773,0.6856,0
0.9496,0.6911,0.8613,1
0.2162,0.945,0.0702,1
0.1264,0.3647,0.7342,0
0.5547,0.6687,0.9736,1
0.8423,0.513,0.4015,1
0.0498,0.528,0.6255,0
0.9505,0.7107,0.6643,1
0.8657,0.712,0.0527,1
0.7419,0.9859,0.5406,1
0.7848,0.0368,0.6448,0
0.4967,0.2084,0.0562,0
0.7015,0.6454,0.6668,1
0.262,0.8531,0.2614,1
0.5243,0.2682,0.0672,0
