x1,x2,x3,label
0.5988,0.7048,0.2687,1
0.1224,0.0683,0.634,0
0.8689,0.7507,0.7628,1
0.6746,0.0448,0.2897,0
0.9117,0.6518,0.3029,1
0.0426,0.4327,0.4587,0
0.6485,0.1128,0.7734,0
0.6726,0.8207,0.3725,1
0.5271,0.1664,0.3211,0
0.9544,0.8379,0.6346,1
0.3635,0.4297,0.1122,0
0.3543,0.2721,0.848,0
0.9123,0.6689,0.7072,1
0.3371,0.1952,0.7488,0
0.7045,0.155,0.6444,0
0.8445,0.7638,0.64,1
0.1213,0.3338,0.7032,0
0.1034,0.8626,0.2953,1
0.1008,0.9795,0.1118,1
0.7016,0.959,0.0754,1
0.6076,0.2013,0.2078,0
0.8276,0.1819,0.1542,1
0.3932,0.0952,0.0096,0
0.2663,0.446,0.5629,0
0.2352,0.2361,0.0756,0
0.4214,0.5481,0.8923,1
0.1694,0.5734,0.1112,0
0.9029,0.4393,0.8909,1
0.006,0.7098,0.8159,0
0.8696,0.059,0.7328,0
0.7809,0.98,0.6851,1
0.2802,0.1893,0.0168,0
0.7928,0.2379,0.1158,1
0.0604,0.8993,0.5729,1
1.0,0.7097,0.9566,1
0.4136,0.5961,0.8315,1
0.8799,0.7437,0.0713,1
0.4417,0.2091,0.5498,0
0.5416,0.532,0.1174,1
0.3894,0.4229,0.9091,0
0.5024,0.7754,0.204,1
0.2491,0.2549,0.8395,0
0.3114,0.6561,0.4098,1
0.9733,0.011,0.1856,1
0.2427,0.6205,0.8778,0
0.2286,0.929,0.112,1
0.0397,0.7258,0.2589,0
0.2107,0.6075,0.1608,0
0.6994,0.3775,0.579,1
0.3077,0.4968,0.0728,0
0.0585,0.8789,0.5348,0
0.4731,0.0749,0.7028,0
0.4265,0.3775,0.4039,0
0.8801,0.5055,0.5142,1
0.0635,0.5121,0.2327,0
0.5236,0.7772,0.0715,1
0.7577,0.2868,0.4294,1
0.1926,0.6491,0.2612,0
0.435,0.816,0.0618,1
0.8968,0.0008,0.8847,0
0.8911,0.0337,0.4198,0
0.4155,0.4599,0.717,0
0.0758,0.3027,0.34,0
0.7581,0.3654,0.5119,1
0.3955,0.0615,0.8877,0
0.5684,0.4827,0.2587,1
0.5676,0.1563,0.0382,0
0.5342,0.8074,0.6213,1
0.3852,0.0518,0.1383,0
0.3535,0.4352,0.9459,0
0.7294,0.8181,0.2101,1
0.5422,0.0285,0.2553,0
0.9571,0.6139,0.3838,1
0.1649,0.913,0.4307,1
0.3627,0.2329,0.8319,0
0.7485,0.4861,0.3795,1
0.7798,0.9108,0.9757,1
0.4915,0.4182,0.0309,0
0.6687,0.9479,0.9344,1
0.207,0.1332,0.0725,0
