x1,x2,x3
44.45,29.06,81.37
44.58,36.89,72.2
48.06,39.01,62.94
70.16,27.37,62.58
61.64,31.84,60.28
52.79,28.63,67.81
40.39,29.41,52.67
41.95,29.4,83.59
47.38,22.05,68.92
47.41,39.12,78.92
44.64,28.72,89.24
52.9,37.67,69.95
48.63,35.11,71.65
48.54,35.06,70.18
49.22,22.82,67.78
59.91,32.21,63.67
46.63,35.11,86.42
59.51,39.72,76.19
47.52,31.42,70.48
44.54,22.18,80.58
53.02,20.8,66.73
56.18,35.16,91.69
50.77,30.17,73.69
45.78,25.4,63.43
64.21,36.48,65.93
49.69,22.09,79.66
57.53,26.09,51.75
56.06,34.01,65.1
51.52,32.85,84.87
31.71,33.22,77.3
45.96,33.88,73.75
46.12,17.84,77.71
51.06,26.79,68.09
47.85,38.16,67.55
42.43,39.75,73.95
44.23,31.23,44.25
53.24,28.92,71.83
46.01,29.91,84.43
38.06,24.59,71.96
41.28,30.13,79.6
50.26,36.85,75.39
46.72,29.08,80.22
53.07,25.03,73.59
58.38,29.46,63.76
58.04,31.75,72.22
59.3,31.99,61.86
42.68,34.31,59.07
56.21,22.54,61.58
53.89,29.5,59.91
55.8,27.78,49.18
48.72,32.35,79.99
50.26,28.74,57.93
57.75,25.72,68.59
39.42,33.06,85.86
56.03,29.15,75.09
67.17,33.75,82.96
43.37,30.36,80.41
54.26,25.67,59.3
48.49,33.56,62.03
52.45,29.11,80.83
42.16,30.57,52.53
51.03,29.25,76.8
42.66,30.33,53.89
49.64,23.91,57.66
60.31,20.63,81.12
56.22,26.51,61.07
40.24,30.07,70.69
38.05,26.88,66.52
42.92,26.03,72.37
42.65,33.59,69.23
63.62,20.79,77.63
48.71,23.41,78.28
63.55,33.97,63.54
44.86,27.88,81.39
40.99,26.33,55.86
46.97,30.82,62.5
56.57,27.09,70.54
45.03,32.0,75.92
45.35,29.44,85.18
47.39,28.48,59.43
49.85,30.09,82.11
45.05,32.18,63.61
57.44,29.64,65.42
40.56,39.08,56.59
45.79,32.31,85.11
46.25,25.81,55.93
36.69,32.92,68.75
33.64,39.23,86.39
43.02,34.52,75.63
67.9,37.8,91.22
52.92,22.27,60.33
55.3,28.79,68.53
51.87,31.68,58.17
52.17,35.18,80.05
51.05,21.99,70.92
52.81,29.68,69.55
64.98,26.03,61.13
44.01,31.41,51.3
47.4,27.98,72.27
44.14,29.04,53.29
37.83,31.89,76.35
51.02,25.45,69.19
69.46,33.46,64.23
64.55,25.77,88.6
55.11,30.24,85.7
54.64,24.33,66.58
66.3,28.98,77.39
62.03,27.8,70.19
36.06,31.19,82.19
48.83,25.07,63.39
51.75,28.74,73.6
52.48,34.73,75.17
41.64,25.16,61.5
55.66,33.5,65.05
52.63,31.7,72.95
44.19,29.27,59.96
53.17,39.02,83.87
43.36,25.04,63.71
48.17,28.02,79.44
39.77,22.32,76.06
