x1,x2,x3,label
0.0268,0.966,0.5252,1
0.0301,0.7737,0.4526,0
0.2498,0.1774,0.3972,0
0.0882,0.2715,0.6642,0
0.4058,0.1589,0.5806,0
0.5754,0.3128,0.2074,0
0.1832,0.6637,0.1583,0
0.878,0.8016,0.1609,1
0.4771,0.273,0.958,0
0.8216,0.0509,0.6627,0
0.3828,0.4708,0.3893,0
0.6699,0.1687,0.3403,0
0.9343,0.6482,0.0316,1
0.4843,0.5587,0.6964,1
0.5944,0.7832,0.6353,1
0.5573,0.8497,0.9566,1
0.7016,0.7047,0.5669,1
0.0819,0.5366,0.1295,0
0.2716,0.9539,0.8913,1
0.7786,0.3669,0.5826,1
0.8787,0.1851,0.7315,1
0.188,0.3294,0.3465,0
0.9384,0.2526,0.4287,1
0.5619,0.2605,0.639,0
0.5861,0.8747,0.9901,1
0.1075,0.4007,0.7232,0
0.2863,0.7659,0.0028,1
0.4306,0.9277,0.567,1
0.6458,0.01,0.0509,0
0.9908,0.497,0.2207,1
0.9903,0.1832,0.0178,1
0.281,0.5996,0.4851,0
0.7862,0.1123,0.6627,0
0.4937,0.5839,0.9983,1
0.4235,0.1703,0.8099,0
0.3776,0.9539,0.8933,1
0.2807,0.8702,0.6301,1
0.3173,0.332,0.5744,0
0.4193,0.6585,0.965,1
0.9089,0.5792,0.1182,1
0.6544,0.9201,0.3704,1
0.7789,0.036,0.1595,0
0.002,0.1863,0.857,0
0.6419,0.9581,0.376,1
0.7107,0.657,0.2618,1
0.0635,0.9293,0.7043,1
0.318,0.5064,0.5615,0
0.8568,0.2922,0.8372,1
0.4773,0.7663,0.6569,1
0.0882,0.5219,0.1523,0
0.681,0.5701,0.8684,1
0.1038,0.906,0.505,1
0.6874,0.2854,0.8058,1
0.7585,0.196,0.8651,1
0.8416,0.8539,0.0827,1
0.1234,0.9403,0.3148,1
0.4752,0.8075,0.2508,1
0.4419,0.0098,0.1871,0
0.594,0.5362,0.3756,1
0.5816,0.4837,0.0233,1
0.8551,0.8993,0.7154,1
0.4415,0.8514,0.1359,1
0.2729,0.9676,0.1098,1
0.1849,0.1821,0.1761,0
0.3972,0.6778,0.3196,1
0.6041,0.8054,0.1345,1
0.6514,0.5575,0.4044,1
0.3439,0.4734,0.8845,0
0.4038,0.1506,0.3116,0
0.7859,0.4383,0.8075,1
0.4467,0.6168,0.9959,1
0.783,0.8113,0.0189,1
0.3482,0.9528,0.3107,1
0.464,0.6196,0.431,1
0.0702,0.3675,0.2331,0
0.5394,0.8997,0.1983,1
0.4571,0.1251,0.9658,0
0.3143,0.9972,0.4614,1
0.2323,0.3507,0.5995,0
0.5185,0.8806,0.569,1
