x1,x2,x3,label
0.1761,0.3959,0.4475,0
0.0251,0.7925,0.1166,0
0.963,0.6605,0.6873,1
0.7613,0.855,0.1233,1
0.5625,0.3514,0.9291,0
0.885,0.8492,0.9069,1
0.5115,0.0849,0.0235,0
0.9058,0.8697,0.0407,1
0.7374,0.8879,0.8127,1
0.5411,0.8592,0.1154,1
0.9198,0.5888,0.3778,1
0.2919,0.6551,0.6249,0
0.237,0.6561,0.1892,0
0.1701,0.9518,0.6317,1
0.8395,0.4505,0.4897,1
0.9497,0.4077,0.4966,1
0.2587,0.8521,0.322,1
0.6255,0.8378,0.4793,1
0.4538,0.325,0.8969,0
0.8117,0.2045,0.3889,1
0.0155,0.1092,0.5899,0
0.5946,0.931,0.6498,1
0.0894,0.6103,0.9027,0
0.8771,0.2307,0.7536,1
0.1389,0.0094,0.2348,0
0.3248,0.7939,0.5017,1
0.5002,0.8991,0.1659,1
0.3693,0.3211,0.5737,0
0.1431,0.3267,0.218,0
0.2917,0.3696,0.9104,0
0.8069,0.9781,0.7761,1
0.8411,0.0988,0.8717,0
0.9591,0.6527,0.6037,1
0.6341,0.5454,0.9774,1
0.9171,0.1754,0.853,1
0.3191,0.6369,0.8867,1
0.8173,0.2057,0.3769,1
0.7993,0.0333,0.8715,0
0.7903,0.5308,0.1643,1
0.9539,0.2512,0.1727,1
0.35,0.6104,0.5436,1
0.1884,0.6698,0.3696,0
0.8152,0.3883,0.3016,1
0.6435,0.3065,0.5298,1
0.5094,0.6496,0.1493,1
0.722,0.744,0.2829,1
0.1331,0.5478,0.2438,0
0.2665,0.2346,0.1635,0
0.4974,0.278,0.2406,0
0.0736,0.1898,0.4618,0
0.1114,0.7203,0.0906,0
0.5116,0.474,0.6466,1
0.9168,0.8124,0.8336,1
0.9114,0.7929,0.3664,1
0.6494,0.0033,0.5507,0
0.3695,0.484,0.2523,0
0.7264,0.5428,0.9244,1
0.0835,0.3133,0.4438,0
0.2385,0.8691,0.5812,1
0.8356,0.4584,0.8452,1
0.5961,0.4733,0.3693,1
0.721,0.1649,0.3972,0
0.7926,0.0245,0.1271,0
0.239,0.0017,0.7919,0
0.6383,0.7681,0.3474,1
0.992,0.6626,0.345,1
0.8911,0.8426,0.9751,1
0.8049,0.1076,0.6383,0
0.3029,0.8232,0.7673,1
0.7896,0.0231,0.8517,0
0.9335,0.1957,0.8105,1
0.6913,0.4179,0.1796,1
0.9118,0.0949,0.137,1
0.3983,0.2973,0.3042,0
0.4493,0.2512,0.4263,0
0.3541,0.2432,0.6285,0
0.5361,0.1153,0.9132,0
0.2573,0.9983,0.1051,1
0.8644,0.196,0.8936,1
0.0716,0.5025,0.4551,0
