x1,x2,x3,label
0.6676,0.9677,0.5263,1
0.0128,0.3188,0.5217,0
0.9948,0.2002,0.8687,1
0.0733,0.732,0.1045,0
0.0826,0.3688,0.8873,0
0.2032,0.6031,0.788,0
0.9845,0.9267,0.643,1
0.209,0.9812,0.9468,1
0.4662,0.3377,0.3999,0
0.4068,0.4358,0.0522,0
0.5598,0.8221,0.8325,1
0.7458,0.0773,0.039,0
0.6373,0.0477,0.5852,0
0.2839,0.5657,0.6159,0
0.7088,0.5109,0.4895,1
0.7487,0.1424,0.9986,0
0.402,0.0813,0.9001,0
0.3935,0.0857,0.1681,0
0.9062,0.5209,0.811,1
0.2641,0.8819,0.702,1
0.5346,0.1745,0.3117,0
0.4974,0.7269,0.9987,1
0.1057,0.1275,0.6053,0
0.8986,0.6019,0.9375,1
0.0268,0.8719,0.6207,0
0.1632,0.2914,0.3358,0
0.7843,0.5341,0.0723,1
0.148,0.4405,0.4974,0
0.0646,0.1211,0.8859,0
0.9659,0.9152,0.356,1
0.3608,0.5981,0.5657,1
0.5294,0.926,0.2043,1
0.5913,0.731,0.3377,1
0.2288,0.4596,0.6766,0
0.8683,0.7423,0.2373,1
0.2858,0.4352,0.7605,0
0.2268,0.1292,0.8886,0
0.3562,0.1164,0.7258,0
0.8677,0.1594,0.4177,1
0.8141,0.2275,0.647,1
0.9898,0.319,0.168,1
0.153,0.4105,0.4107,0
0.3516,0.215,0.0564,0
0.8377,0.7999,0.5459,1
0.1525,0.8533,0.4353,1
0.1088,0.2816,0.0409,0
0.2866,0.2782,0.2683,0
0.1677,0.0762,0.8536,0
0.0717,0.936,0.9003,1
0.4356,0.7017,0.7466,1
0.7896,0.6949,0.7868,1
0.4378,0.3779,0.0816,0
0.6219,0.0092,0.9178,0
0.4832,0.7181,0.2487,1
0.9307,0.3753,0.0075,1
0.6017,0.0784,0.6954,0
0.101,0.5396,0.6278,0
0.7178,0.3046,0.2415,1
0.9385,0.2333,0.1478,1
0.4619,0.6568,0.1408,1
0.6571,0.0981,0.9382,0
0.826,0.2946,0.5337,1
0.7191,0.2969,0.0314,1
0.7298,0.32,0.427,1
0.3249,0.9273,0.2496,1
0.4608,0.5097,0.1717,1
0.5067,0.9856,0.1872,1
0.2621,0.1707,0.4256,0
0.6325,0.8581,0.1277,1
0.7421,0.247,0.9425,1
0.907,0.4335,0.3285,1
0.4622,0.0242,0.908,0
0.2918,0.6395,0.1074,0
0.4755,0.3498,0.9256,0
0.9174,0.1776,0.3574,1
0.028,0.8915,0.7525,0
0.2082,0.5594,0.489,0
0.9003,0.9093,0.8318,1
0.2106,0.2132,0.2144,0
0.9729,0.7642,0.0609,1
