time,value
1,100.35
2,104.53
3,102.97
4,95.67
5,121.37
6,108.57
7,106.11
8,117.62
9,120.73
10,111.95
11,127.66
12,134.12
13,126.92
14,124.46
15,130.33
16,126.61
17,138.54
18,119.2
19,128.99
20,139.37
21,138.61
22,137.34
23,144.67
24,142.15
25,125.95
26,149.81
27,159.16
28,142.14
29,139.79
30,155.82
31,150.69
32,155.95
33,164.54
34,169.67
35,169.25
36,173.17
37,165.98
38,171.0
39,164.68
40,173.22
41,184.43
42,173.62
43,174.37
44,190.8
45,178.24
46,178.89
47,177.07
48,186.35
49,187.96
50,177.48
51,200.19
52,192.77
53,201.03
54,202.18
55,203.63
56,205.85
57,205.48
58,223.44
59,209.37
60,205.33
