time,value
1,96.52
2,117.94
3,112.46
4,115.05
5,111.27
6,108.71
7,105.46
8,111.32
9,103.46
10,117.0
11,111.87
12,115.72
13,127.22
14,143.56
15,126.74
16,124.17
17,118.08
18,133.06
19,136.82
20,139.29
21,148.76
22,147.93
23,127.09
24,151.79
25,144.87
26,149.54
27,145.59
28,148.87
29,155.48
30,162.06
31,142.65
32,168.07
33,162.14
34,152.8
35,163.64
36,161.62
37,168.48
38,172.45
39,168.2
40,155.32
41,165.91
42,182.43
43,185.25
44,175.34
45,164.58
46,195.01
47,179.58
48,192.19
49,178.36
50,187.52
51,190.29
52,191.23
53,193.8
54,204.1
55,209.38
56,197.88
57,205.26
58,210.92
59,210.95
60,204.4
