x1,x2,x3,label
0.5077,0.719,0.0213,1
0.0592,0.4874,0.5923,0
0.8377,0.8956,0.6506,1
0.9782,0.9783,0.2471,1
0.8627,0.6625,0.2234,1
0.5696,0.6286,0.8422,1
0.4527,0.518,0.5214,1
0.9559,0.6075,0.9607,1
0.9071,0.1504,0.7721,1
0.9769,0.8989,0.8196,1
0.3576,0.1779,0.2155,0
0.7962,0.8295,0.8393,1
0.6866,0.0801,0.7937,0
0.9319,0.5736,0.5481,1
0.1163,0.8152,0.6297,0
0.1559,0.7879,0.249,0
0.979,0.1879,0.8915,1
0.2107,0.3778,0.6806,0
0.6976,0.5562,0.686,1
0.4086,0.0433,0.1671,0
0.6844,0.3581,0.4847,1
0.1414,0.2569,0.5031,0
0.7703,0.1356,0.4441,0
0.7054,0.5595,0.5951,1
0.8465,0.5856,0.5577,1
0.9696,0.8388,0.5516,1
0.6863,0.0298,0.9878,0
0.5248,0.2451,0.5384,0
0.3868,0.7655,0.33,1
0.9649,0.453,0.7761,1
0.9494,0.6097,0.7146,1
0.9453,0.6991,0.5455,1
0.9498,0.1839,0.3294,1
0.4065,0.7973,0.5998,1
0.8142,0.0169,0.4734,0
0.922,0.6362,0.2611,1
0.0394,0.1021,0.2501,0
0.2987,0.0704,0.0751,0
0.9418,0.0281,0.1142,1
0.4195,0.2156,0.4222,0
0.9053,0.6737,0.0231,1
0.8066,0.0576,0.2826,0
0.1382,0.3271,0.5493,0
0.891,0.647,0.7557,1
0.0688,0.3028,0.8304,0
0.4081,0.0667,0.0277,0
0.4364,0.0623,0.0874,0
0.9518,0.1642,0.5237,1
0.327,0.6687,0.8969,1
0.0887,0.3678,0.8935,0
0.3044,0.592,0.4853,0
0.99,0.496,0.9567,1
0.1193,0.0614,0.3327,0
0.7865,0.3792,0.0847,1
0.9823,0.7612,0.8087,1
0.7575,0.1743,0.3599,0
0.6379,0.7663,0.9982,1
0.4844,0.8155,0.0078,1
0.155,0.5891,0.37,0
0.0975,0.5064,0.3336,0
0.7803,0.1912,0.8091,1
0.6291,0.2867,0.9723,0
0.7295,0.4687,0.7217,1
0.539,0.7965,0.2417,1
0.0215,0.9008,0.9171,0
0.8149,0.3291,0.354,1
0.9766,0.762,0.5731,1
0.9901,0.9038,0.4735,1
0.4723,0.8658,0.4024,1
0.1974,0.8429,0.3995,1
0.6224,0.004,0.2621,0
0.542,0.9442,0.5664,1
0.8516,0.0267,0.0822,0
0.5854,0.1164,0.3699,0
0.5012,0.7031,0.3222,1
0.5784,0.8917,0.8501,1
0.6032,0.0698,0.6775,0
0.3544,0.5765,0.3063,0
0.4875,0.7508,0.425,1
0.0641,0.4686,0.4981,0
