x1,x2,x3,label
0.1324,0.4145,0.1255,0
0.6445,0.2026,0.7178,1
0.6295,0.8446,0.7864,1
0.3451,0.3857,0.8233,0
0.0671,0.513,0.8882,0
0.3648,0.147,0.1814,0
0.76,0.7109,0.2152,1
0.7255,0.0948,0.9251,1
0.5905,0.9882,0.3746,1
0.6117,0.0792,0.0077,0
0.3741,0.8533,0.4891,1
0.0649,0.3914,0.3231,0
0.683,0.56,0.6016,1
0.4288,0.3404,0.9952,0
0.3039,0.6823,0.6193,0
0.0895,0.4921,0.7126,0
0.3096,0.9266,0.3505,0
0.1348,0.0296,0.9852,0
0.0432,0.6956,0.3601,0
0.9247,0.066,0.753,1
0.2962,0.6489,0.2661,0
0.5023,0.5029,0.071,0
0.3402,0.296,0.07,0
0.0659,0.2186,0.0708,0
0.9497,0.6242,0.9196,1
0.6769,0.748,0.8927,1
0.4992,0.5159,0.362,0
0.5745,0.6842,0.2318,1
0.028,0.3007,0.4086,0
0.7427,0.1984,0.2876,0
0.2857,0.5714,0.543,0
0.5485,0.1553,0.2768,0
0.8769,0.0579,0.3855,0
0.7485,0.1238,0.5963,1
0.8569,0.8641,0.2253,1
0.3463,0.1811,0.3194,0
0.3209,0.4905,0.7254,0
0.579,0.201,0.6861,0
0.1193,0.0746,0.265,0
0.559,0.6732,0.1836,0
0.8898,0.3382,0.5587,1
0.0324,0.4142,0.0003,0
0.055,0.5388,0.5401,0
0.2133,0.3831,0.3151,0
0.6204,0.5119,0.0311,0
0.1729,0.6925,0.5732,0
0.9781,0.9795,0.5659,1
0.999,0.5471,0.3599,1
0.2437,0.7272,0.7853,1
0.5611,0.4728,0.8458,1
0.4241,0.5591,0.621,1
0.5753,0.9621,0.4027,1
0.5409,0.3355,0.2978,0
0.8267,0.3814,0.1488,0
0.2447,0.9145,0.4508,0
0.7003,0.6052,0.0165,0
0.1827,0.877,0.5921,0
0.659,0.1899,0.9096,1
0.1765,0.4286,0.1631,0
0.969,0.958,0.7144,1
0.8303,0.442,0.4597,1
0.4323,0.2399,0.6037,0
0.6405,0.3563,0.8198,1
0.0674,0.9983,0.7278,0
0.8183,0.1329,0.1071,0
0.8349,0.3863,0.806,1
0.1235,0.1065,0.7564,0
0.5487,0.8637,0.2501,1
0.0251,0.4525,0.4095,0
0.1411,0.6083,0.8735,0
0.904,0.9266,0.6968,1
0.3421,0.9628,0.8841,1
0.9395,0.7927,0.2457,1
0.0138,0.6442,0.3365,0
0.316,0.535,0.3511,0
0.7461,0.6585,0.1244,1
0.4002,0.2852,0.2908,0
0.4138,0.5468,0.8698,1
0.7754,0.9511,0.8349,1
0.6516,0.2053,0.3897,0
0.31,0.2149,0.495,0
0.0258,0.0805,0.6689,0
0.723,0.8829,0.9663,1
0.5369,0.6385,0.7278,1
0.1399,0.0995,0.0266,0
0.889,0.0147,0.0656,0
0.7876,0.6134,0.701,1
0.5874,0.5831,0.7526,1
0.8205,0.8007,0.2667,1
0.3931,0.1005,0.1315,0
0.3474,0.8683,0.3795,1
0.5576,0.2392,0.8167,0
0.4754,0.3348,0.5168,0
0.6943,0.4168,0.2374,0
0.0139,0.8945,0.5122,0
0.8436,0.7593,0.3438,1
0.2811,0.2942,0.8505,0
0.2639,0.0077,0.4223,0
0.2614,0.4431,0.1725,0
0.7567,0.492,0.6887,1
0.3461,0.6047,0.4554,0
0.7192,0.9112,0.5778,1
0.2067,0.7976,0.9926,0
0.965,0.0401,0.9182,1
0.6214,0.4216,0.3125,1
0.4108,0.1055,0.2,0
0.501,0.44,0.9253,1
0.8723,0.5098,0.0319,1
0.7209,0.7634,0.8032,1
0.8243,0.1705,0.6152,1
0.6717,0.4075,0.016,0
0.333,0.6757,0.4655,0
0.7664,0.3138,0.3157,1
0.3536,0.9505,0.3202,0
0.9217,0.0027,0.4736,0
0.5786,0.2434,0.9736,0
0.1973,0.7177,0.8481,0
