time,value
1,99.33
2,114.88
3,100.57
4,105.61
5,116.31
6,107.51
7,113.36
8,119.88
9,132.88
10,119.27
11,118.0
12,119.24
13,116.46
14,136.32
15,132.77
16,121.22
17,134.66
18,120.96
19,134.48
20,142.17
21,139.07
22,148.28
23,128.3
24,132.55
25,144.92
26,144.02
27,154.83
28,155.24
29,147.91
30,147.74
31,163.35
32,156.35
33,166.05
34,165.25
35,157.95
36,171.45
37,176.44
38,175.15
39,175.0
40,178.68
41,171.76
42,161.05
43,179.22
44,191.56
45,186.54
46,190.08
47,186.49
48,181.97
49,173.43
50,186.27
51,182.94
52,195.83
53,193.42
54,196.81
55,208.87
56,203.49
57,207.1
58,201.13
59,196.8
60,201.32
