time,value
1,112.79
2,107.54
3,113.14
4,104.25
5,105.52
6,112.88
7,110.78
8,112.24
9,127.61
10,114.56
11,108.28
12,112.8
13,130.32
14,128.77
15,127.61
16,143.83
17,141.84
18,129.29
19,127.26
20,136.7
21,138.22
22,142.82
23,147.46
24,140.62
25,143.17
26,148.04
27,143.46
28,137.19
29,158.93
30,160.4
31,141.19
32,154.43
33,151.01
34,154.14
35,154.47
36,154.13
37,174.76
38,165.66
39,184.68
40,162.94
41,184.65
42,188.01
43,182.09
44,176.65
45,179.15
46,174.26
47,175.36
48,197.44
49,182.86
50,187.98
51,193.91
52,195.02
53,186.55
54,205.82
55,210.55
56,211.31
57,216.68
58,199.04
59,201.75
60,210.01
