x1,x2,x3
56.43,36.15,34.19
57.92,33.98,83.95
46.59,29.11,80.0
46.53,26.63,72.53
50.14,37.02,53.37
43.93,29.07,73.17
46.69,28.0,81.43
45.51,26.49,85.1
60.0,30.94,70.04
54.27,30.75,75.56
54.0,38.0,75.47
45.02,19.88,71.73
53.71,37.63,74.85
46.06,37.86,78.9
47.25,33.36,59.68
42.44,30.99,66.65
52.97,30.9,69.72
48.51,38.74,65.48
45.19,29.08,64.39
68.05,23.28,60.99
45.93,32.06,77.14
47.59,35.22,70.61
59.34,31.69,83.59
53.43,22.73,63.61
38.07,19.34,61.47
62.01,31.84,80.26
58.81,30.48,78.24
47.28,27.12,67.77
60.07,29.85,80.53
56.18,24.71,68.96
43.67,34.12,55.93
45.8,23.8,72.49
43.07,25.3,63.79
63.05,28.58,66.64
55.14,31.32,61.73
48.4,29.24,75.15
54.5,26.91,70.17
59.4,24.07,68.76
52.71,31.86,71.16
66.01,28.22,70.42
60.68,22.88,80.32
44.94,32.41,70.98
44.89,21.08,64.28
55.65,32.44,76.97
45.29,31.72,73.94
42.61,32.27,78.27
57.15,32.99,64.08
54.8,29.2,52.06
39.59,28.14,71.6
43.93,27.56,72.47
41.7,31.47,101.24
56.51,29.99,66.62
59.12,22.04,61.98
51.59,24.72,53.68
50.38,29.95,74.83
48.38,29.45,65.1
53.36,26.7,64.31
46.12,32.21,73.07
54.45,27.33,74.74
45.82,25.18,78.16
46.24,29.76,50.19
47.97,28.48,67.8
56.29,33.08,63.57
45.58,30.99,92.67
45.84,27.4,70.87
55.87,20.99,68.59
58.25,22.97,61.13
63.89,24.56,86.59
53.99,31.22,80.39
60.64,30.91,56.28
59.05,26.87,71.85
49.81,24.09,80.5
54.99,34.84,55.88
67.24,27.25,62.02
48.83,43.61,66.65
56.24,30.02,44.48
56.53,29.9,69.11
47.56,31.01,57.6
52.24,23.71,64.77
47.49,25.77,79.77
45.05,29.42,48.28
46.91,25.14,86.36
41.58,35.11,70.7
48.24,27.09,79.38
55.62,36.81,70.21
58.8,26.13,74.36
43.78,38.08,69.76
49.23,26.5,60.65
44.79,35.9,60.29
65.24,36.08,62.51
51.52,36.15,58.7
49.44,32.15,62.14
57.46,27.7,60.13
48.34,32.28,54.65
60.83,33.4,63.28
57.62,33.26,45.43
38.12,31.8,65.97
48.93,27.96,56.03
51.23,30.89,81.88
53.26,32.71,83.58
45.58,21.61,54.14
56.7,28.34,51.77
52.64,25.75,91.33
44.61,30.4,76.02
46.83,21.68,81.31
49.09,23.1,62.89
46.82,32.34,77.23
44.26,36.57,84.14
45.31,35.15,45.36
45.03,36.16,76.31
51.27,27.52,69.64
45.63,29.6,60.21
46.03,18.06,71.91
56.72,39.24,70.47
49.69,29.47,64.59
47.79,35.52,91.51
54.92,28.71,79.41
57.69,35.8,76.08
69.01,28.37,47.19
39.89,33.09,76.28
