x1,x2,x3,label
0.2843,0.6101,0.0647,0
0.5202,0.7535,0.4487,1
0.5848,0.6777,0.2731,1
0.3955,0.0398,0.0625,0
0.7879,0.6405,0.4908,1
0.1039,0.5718,0.1646,0
0.504,0.8293,0.8505,1
0.4887,0.2364,0.864,0
0.1079,0.2757,0.0381,0
0.0378,0.8441,0.098,0
0.534,0.7322,0.7093,1
0.22,0.2991,0.6288,0
0.4715,0.6743,0.1939,1
0.7643,0.0294,0.9764,0
0.8952,0.1252,0.1812,1
0.7672,0.6193,0.0921,1
0.8302,0.9728,0.1309,1
0.0162,0.2257,0.6075,0
0.6462,0.1515,0.2371,0
0.5875,0.6481,0.0333,1
0.9541,0.38,0.2178,1
0.9094,0.2802,0.6391,1
0.5595,0.3071,0.1444,0
0.965,0.2321,0.2286,1
0.9722,0.2238,0.13,1
0.9397,0.5746,0.6321,1
0.7739,0.8912,0.538,1
0.6049,0.9945,0.0412,1
0.539,0.9395,0.4655,1
0.1294,0.0829,0.9354,0
0.715,0.7501,0.9634,1
0.5048,0.7129,0.8123,1
0.8321,0.0215,0.9817,0
0.2962,0.8556,0.124,1
0.0201,0.8286,0.6406,0
0.8338,0.0386,0.9474,0
0.8646,0.8651,0.652,1
0.4348,0.4416,0.9919,0
0.6017,0.036,0.2943,0
0.0936,0.9055,0.1299,1
0.5334,0.4258,0.2968,1
0.1995,0.6471,0.9089,0
0.635,0.5055,0.806,1
0.3113,0.9757,0.0603,1
0.1941,0.7363,0.3824,0
0.309,0.734,0.7136,1
0.6924,0.8074,0.1049,1
0.7989,0.1781,0.2147,1
0.1815,0.5152,0.2046,0
0.0334,0.8952,0.9014,0
0.8847,0.8399,0.5167,1
0.4997,0.0034,0.2238,0
0.2429,0.7963,0.6238,1
0.9383,0.0988,0.6257,1
0.3962,0.9759,0.9926,1
0.5497,0.2732,0.8828,0
0.4376,0.2781,0.7327,0
0.1602,0.2025,0.9177,0
0.8457,0.4799,0.3878,1
0.9398,0.2185,0.7257,1
0.2405,0.7162,0.8401,1
0.4848,0.2967,0.723,0
0.7838,0.0304,0.7668,0
0.0966,0.3999,0.521,0
0.7441,0.6412,0.8755,1
0.369,0.7472,0.8858,1
0.2156,0.6509,0.032,0
0.5397,0.9069,0.7267,1
0.0047,0.1537,0.8049,0
0.2493,0.5721,0.5337,0
0.4296,0.9452,0.985,1
0.5111,0.5969,0.089,1
0.41,0.0186,0.4487,0
0.8697,0.7564,0.4448,1
0.5973,0.5651,0.5203,1
0.5033,0.3633,0.3134,0
0.2784,0.071,0.7777,0
0.8157,0.8205,0.2582,1
0.1038,0.6902,0.2809,0
0.5352,0.7022,0.4825,1
