x1,x2,x3,label
0.3392,0.3966,0.2578,0
0.9611,0.48,0.0442,1
0.4989,0.5917,0.7903,1
0.6304,0.7949,0.0157,1
0.0122,0.1904,0.3176,0
0.8553,0.8557,0.0859,1
0.2196,0.7153,0.8561,0
0.0721,0.3038,0.5158,0
0.604,0.8599,0.5505,1
0.2225,0.7895,0.7924,1
0.1442,0.0151,0.9481,0
0.3857,0.7962,0.4581,1
0.2978,0.5815,0.1208,0
0.2333,0.2371,0.1612,0
0.7898,0.4154,0.6107,1
0.8406,0.6341,0.7545,1
0.3196,0.429,0.1924,0
0.0994,0.2145,0.9924,0
0.3934,0.1378,0.0054,0
0.6924,0.3602,0.1337,1
0.6013,0.3551,0.5111,1
0.0139,0.267,0.856,0
0.7752,0.8178,0.529,1
0.9613,0.4919,0.5306,1
0.212,0.1891,0.179,0
0.4144,0.2866,0.9808,0
0.6507,0.3075,0.014,1
0.085,0.7775,0.9032,0
0.749,0.3541,0.7862,1
0.8168,0.5883,0.8914,1
0.6663,0.6062,0.7632,1
0.6898,0.9582,0.6375,1
0.0094,0.1081,0.3416,0
0.8619,0.3779,0.9866,1
0.2951,0.7314,0.5788,1
0.8847,0.4527,0.992,1
0.4425,0.791,0.448,1
0.2642,0.5266,0.1041,0
0.4264,0.4685,0.1812,0
0.1241,0.0087,0.7347,0
0.222,0.6138,0.8667,0
0.5051,0.1265,0.4294,0
0.1508,0.7924,0.8912,0
0.3177,0.4613,0.1037,0
0.3629,0.6692,0.5288,1
0.6946,0.7904,0.5278,1
0.2762,0.0736,0.7904,0
0.2891,0.6451,0.0169,0
0.4203,0.1426,0.5018,0
0.5172,0.1495,0.3884,0
0.8913,0.7764,0.4065,1
0.0339,0.2135,0.637,0
0.6865,0.9117,0.6281,1
0.396,0.9252,0.3601,1
0.001,0.5809,0.3593,0
0.1054,0.8772,0.7602,1
0.4544,0.5927,0.8853,1
0.9214,0.4665,0.6608,1
0.1994,0.4906,0.3965,0
0.3445,0.047,0.9338,0
0.1863,0.7467,0.6344,0
0.095,0.5162,0.5042,0
0.8761,0.5987,0.1393,1
0.5753,0.2887,0.312,0
0.6539,0.4866,0.5605,1
0.741,0.4722,0.8259,1
0.8605,0.9255,0.4335,1
0.7979,0.7337,0.4295,1
0.9851,0.1064,0.1829,1
0.3652,0.5224,0.2857,0
0.3539,0.1289,0.7225,0
0.6195,0.9349,0.7125,1
0.5635,0.4917,0.6719,1
0.9043,0.9705,0.8521,1
0.9714,0.1538,0.5641,1
0.758,0.526,0.8315,1
0.271,0.1059,0.5431,0
0.653,0.1767,0.1098,0
0.471,0.5735,0.6686,1
0.0919,0.0896,0.1681,0
