time,value
1,103.53
2,94.28
3,106.11
4,121.86
5,115.05
6,98.42
7,109.48
8,100.35
9,109.22
10,100.68
11,119.09
12,122.82
13,121.46
14,146.91
15,137.45
16,123.48
17,139.71
18,126.51
19,139.69
20,146.39
21,132.28
22,148.23
23,131.02
24,135.47
25,159.71
26,145.34
27,148.44
28,152.28
29,155.2
30,161.5
31,161.01
32,157.07
33,155.05
34,157.3
35,158.4
36,166.69
37,153.65
38,166.68
39,152.06
40,160.9
41,170.36
42,184.9
43,168.09
44,186.84
45,184.28
46,196.01
47,175.23
48,180.58
49,184.46
50,193.69
51,190.99
52,197.65
53,185.15
54,196.15
55,187.25
56,206.93
57,187.15
58,208.65
59,207.87
60,207.03
