x1,x2,x3,label
0.1485,0.9379,0.0708,1
0.1597,0.4504,0.0027,0
0.7059,0.7452,0.2571,1
0.6018,0.4753,0.0359,1
0.0742,0.5957,0.6754,0
0.0217,0.092,0.8673,0
0.9541,0.0815,0.5998,1
0.5464,0.1799,0.9103,0
0.6524,0.1904,0.8584,0
0.7153,0.8643,0.888,1
0.5499,0.4815,0.8222,1
0.3466,0.7943,0.871,1
0.0057,0.3728,0.7465,0
0.4438,0.2652,0.8834,0
0.5525,0.5639,0.0943,1
0.8158,0.3139,0.196,1
0.096,0.2941,0.3956,0
0.0757,0.186,0.2226,0
0.898,0.4721,0.3643,1
0.6214,0.7798,0.5177,1
0.1054,0.9438,0.8804,1
0.0045,0.2722,0.4121,0
0.9382,0.8033,0.2374,1
0.1572,0.7879,0.4629,0
0.7175,0.8784,0.1353,1
0.1633,0.0925,0.4436,0
0.4049,0.7606,0.9182,1
0.926,0.7164,0.4288,1
0.8024,0.2778,0.5341,1
0.507,0.16,0.0674,0
0.0854,0.2294,0.9122,0
0.2311,0.0636,0.3855,0
0.5373,0.6181,0.5539,1
0.8535,0.3474,0.1096,1
0.9332,0.5054,0.5134,1
0.7468,0.0974,0.6075,0
0.8499,0.1527,0.2274,1
0.4117,0.2992,0.816,0
0.179,0.0302,0.6145,0
0.1499,0.063,0.0021,0
0.288,0.1645,0.1701,0
0.0493,0.2568,0.6767,0
0.3615,0.6261,0.7226,1
0.7923,0.2598,0.6189,1
0.6542,0.5181,0.6772,1
0.6045,0.5788,0.3277,1
0.3296,0.1467,0.5046,0
0.3665,0.6929,0.0956,1
0.0369,0.0058,0.2465,0
0.0737,0.5001,0.3376,0
0.0598,0.8252,0.6455,0
0.2706,0.8831,0.3681,1
0.9798,0.3754,0.5056,1
0.8356,0.2777,0.0746,1
0.6618,0.0023,0.9893,0
0.8085,0.9274,0.3124,1
0.693,0.0482,0.4595,0
0.0368,0.9762,0.9596,1
0.541,0.6887,0.7131,1
0.8522,0.9105,0.9691,1
0.6837,0.5724,0.3979,1
0.5623,0.1068,0.5419,0
0.5846,0.9009,0.4055,1
0.1331,0.7316,0.896,0
0.3136,0.2684,0.7889,0
0.2904,0.7141,0.1372,1
0.3979,0.7684,0.3928,1
0.5317,0.8295,0.7187,1
0.3617,0.5039,0.754,0
0.6861,0.1264,0.5128,0
0.0461,0.7723,0.1026,0
0.6913,0.2912,0.854,1
0.9458,0.7044,0.1034,1
0.4182,0.6839,0.8386,1
0.2467,0.4757,0.938,0
0.1495,0.7703,0.9844,0
0.4313,0.2353,0.4456,0
0.3053,0.1461,0.9356,0
0.5951,0.951,0.0691,1
0.6907,0.0415,0.6959,0
