x1,x2,x3,label
0.9949,0.7563,0.671,1
0.5477,0.7663,0.5215,1
0.8621,0.9595,0.3758,1
0.492,0.8339,0.5339,1
0.301,0.345,0.8425,0
0.1559,0.24,0.7144,0
0.6317,0.3443,0.0776,1
0.713,0.9715,0.6582,1
0.3498,0.1514,0.9397,0
0.6103,0.3502,0.6789,1
0.7746,0.9818,0.1694,1
0.5949,0.8056,0.7834,1
0.9668,0.4483,0.4352,1
0.0629,0.6273,0.8373,0
0.5932,0.0559,0.4097,0
0.2667,0.7193,0.7082,1
0.1716,0.8175,0.4941,1
0.2343,0.7814,0.8527,1
0.1189,0.0482,0.1278,0
0.8863,0.0152,0.0714,0
0.1835,0.9115,0.5295,1
0.2194,0.7093,0.8042,0
0.9024,0.5756,0.9899,1
0.6015,0.5359,0.2421,1
0.7658,0.3514,0.4122,1
0.4542,0.0669,0.9345,0
0.2881,0.5905,0.7281,0
0.2966,0.0359,0.6561,0
0.1989,0.4397,0.3454,0
0.5844,0.3755,0.8895,1
0.6559,0.9256,0.3842,1
0.029,0.7415,0.1031,0
0.1115,0.4548,0.5249,0
0.1317,0.2078,0.295,0
0.5015,0.5279,0.5878,1
0.0078,0.9443,0.6521,1
0.8504,0.7077,0.0701,1
0.7051,0.7237,0.7595,1
0.7208,0.6693,0.8024,1
0.2892,0.4468,0.0857,0
0.3926,0.8543,0.6742,1
0.9842,0.4534,0.8124,1
0.1753,0.8157,0.3349,1
0.0189,0.944,0.5495,1
0.013,0.1874,0.4743,0
0.8203,0.2275,0.9334,1
0.9056,0.2907,0.0496,1
0.7792,0.5755,0.4191,1
0.7537,0.4576,0.1128,1
0.1847,0.8883,0.9884,1
0.8976,0.5549,0.7203,1
0.8769,0.6383,0.5654,1
0.2073,0.4366,0.9154,0
0.7965,0.2845,0.9139,1
0.3898,0.6241,0.9905,1
0.8866,0.4139,0.7753,1
0.212,0.8181,0.4175,1
0.4659,0.9526,0.5581,1
0.655,0.9399,0.7837,1
0.7213,0.7676,0.3889,1
0.8941,0.2367,0.1514,1
0.7137,0.4942,0.7121,1
0.3765,0.2566,0.2149,0
0.8323,0.3574,0.3046,1
0.0445,0.6044,0.1935,0
0.7991,0.7886,0.9663,1
0.2927,0.807,0.1565,1
0.5856,0.9096,0.5425,1
0.9083,0.0925,0.1424,1
0.7238,0.7258,0.2166,1
0.9439,0.0096,0.77,1
0.7829,0.385,0.2358,1
0.0305,0.5062,0.4617,0
0.732,0.6254,0.6252,1
0.8352,0.3695,0.0124,1
0.8157,0.997,0.567,1
0.7714,0.4597,0.2873,1
0.9452,0.3263,0.57,1
0.1198,0.444,0.4172,0
0.9582,0.9995,0.289,1
