x1,x2,x3
48.85,22.24,61.67
43.33,27.37,62.77
49.74,26.43,51.71
52.65,31.23,71.54
54.75,17.79,76.83
56.14,30.11,79.78
57.68,23.34,64.15
37.45,33.69,62.43
51.87,23.75,56.99
63.48,31.04,61.24
52.66,30.91,63.92
46.87,31.49,65.13
52.88,30.68,77.52
50.27,23.46,70.37
45.05,30.94,74.51
59.07,32.98,85.66
59.67,29.26,65.66
52.49,26.35,72.65
50.41,35.98,86.2
52.22,31.53,55.66
57.71,40.92,55.49
56.09,40.13,67.08
64.29,22.0,51.57
61.83,30.54,81.52
58.86,37.72,61.01
42.48,31.08,67.1
57.24,40.85,73.48
68.38,30.23,75.37
46.31,29.7,62.62
49.51,30.91,75.8
52.03,28.0,65.45
49.91,35.47,61.85
58.16,30.68,59.2
41.44,32.93,61.11
30.81,32.78,65.69
52.6,30.13,81.59
52.55,27.13,60.54
51.68,26.39,97.77
61.86,28.86,77.9
55.98,25.8,70.09
48.36,36.97,90.65
48.92,29.18,64.01
36.78,32.7,62.59
45.88,22.54,76.57
44.25,29.02,74.24
43.13,30.87,71.8
48.71,18.09,60.73
46.92,19.43,82.32
41.27,19.1,80.49
50.05,31.16,89.3
45.69,31.17,59.64
49.12,34.42,66.45
52.08,27.09,70.82
50.73,31.15,80.7
65.7,37.36,73.79
39.29,31.05,42.43
32.31,33.53,58.22
41.83,38.67,69.37
55.38,27.97,79.57
32.05,27.25,72.93
64.86,31.43,65.66
47.35,26.76,74.53
48.37,35.92,70.1
44.92,30.07,51.76
43.51,35.72,83.88
45.64,25.9,77.29
46.11,31.66,71.15
55.19,42.46,84.68
55.27,32.5,81.85
48.92,27.34,64.08
55.72,25.36,86.39
39.28,31.86,59.29
52.18,31.28,79.68
46.79,29.56,83.93
43.68,38.26,78.75
51.4,31.0,52.27
43.76,31.59,85.25
39.74,22.82,92.05
47.86,39.09,84.02
54.57,26.21,64.48
60.67,34.74,82.02
48.6,38.62,65.23
40.57,34.77,70.67
46.68,28.45,79.0
54.01,32.99,76.79
52.46,24.38,62.73
43.32,33.7,69.1
52.21,27.69,67.13
40.49,36.36,74.78
52.6,33.66,79.92
50.11,33.83,89.92
48.08,37.11,61.76
42.88,33.61,76.02
54.17,30.63,79.46
40.6,32.15,76.99
48.92,31.62,73.01
62.3,31.26,73.96
49.34,28.6,72.02
45.2,19.82,60.67
44.41,28.35,90.04
40.84,38.48,79.22
47.88,24.81,62.8
58.57,34.7,55.88
60.13,29.46,73.61
53.14,23.8,79.6
44.44,26.72,73.6
63.09,34.19,87.18
45.51,35.84,73.78
61.85,25.02,72.75
55.72,38.76,74.84
35.16,33.09,87.3
40.59,43.62,90.35
50.74,28.79,66.88
37.47,25.65,84.75
50.77,25.7,65.03
39.0,32.78,69.66
43.18,40.94,57.2
49.29,33.91,77.66
36.95,28.89,74.28
42.13,35.63,77.25
