x1,x2,x3,label
0.7622,0.1288,0.6404,0
0.3183,0.4982,0.3409,0
0.2948,0.2781,0.51,0
0.1628,0.893,0.3957,1
0.0013,0.5447,0.2275,0
0.1388,0.5424,0.7206,0
0.8431,0.8618,0.0538,1
0.4743,0.3526,0.6083,0
0.9524,0.6486,0.4666,1
0.739,0.7569,0.9688,1
0.1415,0.5669,0.617,0
0.703,0.473,0.509,1
0.1888,0.8286,0.6849,1
0.3358,0.0493,0.8455,0
0.7497,0.1486,0.4281,0
0.9012,0.5472,0.0196,1
0.4209,0.5638,0.2263,1
0.5882,0.1551,0.5083,0
0.9455,0.1612,0.571,1
0.1549,0.289,0.1876,0
0.4726,0.9521,0.5329,1
0.8088,0.7802,0.3255,1
0.1793,0.9073,0.2548,1
0.6085,0.268,0.7744,0
0.0842,0.5511,0.7562,0
0.3481,0.9158,0.1357,1
0.9565,0.1812,0.0695,1
0.0212,0.6155,0.4223,0
0.4252,0.8834,0.9718,1
0.4648,0.6736,0.2011,1
0.8544,0.8088,0.7821,1
0.347,0.1481,0.9944,0
0.0392,0.9178,0.1178,1
0.8873,0.3671,0.3515,1
0.5406,0.195,0.4875,0
0.3495,0.0911,0.3558,0
0.0345,0.4313,0.795,0
0.4032,0.1139,0.1127,0
0.9494,0.3107,0.1666,1
0.8216,0.9321,0.8192,1
0.0031,0.3853,0.7228,0
0.1827,0.089,0.1457,0
0.3479,0.2088,0.5324,0
0.6512,0.7467,0.6554,1
0.0533,0.6259,0.397,0
0.7706,0.2183,0.5025,1
0.0344,0.0815,0.6774,0
0.9702,0.6749,0.5235,1
0.3539,0.9004,0.2779,1
0.9019,0.4985,0.9977,1
0.4515,0.4082,0.3725,0
0.4277,0.5996,0.9366,1
0.5808,0.9126,0.0101,1
0.7858,0.4988,0.7939,1
0.8315,0.3034,0.8484,1
0.7479,0.1252,0.9827,0
0.1541,0.9815,0.3863,1
0.4729,0.2818,0.3168,0
0.0449,0.0615,0.3779,0
0.3341,0.7563,0.7783,1
0.7939,0.3163,0.2786,1
0.643,0.0363,0.7424,0
0.3713,0.5831,0.6472,1
0.7002,0.6159,0.7694,1
0.2433,0.3959,0.5156,0
0.4404,0.6669,0.1935,1
0.3717,0.144,0.7607,0
0.0648,0.9417,0.83,1
0.832,0.6489,0.4691,1
0.9205,0.619,0.2174,1
0.4059,0.1771,0.2156,0
0.1448,0.1993,0.6324,0
0.0784,0.997,0.8079,1
0.6777,0.0622,0.8145,0
0.8702,0.8898,0.1708,1
0.5395,0.8479,0.5691,1
0.879,0.8647,0.4657,1
0.3908,0.0006,0.9636,0
0.6907,0.8822,0.4495,1
0.6568,0.2301,0.5224,0
