x1,x2,x3,label
0.2526,0.1997,0.7961,0
0.802,0.7195,0.6487,1
0.1426,0.9716,0.9105,1
0.5997,0.3409,0.3996,0
0.3391,0.6276,0.6619,1
0.5121,0.9447,0.0022,1
0.8806,0.4683,0.5622,1
0.015,0.0937,0.2246,0
0.234,0.3877,0.7017,0
0.0175,0.8727,0.249,0
0.7011,0.256,0.9005,1
0.8952,0.6222,0.9772,1
0.1488,0.7959,0.3285,0
0.0443,0.6004,0.8113,0
0.3695,0.2213,0.2777,0
0.8719,0.6873,0.8948,1
0.9713,0.1342,0.2067,1
0.0489,0.7874,0.7863,0
0.1082,0.7357,0.8423,0
0.1446,0.4168,0.7779,0
0.6004,0.1823,0.3969,0
0.6698,0.5843,0.2609,1
0.7594,0.6927,0.0417,1
0.6826,0.7282,0.3218,1
0.5451,0.6391,0.4815,1
0.7551,0.3355,0.3104,1
0.8521,0.4871,0.1523,1
0.3433,0.5004,0.4,0
0.4864,0.439,0.1359,0
0.6394,0.8552,0.4764,1
0.1096,0.1303,0.13,0
0.9974,0.2281,0.6802,1
0.5133,0.7058,0.2778,1
0.9967,0.9874,0.5644,1
0.6897,0.1708,0.2462,0
0.0678,0.0494,0.6838,0
0.2885,0.0765,0.9733,0
0.2881,0.1762,0.3198,0
0.4991,0.2744,0.9011,0
0.7286,0.1039,0.4333,0
0.8888,0.7861,0.4286,1
0.6576,0.9562,0.5053,1
0.0526,0.6565,0.1792,0
0.0471,0.9433,0.7243,1
0.9331,0.4138,0.9179,1
0.4662,0.7413,0.9232,1
0.8674,0.3224,0.921,1
0.4414,0.3975,0.6739,0
0.7845,0.3009,0.0597,1
0.9678,0.7484,0.5711,1
0.6171,0.5828,0.7151,1
0.0443,0.4157,0.0041,0
0.288,0.8283,0.2286,1
0.8936,0.2751,0.4381,1
0.1574,0.2807,0.6775,0
0.506,0.1796,0.2194,0
0.2557,0.643,0.1639,0
0.7351,0.2079,0.3722,0
0.9315,0.9312,0.0839,1
0.0187,0.3613,0.5863,0
0.6671,0.0605,0.2381,0
0.1293,0.1954,0.025,0
0.3312,0.4835,0.8287,0
0.8249,0.4292,0.8648,1
0.2343,0.4625,0.0337,0
0.4039,0.0818,0.8456,0
0.23,0.395,0.0203,0
0.4445,0.4803,0.583,0
0.0954,0.3907,0.4283,0
0.9969,0.1006,0.2056,1
0.6159,0.0237,0.5531,0
0.5067,0.0854,0.675,0
0.9901,0.8042,0.4647,1
0.8597,0.5631,0.8513,1
0.5963,0.8625,0.1566,1
0.6661,0.3553,0.2382,1
0.3066,0.5,0.2432,0
0.8735,0.6439,0.78,1
0.6716,0.6474,0.0011,1
0.881,0.2261,0.2623,1
